HANDI,ablationA,ortho
4.24548121e-04,2.10991985e-03,5.03301597e-03
2.59818389e-04,3.45680245e-04,3.94842371e-04
2.43319933e-04,2.31112859e-04,9.15658917e-04
1.96158676e-04,2.79371371e-04,8.60521263e-04
1.62197408e-04,2.40574676e-04,5.06864171e-04
3.19131424e-04,1.04328323e-04,4.36469052e-04
3.45492249e-05,7.75132803e-05,2.28701452e-04
2.44963402e-04,1.45844218e-06,2.97853764e-04
1.36229221e-03,6.49026883e-05,1.15623076e-03
6.94866806e-04,1.48458384e-03,6.77565187e-03
2.77793900e-04,1.91001465e-03,3.76430513e-03
1.84945308e-04,1.79364075e-04,4.44223516e-04
1.57378866e-04,1.13418683e-04,5.71204848e-04
1.62431904e-04,1.56651689e-04,6.57495952e-04
1.10103073e-04,1.26264601e-04,3.93872842e-04
1.84716051e-04,1.77636978e-04,4.08103945e-04
8.55632053e-07,7.41581785e-05,8.69297732e-06
9.97832065e-05,1.55467954e-05,3.13886834e-04
1.33206356e-03,6.51375302e-05,2.28916210e-03
2.48967144e-04,6.02094434e-04,2.42258021e-03
1.82250859e-04,1.84683137e-03,2.87987741e-03
1.14672426e-04,9.74156447e-05,4.53436302e-04
8.55883303e-05,4.95236187e-05,2.82855837e-04
1.21453635e-04,8.19396609e-05,4.07778068e-04
5.37145708e-05,6.80224645e-05,1.94663902e-04
1.45452126e-05,5.67971250e-05,6.45243873e-05
4.36712011e-06,1.25938008e-06,1.91063747e-05
6.27495684e-05,1.36938473e-05,2.37847557e-04
7.82332629e-04,5.03482476e-05,2.01484011e-03
2.24220854e-04,3.02015318e-04,1.16081918e-03
1.27387470e-04,1.86928338e-03,2.24496248e-03
7.17225197e-05,6.12084961e-05,4.70439487e-04
3.64478119e-05,1.58528776e-05,9.42835234e-05
8.22413232e-05,3.90710848e-05,1.94642956e-04
2.53791824e-05,6.08431886e-05,5.30973671e-05
1.66487976e-06,4.98902770e-05,2.25103483e-05
2.00079075e-05,1.24794188e-05,1.03772957e-04
4.28917482e-05,1.20458800e-05,1.88932176e-04
4.07636591e-04,3.20342203e-05,1.40772135e-03
2.21479128e-04,2.05841871e-04,8.91191990e-04
1.07570073e-04,1.95849184e-03,1.83232041e-03
6.23857216e-05,5.41703421e-05,5.32590654e-04
1.20737394e-05,2.30704510e-06,2.21863623e-05
4.63617462e-05,2.06398330e-05,5.34197651e-05
2.20202341e-05,4.79861983e-05,5.99149548e-05
1.22327776e-05,4.74336472e-06,1.69872349e-06
2.05659597e-05,1.70188390e-05,6.46262238e-05
1.02942192e-05,5.03073418e-06,5.73631585e-05
2.37843383e-04,1.86692655e-05,1.00317570e-03
2.05250684e-04,1.59450740e-04,8.91816392e-04
1.12017053e-04,2.11013008e-03,1.64834823e-03
9.05094178e-05,7.45692395e-05,6.61803384e-04
1.09244430e-05,4.14810092e-06,5.47026230e-05
2.43852594e-05,2.33551953e-05,2.78167722e-05
9.35609821e-06,3.84620923e-06,5.38579038e-06
2.37243065e-05,3.86639527e-05,1.19561095e-04
5.95563461e-05,1.05800720e-05,1.46504504e-04
2.30574263e-06,5.00052024e-07,1.24472507e-05
1.77602807e-04,1.05162975e-05,8.05386727e-04
1.97811066e-04,1.28249408e-04,1.02804890e-03
1.25805291e-04,2.40119351e-03,1.77267830e-03
1.78872561e-04,1.40131427e-04,8.65926092e-04
2.52733612e-05,1.47573233e-05,1.32003187e-04
2.12466181e-05,1.85564950e-05,4.57423700e-05
8.58481260e-07,3.12529102e-05,2.57779748e-05
3.73910040e-05,3.88737365e-05,1.17535792e-04
1.20219622e-04,1.83079539e-05,4.18465610e-04
3.20879034e-05,4.52674994e-06,1.39535834e-04
1.84712906e-04,6.73869442e-06,7.62808254e-04
2.20059072e-04,1.09905765e-04,1.30943772e-03
1.34819405e-04,3.21407877e-03,2.58618524e-03
3.90984744e-04,3.10536124e-04,1.06606217e-03
3.04226726e-05,2.22050716e-05,1.53415987e-04
7.03068880e-06,3.68553239e-06,1.09268935e-05
1.53789597e-05,3.05198763e-05,9.55992814e-05
1.05931869e-04,5.44402140e-05,4.66861339e-04
1.90565218e-04,4.64352701e-05,8.13908949e-04
1.04463696e-04,1.97209617e-05,4.63173241e-04
2.48341021e-04,7.23280704e-06,8.39228140e-04
2.86386073e-04,1.05753759e-04,1.76447599e-03
1.53191301e-04,5.58757771e-03,5.36204108e-03
7.42301960e-04,7.02141605e-04,8.79765779e-04
3.44019819e-05,5.57642363e-05,1.70343051e-04
3.89554096e-06,2.31410220e-06,8.06794731e-05
4.28739375e-05,6.39253089e-05,4.00401300e-04
1.59571200e-04,1.19638718e-04,8.73144847e-04
2.66016739e-04,1.00659419e-04,1.29327791e-03
2.21063523e-04,4.98892900e-05,9.79738487e-04
3.56975136e-04,1.29651688e-05,9.79825521e-04
4.01507146e-04,1.16519896e-04,2.41604409e-03
3.83628768e-04,1.10330578e-02,1.27679453e-02
8.46551236e-04,1.32957529e-03,1.37997240e-04
1.00598620e-04,1.99077657e-04,2.13504627e-05
1.29711529e-05,5.46016028e-06,2.89277000e-04
7.18414813e-05,1.13711984e-04,4.60511219e-04
1.86457694e-04,2.57974708e-04,1.19026297e-03
3.30773370e-04,1.91661827e-04,1.75335742e-03
3.76496477e-04,1.04665442e-04,1.65572864e-03
4.75836766e-04,2.70434147e-05,1.08963410e-03
5.69532115e-04,1.44446851e-04,3.33113365e-03
