HANDI,ablationA,ortho
9.93304479e-01,9.21364741e-01,9.27648694e-01
9.48168678e-01,9.36387528e-01,9.28546333e-01
9.90819713e-01,9.89815270e-01,9.59358252e-01
9.93728887e-01,9.90331789e-01,9.71558126e-01
9.95380557e-01,9.88094055e-01,9.75387545e-01
9.96945211e-01,9.95852803e-01,9.88967165e-01
9.98010522e-01,9.96945271e-01,9.92130889e-01
9.75385545e-01,9.99821851e-01,9.66299408e-01
9.31411314e-01,9.97418531e-01,9.40408749e-01
9.95911801e-01,9.48918998e-01,9.63788900e-01
9.95590734e-01,9.41913118e-01,9.46589742e-01
9.71704610e-01,9.70989953e-01,9.13511452e-01
9.97933058e-01,9.98092499e-01,9.90606944e-01
9.96426170e-01,9.96259727e-01,9.84518319e-01
9.97983806e-01,9.97317613e-01,9.91280584e-01
9.98264218e-01,9.98063932e-01,9.93720515e-01
9.99887371e-01,9.55315593e-01,9.94093684e-01
9.97620276e-01,9.99554403e-01,9.91003274e-01
4.85802138e-01,9.81385051e-01,0.00000000e+00
9.98452322e-01,9.70949242e-01,9.84657140e-01
9.96895434e-01,9.52255191e-01,9.59620576e-01
9.92025380e-01,9.91635359e-01,9.61668796e-01
9.99169494e-01,9.99432729e-01,9.96816887e-01
9.98153476e-01,9.98532625e-01,9.92879171e-01
9.98753704e-01,9.98726584e-01,9.94988148e-01
9.99014374e-01,9.98144991e-01,9.95981441e-01
9.99255351e-01,9.99854113e-01,9.96349214e-01
9.99015540e-01,9.99706754e-01,9.95368031e-01
9.64113134e-01,9.97014310e-01,8.98420409e-01
9.98739619e-01,9.82698452e-01,9.90451437e-01
9.97539633e-01,9.56010021e-01,9.68324155e-01
9.97635472e-01,9.97396804e-01,9.84295709e-01
9.99685763e-01,9.99836423e-01,9.99028186e-01
9.98842521e-01,9.99301726e-01,9.96340781e-01
9.99195061e-01,9.99191155e-01,9.96799454e-01
9.99616402e-01,9.95287157e-01,9.97617011e-01
9.99340138e-01,9.99810497e-01,9.97171826e-01
9.99621479e-01,9.99866172e-01,9.98151205e-01
9.89936726e-01,9.98842882e-01,9.61964432e-01
9.98813759e-01,9.88558948e-01,9.92427641e-01
9.97645214e-01,9.55364337e-01,9.73332622e-01
9.98238399e-01,9.98185329e-01,9.87449068e-01
9.99931017e-01,9.99977973e-01,9.99852536e-01
9.99191184e-01,9.99624238e-01,9.97941818e-01
9.99413417e-01,9.99298269e-01,9.97526409e-01
9.99015694e-01,9.99619710e-01,9.96421194e-01
9.99196579e-01,9.99860510e-01,9.97272221e-01
9.99935043e-01,9.99967836e-01,9.99648755e-01
9.94703356e-01,9.99334811e-01,9.76219268e-01
9.98896053e-01,9.91462084e-01,9.92794165e-01
9.97375028e-01,9.51105991e-01,9.75029803e-01
9.97681102e-01,9.97767117e-01,9.85307172e-01
9.99933469e-01,9.99977603e-01,9.99678830e-01
9.99438493e-01,9.99744651e-01,9.98620623e-01
9.99499708e-01,9.99406884e-01,9.98114855e-01
9.98907934e-01,9.99571953e-01,9.95398427e-01
9.98853320e-01,9.99834734e-01,9.95880081e-01
9.99956278e-01,9.99994004e-01,9.99831133e-01
9.95736822e-01,9.99519678e-01,9.79591561e-01
9.98845993e-01,9.92681087e-01,9.91632837e-01
9.96954751e-01,9.42898084e-01,9.73905325e-01
9.95274026e-01,9.95623327e-01,9.77553689e-01
9.99776301e-01,9.99846543e-01,9.98724152e-01
9.99576175e-01,9.99685625e-01,9.98464456e-01
9.99540949e-01,9.97011011e-01,9.96827517e-01
9.98573108e-01,9.99557091e-01,9.93845953e-01
9.98306223e-01,9.99680484e-01,9.92945141e-01
9.99583857e-01,9.99931419e-01,9.98340754e-01
9.94093531e-01,9.99527132e-01,9.73138672e-01
9.98347580e-01,9.92642552e-01,9.88362242e-01
9.96634114e-01,9.29004038e-01,9.70769350e-01
9.81891746e-01,9.83427679e-01,9.47927972e-01
9.99487198e-01,9.99494612e-01,9.97149429e-01
9.99564147e-01,9.99545101e-01,9.98246747e-01
9.98734630e-01,9.99149875e-01,9.93409300e-01
9.97790971e-01,9.99305862e-01,9.89984679e-01
9.97105881e-01,9.99275071e-01,9.86485122e-01
9.98766668e-01,9.99732158e-01,9.94521324e-01
9.80435704e-01,9.99207837e-01,9.25942315e-01
9.97014698e-01,9.91198097e-01,9.81983476e-01
9.96801863e-01,9.03364399e-01,9.64884281e-01
7.46432856e-01,7.54843491e-01,6.90386409e-01
9.98833685e-01,9.98447123e-01,9.95526372e-01
9.98213580e-01,9.98405742e-01,9.54681461e-01
9.97784797e-01,9.99077512e-01,9.88806856e-01
9.96113454e-01,9.98473594e-01,9.81370584e-01
9.93704828e-01,9.98109837e-01,9.69757943e-01
9.96615593e-01,9.99145408e-01,9.83608630e-01
9.28537676e-01,9.99022140e-01,7.83267235e-01
9.94305161e-01,9.87544464e-01,9.70943121e-01
9.97550909e-01,8.55121099e-01,9.45834308e-01
9.52554987e-01,9.33728298e-01,9.90746102e-01
9.89890496e-01,9.74505832e-01,9.97920142e-01
9.98393685e-01,9.99549404e-01,9.87453783e-01
9.94952722e-01,9.97449120e-01,9.75928347e-01
9.87622815e-01,9.93119105e-01,9.36011922e-01
9.86827999e-01,9.95156228e-01,9.40258299e-01
9.82683396e-01,9.96183007e-01,9.22831542e-01
8.88206866e-01,9.99165606e-01,7.71021906e-01
9.89146263e-01,9.79955278e-01,9.52257818e-01
