EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
6.12885222e-12,3.65062429e-03,3.75766879e-05,1.24205136e+00,1.35992918e-01,3.80072458e-07,9.50373046e-02
4.48332661e-12,7.42269831e-04,1.22747849e-05,2.18691980e-01,1.67724926e-01,3.00701910e-08,1.41371469e-03
7.55461754e-13,1.12339458e-04,1.11065667e-05,1.14226818e-01,2.00399100e-01,2.26790651e-08,6.41388911e-03
1.19654539e-12,2.33478178e-04,1.25561557e-05,1.94921034e-01,1.81952102e-01,5.64963763e-08,9.01493197e-03
1.04673306e-12,5.83035256e-04,9.54305744e-06,3.02140153e-01,1.30664931e-01,6.07725013e-08,4.84075634e-03
6.97117440e-13,4.45188762e-04,1.04132054e-06,2.84683592e-01,7.56977452e-02,6.49262602e-09,5.99244399e-03
8.17179915e-13,7.69630296e-05,2.41662204e-08,5.97005831e-01,2.39146218e-04,8.20361356e-09,6.44278001e-03
2.25059490e-12,4.20352482e-04,1.77188625e-07,4.68955383e-01,8.17348874e-04,1.57300822e-08,7.95897917e-04
4.69978207e-12,1.79919577e-03,1.87086558e-06,9.30585558e-01,1.43470061e-02,6.87227526e-08,1.13765970e-02
6.10125015e-12,4.70596845e-03,2.49548290e-05,1.66837972e+00,2.07986846e-02,5.10934417e-07,1.60703083e-01
6.64373792e-12,3.82496664e-03,3.17065605e-05,1.20398217e+00,1.08681419e-01,3.59288971e-07,8.75334969e-02
1.18344010e-12,7.40146232e-04,9.78448163e-06,1.57932621e-01,1.23262551e-01,2.01311887e-08,7.10307582e-04
2.60872542e-13,5.85919488e-05,8.72180519e-06,6.51840124e-02,1.39547675e-01,1.29340517e-08,3.52246904e-03
4.62757952e-13,1.62233138e-04,9.12936989e-06,1.27894282e-01,1.24246926e-01,3.66089974e-08,3.97188728e-03
8.34366416e-13,4.41958772e-04,4.79425903e-06,1.89166771e-01,1.04673058e-01,2.53530985e-08,2.71560715e-03
1.05554351e-12,1.36625874e-04,3.19399099e-07,2.60997702e-01,2.02622776e-02,3.38787038e-09,2.37218791e-03
4.99412801e-13,5.52584451e-05,1.70481533e-07,2.94416322e-01,3.98710175e-04,6.81031022e-09,6.68751701e-04
2.50791888e-12,3.94667552e-04,2.57657326e-07,1.45771282e-01,2.62196922e-03,4.92330007e-09,2.72021151e-04
4.34095781e-12,1.68701780e-03,1.91006410e-06,5.52300972e-01,1.69405072e-02,3.73355286e-08,3.14527929e-03
4.86981224e-12,4.88198117e-03,2.27454197e-05,1.67873967e+00,1.84644533e-02,4.81539164e-07,1.42489680e-01
5.69925820e-12,4.02457035e-03,2.72735737e-05,1.19659656e+00,8.90130688e-02,3.46460161e-07,8.32653341e-02
