EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
9.98790732e-01,9.98366152e-01,9.99965392e-01,9.23011935e-02,8.00002189e-01,9.99995960e-01,9.16053487e-01
9.99571384e-01,9.98461300e-01,9.99999286e-01,6.47583570e-01,7.39859841e-01,9.99998910e-01,9.94741590e-01
9.99737078e-01,9.99263529e-01,9.99999040e-01,8.30594972e-01,8.99482607e-01,9.99999919e-01,9.89327774e-01
9.99697177e-01,9.98954179e-01,9.99999140e-01,7.99798649e-01,8.72425996e-01,9.99999935e-01,9.84330475e-01
9.99747858e-01,9.98252924e-01,9.99999477e-01,7.92708880e-01,8.61722200e-01,9.99999923e-01,9.84292988e-01
9.99827608e-01,9.97481092e-01,9.99999626e-01,8.40615831e-01,8.91470877e-01,9.99999944e-01,9.89628088e-01
9.99926489e-01,9.96220967e-01,9.99999395e-01,6.19457485e-01,9.78097274e-01,9.99999983e-01,9.58676272e-01
9.99952495e-01,9.99070854e-01,9.99997845e-01,1.78657412e-01,9.86124482e-01,9.99999612e-01,9.27430564e-01
9.99536663e-01,9.98804418e-01,9.99995922e-01,1.89337486e-01,9.88907353e-01,9.99998833e-01,8.59822833e-01
9.99481488e-01,9.97944808e-01,9.99951768e-01,0.00000000e+00,8.78425223e-01,9.99996500e-01,7.29084736e-01
9.98598920e-01,9.98570427e-01,9.99971712e-01,9.67719472e-02,8.61012299e-01,9.99996059e-01,8.98518386e-01
9.99645313e-01,9.97530586e-01,9.99999059e-01,5.38231527e-01,9.02591260e-01,9.99999383e-01,9.95845916e-01
9.99801231e-01,9.99503867e-01,9.99999413e-01,9.62980967e-01,9.36183515e-01,9.99999966e-01,9.95118451e-01
9.99770190e-01,9.99134527e-01,9.99999277e-01,9.20287277e-01,9.10503547e-01,9.99999959e-01,9.91751932e-01
9.99793418e-01,9.98463213e-01,9.99999412e-01,8.92418103e-01,8.95459830e-01,9.99999942e-01,9.90647067e-01
9.99859886e-01,9.97763180e-01,9.99999614e-01,8.70197611e-01,9.21910035e-01,9.99999964e-01,9.90365242e-01
9.99999925e-01,9.99613237e-01,9.99998772e-01,6.57927217e-01,9.66528588e-01,9.99999836e-01,9.21632897e-01
9.99976797e-01,9.98401964e-01,9.99999806e-01,9.33720902e-01,9.88855897e-01,9.99999949e-01,9.99693869e-01
9.99042925e-01,9.93573377e-01,9.99998880e-01,3.95212510e-01,9.96050807e-01,9.99998435e-01,8.34343026e-01
9.99271479e-01,9.98316437e-01,9.99964182e-01,3.93633873e-02,8.99063439e-01,9.99996427e-01,7.48700617e-01
9.98471180e-01,9.98629661e-01,9.99975611e-01,9.28789164e-02,9.01876780e-01,9.99996132e-01,8.78494581e-01
9.99773668e-01,9.97635913e-01,9.99999392e-01,6.80837550e-01,9.63512837e-01,9.99999753e-01,9.97738409e-01
9.99847927e-01,9.99759477e-01,9.99999608e-01,9.91239479e-01,9.58819218e-01,9.99999985e-01,9.97596046e-01
9.99817872e-01,9.99344267e-01,9.99999400e-01,9.65534413e-01,9.34111470e-01,9.99999973e-01,9.95673000e-01
9.99824980e-01,9.98675567e-01,9.99999399e-01,9.35243720e-01,9.17746711e-01,9.99999956e-01,9.93953431e-01
9.99907551e-01,9.97464912e-01,9.99999716e-01,8.55392991e-01,9.62025651e-01,9.99999977e-01,9.87350820e-01
9.99937383e-01,9.98835830e-01,9.99999705e-01,9.75025745e-01,9.81980582e-01,9.99999962e-01,9.98861215e-01
9.99974583e-01,9.98768877e-01,9.99999872e-01,9.88477265e-01,9.87315125e-01,9.99999989e-01,9.99385261e-01
9.99744960e-01,9.96075178e-01,9.99999970e-01,2.76258167e-01,9.98236350e-01,9.99999730e-01,9.92848373e-01
9.99031916e-01,9.98494116e-01,9.99972935e-01,5.58977640e-02,9.15178728e-01,9.99996330e-01,7.69825461e-01
9.98437042e-01,9.98604730e-01,9.99977505e-01,8.43325118e-02,9.24886951e-01,9.99996195e-01,8.56715076e-01
9.99841666e-01,9.98133326e-01,9.99999645e-01,8.54884278e-01,9.82817606e-01,9.99999894e-01,9.98869858e-01
9.99886414e-01,9.99921392e-01,9.99999754e-01,9.97187748e-01,9.73844094e-01,9.99999994e-01,9.99017802e-01
9.99853777e-01,9.99507870e-01,9.99999497e-01,9.80871985e-01,9.48879179e-01,9.99999983e-01,9.97736285e-01
9.99854970e-01,9.98816391e-01,9.99999406e-01,9.51685284e-01,9.34740425e-01,9.99999967e-01,9.95256912e-01
9.99998619e-01,9.99356468e-01,9.99999997e-01,9.21653562e-01,9.98489926e-01,9.99999999e-01,9.85647462e-01
9.99939630e-01,9.99091085e-01,9.99999609e-01,9.90463281e-01,9.69346615e-01,9.99999986e-01,9.98175301e-01
9.99968954e-01,9.99431644e-01,9.99999897e-01,9.96926601e-01,9.85590957e-01,9.99999999e-01,9.99561160e-01
9.99867548e-01,9.97693512e-01,9.99999871e-01,7.84310625e-01,9.95061712e-01,9.99999905e-01,9.99485115e-01
9.98775587e-01,9.98540437e-01,9.99978747e-01,6.19772786e-02,9.26186345e-01,9.99996223e-01,7.92169117e-01
9.98511682e-01,9.98561084e-01,9.99977549e-01,7.47339829e-02,9.33572296e-01,9.99996263e-01,8.33918929e-01
9.99867916e-01,9.98345871e-01,9.99999757e-01,9.22033527e-01,9.90193998e-01,9.99999936e-01,9.99279504e-01
9.99917440e-01,9.99948948e-01,9.99999859e-01,9.99659569e-01,9.82385163e-01,9.99999998e-01,9.99708568e-01
