EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
1.12201844e+03,6.56063942e+00,5.48163639e-01,4.83864069e+00,1.05704476e+01,2.93717697e-01,5.02595056e+00
8.17446807e+02,2.43920783e+00,9.04619525e-03,2.71074884e+00,4.41951827e+00,2.14190601e-03,1.51655515e+00
5.12216147e+02,4.47171925e-01,1.53650244e-04,8.30873693e-01,2.19880252e+00,2.74549309e-05,8.80001897e-01
2.72781087e+02,7.94468388e-01,2.50107260e-04,9.83774014e-01,3.07037473e+00,2.30466391e-05,1.24626656e+00
9.19293218e+01,8.47134558e-01,9.07172552e-04,1.03144435e+00,3.06510963e+00,1.07245381e-03,1.21591572e+00
1.42161413e+01,5.31514872e-01,1.51626040e-03,1.04635911e+00,3.08648431e+00,2.02825150e-03,8.69900153e-01
3.25228710e+00,9.38727503e-01,6.02770827e-03,2.96968954e+00,1.15997142e+00,4.71435438e-03,1.15821327e+00
6.46187326e+01,6.13924947e+00,7.14534850e-03,5.26597274e+00,3.41648101e+00,2.92327743e-03,5.70730865e+00
1.11977462e+03,6.05414987e+00,5.34566700e-01,5.12505152e+00,8.41429123e+00,2.83137014e-01,3.32232486e+00
7.74157270e+02,2.23410814e+00,1.61086698e-03,2.53591279e+00,2.80443685e+00,3.19252451e-04,8.57707977e-01
4.84716646e+02,3.39459892e-01,1.19128263e-04,2.36877285e-01,1.54416502e+00,6.82934979e-05,5.65647443e-01
2.46948715e+02,5.63380991e-01,3.50105375e-05,4.48930309e-01,2.22882678e+00,2.89789323e-05,7.82023173e-01
7.34025549e+01,6.54381919e-01,1.70598622e-04,5.82602235e-01,2.47703900e+00,1.95878811e-04,8.55832342e-01
7.50864292e+00,3.14801433e-01,6.84937073e-04,9.90719665e-01,1.83677309e+00,6.21254334e-04,4.99860570e-01
1.10423296e+00,2.54195726e+00,1.05185122e-03,2.51475262e+00,3.12239680e-01,6.51152509e-04,2.64454365e+00
2.17983018e+02,2.45920616e+00,1.36953901e-04,2.82645110e-01,3.88658678e-01,2.78438503e-05,3.14842949e+00
1.27216614e+04,4.97763811e+00,8.18170955e-03,4.43758979e+00,3.50468629e+00,4.33558596e-03,4.75674915e+00
1.11166078e+03,5.60575935e+00,5.10542033e-01,5.44820205e+00,4.77872410e+00,2.68661075e-01,2.27114127e+00
7.34905767e+02,1.56147437e+00,3.77998893e-04,1.54053637e+00,1.90328724e+00,6.06748312e-05,5.84775625e-01
4.55968201e+02,2.16150865e-01,9.19716098e-05,6.36330303e-02,1.06308984e+00,8.09605441e-05,3.16151061e-01
2.17323663e+02,3.71362768e-01,4.39352062e-05,2.21489376e-01,1.63552128e+00,8.61118200e-05,4.62145760e-01
