HANDI,ablationA,ortho
0.00226281,0.01229890,0.15009077
0.00226921,0.01186727,0.15002662
0.00230228,0.01107983,0.14980418
0.00234901,0.01004515,0.14932052
0.00239473,0.00897873,0.14854046
0.00243245,0.00809345,0.14909439
0.00246512,0.00750571,0.14964894
0.00249813,0.00717825,0.14974779
0.00253385,0.00688808,0.14965634
0.00257185,0.00636950,0.14952753
0.00227467,0.01147382,0.15187389
0.00228417,0.01091771,0.15245931
0.00232449,0.00988681,0.15308497
0.00238061,0.00849821,0.15349037
0.00243222,0.00712493,0.15321076
0.00247226,0.00619718,0.15404189
0.00250875,0.00590217,0.15389476
0.00254693,0.00606926,0.15295116
0.00258560,0.00623933,0.15198859
0.00262196,0.00598960,0.15126115
0.00229329,0.01036416,0.15379889
0.00230022,0.00954875,0.15554308
0.00233929,0.00810742,0.15815471
0.00239372,0.00614388,0.16156093
0.00243767,0.00424905,0.16401227
0.00247980,0.00335364,0.16537015
0.00254255,0.00369912,0.16204081
0.00260837,0.00466024,0.15793312
0.00266086,0.00543635,0.15506161
0.00269830,0.00555552,0.15330697
0.00232355,0.00926497,0.15543035
0.00232121,0.00812128,0.15878034
0.00233995,0.00615118,0.16519005
0.00234422,0.00339123,0.17798753
0.00227515,0.00056247,0.19676288
0.00231129,0.00025003,0.19953562
0.00252544,0.00122860,0.17857980
0.00267680,0.00319606,0.16506572
0.00275494,0.00457249,0.15865476
0.00279328,0.00508172,0.15547987
0.00236949,0.00856332,0.15602555
0.00235742,0.00717427,0.16063916
0.00234129,0.00468987,0.17125325
0.00220431,0.00110656,0.20326024
0.00140476,0.00174651,0.33382407
0.00140248,0.00255289,0.33904385
0.00244910,0.00066033,0.20436491
0.00275348,0.00211002,0.17225981
0.00285393,0.00389548,0.16177210
0.00288961,0.00471205,0.15724013
0.00242822,0.00845883,0.15500664
0.00241597,0.00713580,0.15941318
0.00238891,0.00459690,0.16978261
0.00222278,0.00085486,0.20192580
0.00136594,0.00214075,0.33763801
0.00149711,0.00211931,0.33322700
0.00254401,0.00045813,0.20418227
0.00284299,0.00211676,0.17247342
0.00293858,0.00382361,0.16197776
0.00296891,0.00470174,0.15742294
0.00248757,0.00872035,0.15310649
0.00248511,0.00774414,0.15627849
0.00248052,0.00569706,0.16272068
0.00244419,0.00290017,0.17637465
0.00236916,0.00046479,0.19759529
0.00249356,0.00005708,0.19610533
0.00276908,0.00141197,0.17765967
0.00293160,0.00316623,0.16525547
0.00300240,0.00441706,0.15916945
0.00302640,0.00512030,0.15604547
0.00253658,0.00897370,0.15097777
0.00254779,0.00841198,0.15275756
0.00256988,0.00703129,0.15568600
0.00260489,0.00529856,0.15988435
0.00266510,0.00390453,0.16328079
0.00277314,0.00332352,0.16325151
0.00290325,0.00370349,0.16104293
0.00299989,0.00455437,0.15780620
0.00305112,0.00530312,0.15541642
0.00306962,0.00576569,0.15388938
0.00257359,0.00908651,0.14897268
0.00259856,0.00890512,0.14973653
0.00263958,0.00815129,0.15074781
0.00269964,0.00718160,0.15174172
0.00277941,0.00632972,0.15190761
0.00287522,0.00574876,0.15239637
0.00297173,0.00558250,0.15291996
0.00304640,0.00579556,0.15262573
0.00308964,0.00612627,0.15212235
0.00310604,0.00637797,0.15168322
0.00260339,0.00908676,0.14727066
0.00264044,0.00918671,0.14743398
0.00269344,0.00887875,0.14756173
0.00276205,0.00834442,0.14749010
0.00284251,0.00773476,0.14693748
0.00292905,0.00714738,0.14769833
0.00301195,0.00673306,0.14871388
0.00307834,0.00659148,0.14930829
0.00312021,0.00664883,0.14961269
0.00313850,0.00676340,0.14976834
