HANDI,ablationA,ortho
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.69346734
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.69849246
1.00000000,1.00000000,0.72361809
1.00000000,1.00000000,0.73869347
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.67336683
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.71859296
1.00000000,1.00000000,0.72864322
1.00000000,1.00000000,0.73869347
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.67336683
1.00000000,1.00000000,0.67336683
1.00000000,1.00000000,0.67336683
1.00000000,1.00000000,0.69849246
1.00000000,1.00000000,0.72864322
1.00000000,1.00000000,0.73869347
1.00000000,1.00000000,0.73869347
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.66834171
1.00000000,1.00000000,0.66331658
1.00000000,1.00000000,0.63819095
1.00000000,1.00000000,0.64321608
1.00000000,1.00000000,0.71356784
1.00000000,1.00000000,0.72361809
1.00000000,1.00000000,0.72864322
1.00000000,1.00000000,0.73869347
1.00000000,1.00000000,0.71356784
1.00000000,1.00000000,0.70351759
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.64321608
1.00000000,1.00000000,0.50753769
1.00000000,1.00000000,0.56281407
1.00000000,1.00000000,0.69346734
1.00000000,1.00000000,0.72361809
1.00000000,1.00000000,0.72361809
1.00000000,1.00000000,0.71859296
1.00000000,1.00000000,0.73366834
1.00000000,1.00000000,0.73366834
1.00000000,1.00000000,0.71859296
1.00000000,1.00000000,0.69346734
1.00000000,1.00000000,0.56281407
1.00000000,1.00000000,0.50753769
1.00000000,1.00000000,0.63819095
1.00000000,1.00000000,0.66834171
1.00000000,1.00000000,0.66834171
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.73366834
1.00000000,1.00000000,0.73366834
1.00000000,1.00000000,0.72361809
1.00000000,1.00000000,0.70351759
1.00000000,1.00000000,0.64824121
1.00000000,1.00000000,0.63819095
1.00000000,1.00000000,0.65829146
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.67336683
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.73366834
1.00000000,1.00000000,0.73366834
1.00000000,1.00000000,0.71859296
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.66834171
1.00000000,1.00000000,0.66834171
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.74371859
1.00000000,1.00000000,0.71859296
1.00000000,1.00000000,0.69346734
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68341709
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.67839196
1.00000000,1.00000000,0.71859296
1.00000000,1.00000000,0.69849246
1.00000000,1.00000000,0.69849246
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68844221
1.00000000,1.00000000,0.68844221
