HANDI,ablationA,ortho
3.00022278,2.99902286,3.00171128
3.00021997,2.99901740,3.00148657
3.00021718,2.99898216,3.00117304
3.00021539,2.99892584,3.00076567
3.00021569,2.99887239,3.00029736
3.00021844,2.99883959,2.99986114
3.00022280,2.99882511,2.99957883
3.00022729,2.99881938,2.99950673
3.00023084,2.99881712,2.99959916
3.00023328,2.99881640,2.99977230
3.00022600,2.99901799,3.00191539
3.00022283,2.99902229,3.00172462
3.00021913,2.99899725,3.00141395
3.00021593,2.99894009,3.00094762
3.00021545,2.99887560,3.00035138
3.00021899,2.99883757,2.99979523
3.00022484,2.99882365,2.99951985
3.00022987,2.99881885,2.99956607
3.00023319,2.99881764,2.99978011
3.00023522,2.99881829,3.00002465
3.00023003,2.99899725,3.00209321
3.00022706,2.99901803,3.00198156
3.00022272,2.99901847,3.00173686
3.00021755,2.99897418,3.00124898
3.00021521,2.99889131,3.00046010
3.00022004,2.99884003,2.99969820
3.00022797,2.99882452,2.99952131
3.00023311,2.99882022,2.99978999
3.00023569,2.99882087,3.00012444
3.00023686,2.99882319,3.00039183
3.00023439,2.99895312,3.00215762
3.00023248,2.99898015,3.00215626
3.00022892,2.99900837,3.00208225
3.00022231,2.99901508,3.00175478
3.00021513,2.99893404,3.00073984
3.00022266,2.99885064,2.99955575
3.00023291,2.99882697,2.99980620
3.00023640,2.99882567,3.00032259
3.00023745,2.99882958,3.00064333
3.00023776,2.99883371,3.00083124
3.00023779,2.99890251,3.00198927
3.00023729,2.99891362,3.00202887
3.00023620,2.99892897,3.00209397
3.00023296,2.99895510,3.00219039
3.00021947,2.99900786,3.00186091
3.00023235,2.99885261,2.99987939
3.00023719,2.99883862,3.00086177
3.00023753,2.99884685,3.00108696
3.00023746,2.99885254,3.00117032
3.00023743,2.99885654,3.00121281
3.00023897,2.99887891,3.00154271
3.00023881,2.99887734,3.00145625
3.00023846,2.99887342,3.00130330
3.00023710,2.99886660,3.00095645
3.00023024,2.99888163,2.99986148
3.00021959,2.99902812,3.00107393
3.00023154,2.99894528,3.00137904
3.00023422,2.99891639,3.00139793
3.00023517,2.99890541,3.00139169
3.00023567,2.99890040,3.00138380
3.00023734,2.99888873,3.00094115
3.00023596,2.99889226,3.00068443
3.00023308,2.99890122,3.00028977
3.00022688,2.99892230,2.99974555
3.00021671,2.99896201,2.99955396
3.00021499,2.99904488,3.00025712
3.00022300,2.99905159,3.00079922
3.00022854,2.99900959,3.00110310
3.00023133,2.99897920,3.00124862
3.00023287,2.99896088,3.00131648
3.00023374,2.99891055,3.00037921
3.00023086,2.99892014,3.00007305
3.00022629,2.99893394,2.99972871
3.00021985,2.99895304,2.99949697
3.00021410,2.99898247,2.99965255
3.00021405,2.99903250,3.00009571
3.00021863,2.99906576,3.00047429
3.00022361,2.99905894,3.00076891
3.00022719,2.99903727,3.00098279
3.00022955,2.99901658,3.00112309
3.00022963,2.99892918,2.99996741
3.00022604,2.99893980,2.99971983
3.00022150,2.99895194,2.99952789
3.00021665,2.99896718,2.99950509
3.00021348,2.99898982,2.99971476
3.00021358,2.99902350,3.00003485
3.00021656,2.99905518,3.00031964
3.00022034,2.99906825,3.00055752
3.00022380,2.99906404,3.00075877
3.00022646,2.99905165,3.00091864
3.00022599,2.99894180,2.99971169
3.00022244,2.99895146,2.99955436
3.00021852,2.99896179,2.99948498
3.00021511,2.99897435,2.99955494
3.00021314,2.99899205,2.99975572
3.00021339,2.99901626,3.00000520
3.00021544,2.99904251,3.00023244
3.00021831,2.99906170,3.00042778
3.00022126,2.99906904,3.00060038
3.00022389,2.99906609,3.00075052
