HANDI,ablationA,ortho
4.37177686e-06,2.02769169e-03,1.14172058e-04
2.59428583e-06,1.29115162e-03,9.15719025e-05
1.56599105e-06,7.63631939e-04,8.15136572e-05
1.08394729e-06,4.77821521e-04,8.50116001e-05
9.14191013e-07,3.58189634e-04,9.68303994e-05
9.32372421e-07,3.45730361e-04,1.06730886e-04
1.09463434e-06,4.16425483e-04,1.09037685e-04
1.41208089e-06,5.66435269e-04,1.06715123e-04
1.97056093e-06,7.80123683e-04,1.04872761e-04
3.04505240e-06,9.70565107e-04,1.05890320e-04
3.59922240e-06,8.41342348e-04,1.13709318e-04
1.81889454e-06,4.76544614e-04,9.01425646e-05
9.22399415e-07,2.52296961e-04,7.54704370e-05
5.57507133e-07,1.39039364e-04,7.22279792e-05
4.49558789e-07,9.24531174e-05,7.73978363e-05
4.66648441e-07,8.73644030e-05,8.21636179e-05
5.63638382e-07,1.17186686e-04,8.26504537e-05
7.35506515e-07,1.92736872e-04,8.26785816e-05
1.00208169e-06,3.22713633e-04,8.54683154e-05
1.44375840e-06,4.43315711e-04,9.11572246e-05
2.96398078e-06,4.52882236e-04,1.11178109e-04
1.27763164e-06,2.15459087e-04,8.77826303e-05
5.34245743e-07,8.92396319e-05,7.24867989e-05
2.86295754e-07,3.52518743e-05,6.95481602e-05
2.30680681e-07,1.66265558e-05,7.56700067e-05
2.42164684e-07,1.38015562e-05,7.69456232e-05
2.90969667e-07,2.14622538e-05,7.14254061e-05
3.73060685e-07,4.80240996e-05,6.93226153e-05
4.97598957e-07,1.08389916e-04,7.37466087e-05
6.86282947e-07,1.72438128e-04,8.22728029e-05
2.44475193e-06,3.41170972e-04,1.06438110e-04
9.39444694e-07,1.29865439e-04,8.38917832e-05
3.42238216e-07,3.59343187e-05,7.28996414e-05
1.72203687e-07,8.07928376e-06,8.65948698e-05
1.24375880e-07,2.42504370e-06,1.24499438e-04
1.27519287e-07,1.78573740e-06,1.27205534e-04
1.78836438e-07,3.09181231e-06,8.90973117e-05
2.52107769e-07,1.00711225e-05,6.86521365e-05
3.45723809e-07,2.97025569e-05,6.89434270e-05
4.60879016e-07,5.28193915e-05,7.79222696e-05
1.97765194e-06,3.59955667e-04,1.01309357e-04
7.40631233e-07,1.23141335e-04,7.98677552e-05
2.67002811e-07,2.45167390e-05,7.54139991e-05
1.19869667e-07,3.26625055e-06,1.21227202e-04
3.56198701e-08,7.44671489e-07,2.11415350e-04
3.39961291e-08,6.17086903e-07,2.27131529e-04
1.25456761e-07,9.68620321e-07,1.29230837e-04
2.45980008e-07,3.17441923e-06,7.46147224e-05
3.87224693e-07,1.08280737e-05,6.85838727e-05
5.27189703e-07,2.08105788e-05,7.67440981e-05
1.49554465e-06,4.39188445e-04,9.75454788e-05
6.08505509e-07,1.60828221e-04,7.73848425e-05
2.55199959e-07,3.23542132e-05,7.48493909e-05
1.22742766e-07,3.80934108e-06,1.25509032e-04
3.40459997e-08,6.68457003e-07,2.25654872e-04
3.62344048e-08,6.70953615e-07,2.12187370e-04
1.39560661e-07,7.08675179e-07,1.24322896e-04
3.02447966e-07,5.39360851e-06,7.44449263e-05
5.18943809e-07,2.55257768e-05,6.95351218e-05
7.34794088e-07,5.89785128e-05,7.73931700e-05
1.02423970e-06,5.11280244e-04,9.52274445e-05
5.02947871e-07,2.20178741e-04,7.67804058e-05
2.78202423e-07,5.65124455e-05,7.00780988e-05
1.81352780e-07,9.69257616e-06,8.84182081e-05
1.30705110e-07,1.78463761e-06,1.27213905e-04
1.43138803e-07,7.88835876e-07,1.23962361e-04
2.40598128e-07,2.90795030e-06,8.64220488e-05
4.39914435e-07,2.43673696e-05,6.94096137e-05
7.26057076e-07,8.44252894e-05,7.09266451e-05
1.01341667e-06,1.76388607e-04,7.89788164e-05
7.38421426e-07,5.27875623e-04,9.35463758e-05
4.81039306e-07,2.75858588e-04,7.77051691e-05
3.50555219e-07,9.52592683e-05,6.82078124e-05
2.80371736e-07,2.47664819e-05,6.80440671e-05
2.57336188e-07,7.13577749e-06,7.34904957e-05
2.98480970e-07,1.09744970e-05,7.40751341e-05
4.36654233e-07,3.58686178e-05,6.97411917e-05
6.98358227e-07,1.04524400e-04,6.92626048e-05
1.04158013e-06,2.28458768e-04,7.40452166e-05
1.36116617e-06,3.90896156e-04,8.13915273e-05
8.21869746e-07,4.77567007e-04,9.31635774e-05
7.02450353e-07,2.92533710e-04,8.10698420e-05
6.01744414e-07,1.24679630e-04,7.32292388e-05
5.22601952e-07,4.47658905e-05,7.05975216e-05
4.99275526e-07,3.84209201e-05,7.16436144e-05
5.72851595e-07,8.66350949e-05,7.31235181e-05
7.79454306e-07,1.78994742e-04,7.38458468e-05
1.11412092e-06,3.15739452e-04,7.54429441e-05
1.50077692e-06,4.86109946e-04,7.90090524e-05
1.82368007e-06,6.74202898e-04,8.44004028e-05
1.22176928e-06,3.70163825e-04,9.67737678e-05
1.27378482e-06,2.43574864e-04,8.95240175e-05
1.23746673e-06,1.20159482e-04,8.63192612e-05
1.14834945e-06,8.04014538e-05,8.70353128e-05
1.08276517e-06,1.44804221e-04,8.93747673e-05
1.12306481e-06,2.88628919e-04,9.00982155e-05
1.33292897e-06,4.59308780e-04,8.82363842e-05
1.69778995e-06,6.14874888e-04,8.58089098e-05
2.11050359e-06,7.37013803e-04,8.51726910e-05
2.44667169e-06,8.39660517e-04,8.75806403e-05
