HANDI,ablationA,ortho
8.73079516e-06,4.38146504e-03,1.90139207e-04
5.39227060e-06,2.84739121e-03,1.31756223e-04
3.38353072e-06,1.72506665e-03,1.00639704e-04
2.37126199e-06,1.09491858e-03,9.84094137e-05
1.97839088e-06,8.15480512e-04,1.14798458e-04
1.99934808e-06,7.69383061e-04,1.31728891e-04
2.35037270e-06,9.08142664e-04,1.39977670e-04
3.03540486e-06,1.22479764e-03,1.43983757e-04
4.18353872e-06,1.68206698e-03,1.50940198e-04
6.29050920e-06,2.08770846e-03,1.63817543e-04
6.79347982e-06,1.86951218e-03,1.84877665e-04
3.45629104e-06,1.09954396e-03,1.19927755e-04
1.71789402e-06,5.97312476e-04,7.40674068e-05
9.49707159e-07,3.26256613e-04,5.31388402e-05
6.90865937e-07,2.08122402e-04,5.27391698e-05
7.11370857e-07,1.87473282e-04,5.96170917e-05
9.30406315e-07,2.47458038e-04,6.81077293e-05
1.33943135e-06,4.11825503e-04,8.15108400e-05
1.95185689e-06,6.97534190e-04,1.01720042e-04
2.87627181e-06,9.62864180e-04,1.27177739e-04
5.23201278e-06,9.88925496e-04,1.75350676e-04
2.13355835e-06,4.87167808e-04,1.04934729e-04
7.62862278e-07,2.02366258e-04,4.94112901e-05
2.87465756e-07,7.41727823e-05,1.83345052e-05
1.73910939e-07,3.04716013e-05,9.99900131e-06
1.89277530e-07,2.34215349e-05,1.05964317e-05
2.87496281e-07,3.96149277e-05,1.75427853e-05
4.83580628e-07,9.93718829e-05,3.62240602e-05
7.89210528e-07,2.36242098e-04,6.61788153e-05
1.21466749e-06,3.83626385e-04,1.01847454e-04
4.01503173e-06,6.99122969e-04,1.61499317e-04
1.33387332e-06,2.66187713e-04,8.69066089e-05
3.32847323e-07,6.88691838e-05,2.88594505e-05
8.50069158e-08,1.11383907e-05,5.73054099e-06
4.25077561e-08,1.49537310e-06,1.42355131e-05
4.72849579e-08,8.35300750e-07,1.62570084e-05
1.06922533e-07,3.48536579e-06,5.67742009e-06
2.47879421e-07,1.97324420e-05,1.30856482e-05
4.65326997e-07,6.69465307e-05,4.49457980e-05
7.27429607e-07,1.25390735e-04,8.66480114e-05
3.03214228e-06,7.00583132e-04,1.47516765e-04
8.95231256e-07,2.29466464e-04,7.09476329e-05
1.84003073e-07,3.84037103e-05,1.56652146e-05
3.76456812e-08,2.22517760e-06,1.25220434e-05
5.27708674e-09,1.21325583e-07,2.90865209e-05
4.67699558e-09,7.06502009e-08,3.77608858e-05
5.89834890e-08,3.64895806e-07,2.05145045e-05
2.65702185e-07,6.69870554e-06,7.55477890e-06
5.95246248e-07,2.66648720e-05,3.71919711e-05
9.24259405e-07,5.38361172e-05,8.08142181e-05
2.17483138e-06,8.42777454e-04,1.38199029e-04
6.66813212e-07,2.93703433e-04,6.39313514e-05
1.64956275e-07,4.99128428e-05,1.23931600e-05
4.26344102e-08,2.74679817e-06,1.66340233e-05
4.69171569e-09,8.75145582e-08,3.72386656e-05
5.71816602e-09,9.45472634e-08,2.94518093e-05
8.05452600e-08,4.37356271e-07,1.55555980e-05
3.99573246e-07,1.30881957e-05,9.10138467e-06
9.39581252e-07,5.88404834e-05,4.04915291e-05
1.47777682e-06,1.33534859e-04,8.29526927e-05
1.50317266e-06,9.87192917e-04,1.34943998e-04
5.96605318e-07,4.11593625e-04,6.83077967e-05
2.46411556e-07,9.59425685e-05,1.93438086e-05
1.14704054e-07,1.19874478e-05,5.84702590e-06
5.81879313e-08,9.36260172e-07,1.67960835e-05
7.48192243e-08,6.54785580e-07,1.36086550e-05
2.47312177e-07,7.43887241e-06,5.11892827e-06
7.41582741e-07,5.60506142e-05,1.88404877e-05
1.50588156e-06,1.86919546e-04,5.23899877e-05
2.25949167e-06,3.87049898e-04,9.07885750e-05
1.33949053e-06,1.03129575e-03,1.36172441e-04
8.35644009e-07,5.32582143e-04,8.12717545e-05
5.49646923e-07,1.78195285e-04,3.83249855e-05
3.71776664e-07,4.43527288e-05,1.40739613e-05
2.97882482e-07,1.51130867e-05,6.27702266e-06
3.79412188e-07,2.71700814e-05,8.16977387e-06
7.32901246e-07,8.27661347e-05,1.90602911e-05
1.45980243e-06,2.32054801e-04,4.10952219e-05
2.42154578e-06,5.02066775e-04,7.07129797e-05
3.30778739e-06,8.57893443e-04,1.02081534e-04
2.00137016e-06,9.43995391e-04,1.41903324e-04
1.72209410e-06,5.83420870e-04,1.00688945e-04
1.42432589e-06,2.55739910e-04,6.90218562e-05
1.16300099e-06,1.04607235e-04,5.00741944e-05
1.04773938e-06,1.00172728e-04,4.36958360e-05
1.20233513e-06,2.03819772e-04,4.72000434e-05
1.74829950e-06,4.00725297e-04,5.74105929e-05
2.68658529e-06,6.97724304e-04,7.28351799e-05
3.79274445e-06,1.07377836e-03,9.23837622e-05
4.74488514e-06,1.49230311e-03,1.14708104e-04
3.31244556e-06,7.42150565e-04,1.56007018e-04
3.44999454e-06,5.08201349e-04,1.28993940e-04
3.30916186e-06,2.80336344e-04,1.11404968e-04
3.02678739e-06,2.19621695e-04,1.03920709e-04
2.81206375e-06,3.65583790e-04,1.03750395e-04
2.88860313e-06,6.69578947e-04,1.05807038e-04
3.43934525e-06,1.03295680e-03,1.07009237e-04
4.44453514e-06,1.37472224e-03,1.08930013e-04
5.62790689e-06,1.65335449e-03,1.14878813e-04
6.66466749e-06,1.89205535e-03,1.27124516e-04
