HANDI,ablationA,ortho
9.97843964e-01,0.00000000e+00,9.43693581e-01
9.98720572e-01,3.63240664e-01,9.54839336e-01
9.99227698e-01,6.23398399e-01,9.59799778e-01
9.99465428e-01,7.64351986e-01,9.58074691e-01
9.99549147e-01,8.23351038e-01,9.52245995e-01
9.99540180e-01,8.29495598e-01,9.47363356e-01
9.99460157e-01,7.94630769e-01,9.46225708e-01
9.99303602e-01,7.20650200e-01,9.47371130e-01
9.99028175e-01,6.15265139e-01,9.48279730e-01
9.98498267e-01,5.21344833e-01,9.47777899e-01
9.98224966e-01,5.85073830e-01,9.43921791e-01
9.99102973e-01,7.64981720e-01,9.55544245e-01
9.99545099e-01,8.75574299e-01,9.62780122e-01
9.99725053e-01,9.31429731e-01,9.64379210e-01
9.99778290e-01,9.54404746e-01,9.61829584e-01
9.99769862e-01,9.56914356e-01,9.59479235e-01
9.99722030e-01,9.42206852e-01,9.59239142e-01
9.99637269e-01,9.04947644e-01,9.59225270e-01
9.99505802e-01,8.40846794e-01,9.57849452e-01
9.99287979e-01,7.81369272e-01,9.55043844e-01
9.98538249e-01,7.76651334e-01,9.45170112e-01
9.99369908e-01,8.93741693e-01,9.56708098e-01
9.99736525e-01,9.55989546e-01,9.64251568e-01
9.99858807e-01,9.82614776e-01,9.65700821e-01
9.99886235e-01,9.91800255e-01,9.62681700e-01
9.99880571e-01,9.93193464e-01,9.62052602e-01
9.99856502e-01,9.89415426e-01,9.64775017e-01
9.99816017e-01,9.76315877e-01,9.65812053e-01
9.99754598e-01,9.46545169e-01,9.63630265e-01
9.99661545e-01,9.14958409e-01,9.59425388e-01
9.98794318e-01,8.31744159e-01,9.47507745e-01
9.99536693e-01,9.35954051e-01,9.58626953e-01
9.99831218e-01,9.82278214e-01,9.64047966e-01
9.99915074e-01,9.96015527e-01,9.57293868e-01
9.99938661e-01,9.98804037e-01,9.38600410e-01
9.99937111e-01,9.99119325e-01,9.37265840e-01
9.99911803e-01,9.98475206e-01,9.56059734e-01
9.99875668e-01,9.95033208e-01,9.66142715e-01
9.99829499e-01,9.85351542e-01,9.65999058e-01
9.99772708e-01,9.73950975e-01,9.61570948e-01
9.99024678e-01,8.22480080e-01,9.50037100e-01
9.99634742e-01,9.39270188e-01,9.60611490e-01
9.99868322e-01,9.87909040e-01,9.62807956e-01
9.99940884e-01,9.98389178e-01,9.40214184e-01
9.99982433e-01,9.99632749e-01,8.95735949e-01
9.99983234e-01,9.99695670e-01,8.87985176e-01
9.99938128e-01,9.99522304e-01,9.36267019e-01
9.99878690e-01,9.98434467e-01,9.63202136e-01
9.99809032e-01,9.94659901e-01,9.66176380e-01
9.99740005e-01,9.89736813e-01,9.62151989e-01
9.99262440e-01,7.83404723e-01,9.51893338e-01
9.99699902e-01,9.20684085e-01,9.61835992e-01
9.99874143e-01,9.84043820e-01,9.63086405e-01
9.99939467e-01,9.98121341e-01,9.38102507e-01
9.99983209e-01,9.99670336e-01,8.88713421e-01
9.99982130e-01,9.99669105e-01,8.95355211e-01
9.99931173e-01,9.99650502e-01,9.38687476e-01
9.99850841e-01,9.97340025e-01,9.63285875e-01
9.99744072e-01,9.87411411e-01,9.65707251e-01
9.99637620e-01,9.70913471e-01,9.61831885e-01
9.99494874e-01,7.47851093e-01,9.53036527e-01
9.99751960e-01,8.91414093e-01,9.62134083e-01
9.99862798e-01,9.72129666e-01,9.65439470e-01
9.99910562e-01,9.95219897e-01,9.56394649e-01
9.99935540e-01,9.99119867e-01,9.37261712e-01
9.99929408e-01,9.99610969e-01,9.38865281e-01
9.99881344e-01,9.98565881e-01,9.57379098e-01
9.99783047e-01,9.87982705e-01,9.65769148e-01
9.99641929e-01,9.58363843e-01,9.65020991e-01
9.99500212e-01,9.13010145e-01,9.61049889e-01
9.99635832e-01,7.39666723e-01,9.53865582e-01
9.99762765e-01,8.63954373e-01,9.61678016e-01
9.99827116e-01,9.53020832e-01,9.66361843e-01
9.99861729e-01,9.87785874e-01,9.66442597e-01
9.99873089e-01,9.96480837e-01,9.63756573e-01
9.99852798e-01,9.94587690e-01,9.63468246e-01
9.99784655e-01,9.82310616e-01,9.65605623e-01
9.99655590e-01,9.48451532e-01,9.65841649e-01
9.99486322e-01,8.87330619e-01,9.63483000e-01
9.99328711e-01,8.07221109e-01,9.59860009e-01
9.99594677e-01,7.64477505e-01,9.54054368e-01
9.99653571e-01,8.55730676e-01,9.60018655e-01
9.99703237e-01,9.38511545e-01,9.63885418e-01
9.99742268e-01,9.77922733e-01,9.65183306e-01
9.99753771e-01,9.81051893e-01,9.64667403e-01
9.99717486e-01,9.57274030e-01,9.63937556e-01
9.99615595e-01,9.11724873e-01,9.63581324e-01
9.99450547e-01,8.44286262e-01,9.62793681e-01
9.99259859e-01,7.60264370e-01,9.61034978e-01
9.99100613e-01,6.67502264e-01,9.58376117e-01
9.99397458e-01,8.17445706e-01,9.52273924e-01
9.99371805e-01,8.79875790e-01,9.55849295e-01
9.99389717e-01,9.40740753e-01,9.57429790e-01
9.99433667e-01,9.60348285e-01,9.57076654e-01
9.99466011e-01,9.28586668e-01,9.55922901e-01
9.99446136e-01,8.57656408e-01,9.55566117e-01
9.99342637e-01,7.73481944e-01,9.56484319e-01
9.99162698e-01,6.96761155e-01,9.57681481e-01
9.98959160e-01,6.36525708e-01,9.57995246e-01
9.98793371e-01,5.85903262e-01,9.56807714e-01
