epoch,step,train/align,train/loss,train/main,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
0,10,,,,,,6.50478177703917e-05,4.262607399141416e-05,5.225999484537169e-05
0,10,0.006028502248227596,0.006040777545422316,1.2274724213057198e-05,,,,,
1,21,,,,,,5.4110649216454476e-05,3.507050496409647e-05,4.3589498091023415e-05
1,21,15.619278907775879,15.619281768798828,3.7782008348585805e-06,,,,,
2,32,,,,,,5.25845171068795e-05,3.39686666848138e-05,4.23939163738396e-05
2,32,0.13937582075595856,0.13937850296497345,2.682287458810606e-06,,,,,
3,43,,,,,,5.189982402953319e-05,3.3526102924952284e-05,4.18419876950793e-05
3,43,0.37000659108161926,0.3700082004070282,1.673444103289512e-06,,,,,
4,54,,,,,,5.15744904987514e-05,3.3300912036793306e-05,4.15842114307452e-05
4,54,0.06563248485326767,0.06563393771648407,1.452111973776482e-06,,,,,
5,65,,,,,,5.149446951691061e-05,3.3258544135605916e-05,4.1516908822814e-05
5,65,0.03879779949784279,0.038798995316028595,1.2005419876004453e-06,,,,,
6,76,,,,,,5.146851617610082e-05,3.325424040667713e-05,4.149224332650192e-05
6,76,0.1719360053539276,0.1719370186328888,1.0138484185517882e-06,,,,,
7,87,,,,,,5.143023008713499e-05,3.324053614051081e-05,4.145807179156691e-05
7,87,0.17334453761577606,0.1733454316854477,9.086149361792195e-07,,,,,
8,98,,,,,,5.132666774443351e-05,3.3183077903231606e-05,4.1371738916495815e-05
8,98,0.06734143197536469,0.06734228134155273,8.486136380270182e-07,,,,,
9,109,,,,,,5.126200630911626e-05,3.3138210710603744e-05,4.132054527872242e-05
9,109,3.247168779373169,3.247169017791748,8.195766554308648e-07,,,,,
10,120,,,,,,5.128518751007505e-05,3.31552182615269e-05,4.1338626033393666e-05
10,120,0.45868316292762756,0.45868435502052307,1.1216976645300747e-06,,,,,
11,131,,,,,,5.1623334002215415e-05,3.340930925332941e-05,4.1600542317610234e-05
11,131,543.3419799804688,543.3419799804688,2.1357577679737005e-06,,,,,
12,142,,,,,,5.6418852182105184e-05,3.682462920551188e-05,4.53714637842495e-05
12,142,0.1392674744129181,0.14000023901462555,0.0007327517378143966,,,,,
13,153,,,,,,5.8064699260285124e-05,3.8033020246075466e-05,4.665478991228156e-05
13,153,0.35502922534942627,0.35524412989616394,0.000214915067772381,,,,,
14,164,,,,,,5.7303153880639e-05,3.7450437957886606e-05,4.606802394846454e-05
14,164,0.3662473261356354,0.3663092851638794,6.192215369082987e-05,,,,,
15,175,,,,,,5.557249824050814e-05,3.6214249121258035e-05,4.47082202299498e-05
15,175,0.0124990064650774,0.012517319060862064,1.831171175581403e-05,,,,,
16,186,,,,,,5.387902638176456e-05,3.502816616673954e-05,4.337057544034906e-05
16,186,0.051768045872449875,0.05177631229162216,8.262893970822915e-06,,,,,
17,197,,,,,,5.303031502990052e-05,3.443336390773766e-05,4.270031058695167e-05
17,197,0.06149479001760483,0.061499740928411484,4.950506991008297e-06,,,,,
18,208,,,,,,5.244449857855216e-05,3.4014075936283916e-05,4.22402736148797e-05
18,208,0.02049649879336357,0.02049998752772808,3.485728484520223e-06,,,,,
19,219,,,,,,5.210596646065824e-05,3.377067332621664e-05,4.197476300760172e-05
19,219,0.13022013008594513,0.13022290170192719,2.7864450657943962e-06,,,,,
20,230,,,,,,5.1915692893089727e-05,3.3632728445809335e-05,4.182587144896388e-05
20,230,0.03872612491250038,0.038728535175323486,2.4183516416087514e-06,,,,,
21,241,,,,,,5.18138003826607e-05,3.356060551595874e-05,4.174561763647944e-05
21,241,0.018991073593497276,0.018993277102708817,2.2042620457796147e-06,,,,,
22,252,,,,,,5.1748447731370106e-05,3.351474879309535e-05,4.169402382103726e-05
22,252,0.14405325055122375,0.14405526220798492,2.0224392756063025e-06,,,,,
23,263,,,,,,5.169500218471512e-05,3.347724486957304e-05,4.1651823266875e-05
23,263,0.011302347294986248,0.011304195038974285,1.848269334914221e-06,,,,,
24,274,,,,,,5.164220783626661e-05,3.343971911817789e-05,4.161029210081324e-05
24,274,0.04319320246577263,0.04319492354989052,1.7173249489133013e-06,,,,,
25,285,,,,,,5.157775740372017e-05,3.339353497722186e-05,4.15596914535854e-05
25,285,3.2163801193237305,3.216381788253784,1.7632693243285757e-06,,,,,
