EDMD,SINDy,HANDI,PSE,gEDMD,WSINDy,SR3
3.00019997,2.85306475,3.00024384,2.98118889,2.88676387,3.00022750,2.85577908
3.00019998,2.85298789,3.00024371,2.98111424,2.88664213,3.00022736,2.85574105
3.00020003,2.85285143,3.00024367,2.98097400,2.88755478,3.00022727,2.85565068
3.00020007,2.85267661,3.00024384,2.98083650,2.88779668,3.00022735,2.85552077
3.00020008,2.85254044,3.00024426,2.98083098,2.88780910,3.00022757,2.85540686
3.00020002,2.85253609,3.00024485,2.98100184,2.88805551,3.00022786,2.85538574
3.00019992,2.85264446,3.00024544,2.98121310,2.88820970,3.00022797,2.85545572
3.00019999,2.85274551,3.00024609,2.98133060,2.88817572,3.00022788,2.85553192
3.00019997,2.85277055,3.00024646,2.98132145,2.88810499,3.00022764,2.85555796
3.00019994,2.85274211,3.00024678,2.98118889,2.88804977,3.00022748,2.85553894
3.00019997,2.85311279,3.00024415,2.98132145,2.88687836,3.00022770,2.85581088
3.00019998,2.85311015,3.00024384,2.98135736,2.88765244,3.00022751,2.85583820
3.00019998,2.85303899,3.00024366,2.98127999,2.88789582,3.00022736,2.85581325
3.00020007,2.85286911,3.00024374,2.98112298,2.88799718,3.00022738,2.85570550
3.00020011,2.85266781,3.00024413,2.98114367,2.88829154,3.00022759,2.85555267
3.00019999,2.85262715,3.00024491,2.98141857,2.88855540,3.00022790,2.85549915
3.00019999,2.85274638,3.00024577,2.98158880,2.88847203,3.00022803,2.85556699
3.00019997,2.85282225,3.00024637,2.98153460,2.88819247,3.00022770,2.85561923
3.00019998,2.85278848,3.00024674,2.98135736,2.88801834,3.00022748,2.85559965
3.00019998,2.85271137,3.00024701,2.98111424,2.88800964,3.00022733,2.85554395
3.00019999,2.85308721,3.00024462,2.98133060,2.88749838,3.00022791,2.85576855
3.00019996,2.85316934,3.00024424,2.98153460,2.88792393,3.00022772,2.85587042
3.00019998,2.85324160,3.00024387,2.98165372,2.88821617,3.00022763,2.85598419
3.00020001,2.85320471,3.00024362,2.98161045,2.88861420,3.00022748,2.85603156
3.00020011,2.85297208,3.00024404,2.98186665,2.88925072,3.00022777,2.85590576
3.00020000,2.85287577,3.00024507,2.98231682,2.88951491,3.00022812,2.85580461
3.00020000,2.85295581,3.00024617,2.98210092,2.88893846,3.00022802,2.85580324
3.00019999,2.85290632,3.00024675,2.98165372,2.88823478,3.00022761,2.85573442
3.00019999,2.85276850,3.00024707,2.98127999,2.88784783,3.00022733,2.85562186
3.00020003,2.85264990,3.00024725,2.98097400,2.88796784,3.00022724,2.85552691
3.00019992,2.85294123,3.00024536,2.98121310,2.88767036,3.00022801,2.85562335
3.00020000,2.85305948,3.00024498,2.98158880,2.88807789,3.00022807,2.85575700
3.00020000,2.85329457,3.00024450,2.98210092,2.88873838,3.00022805,2.85603239
3.00020000,2.85369087,3.00024382,2.98259626,2.88998555,3.00022794,2.85654048
3.00020012,2.85385562,3.00024375,2.98390593,2.89222547,3.00022819,2.85694084
3.00020003,2.85372024,3.00024542,2.98424407,2.89230212,3.00022858,2.85680311
3.00020001,2.85334204,3.00024673,2.98259626,2.88989644,3.00022792,2.85627555
3.00020001,2.85294257,3.00024716,2.98161045,2.88840526,3.00022745,2.85584596
3.00020007,2.85270506,3.00024730,2.98112298,2.88776728,3.00022736,2.85561834
3.00020007,2.85258810,3.00024728,2.98083650,2.88775348,3.00022732,2.85550851
3.00020002,2.85273347,3.00024617,2.98100184,2.88762079,3.00022790,2.85543528
3.00019999,2.85282091,3.00024601,2.98141857,2.88802199,3.00022794,2.85554477
3.00020000,2.85308243,3.00024578,2.98231682,2.88902745,3.00022815,2.85586408
