EDMD,SINDy,HANDI,PSE,gEDMD,WSINDy,SR3
0.00009404,0.34439239,0.00000822,0.00160233,0.29954638,0.00035213,0.37536770
0.00009791,0.34480171,0.00001560,0.00176826,0.30430234,0.00023855,0.37624869
0.00011124,0.34554281,0.00002992,0.00167215,0.31508221,0.00020798,0.37748927
0.00012698,0.34601813,0.00004073,0.00106077,0.33230196,0.00023045,0.37859185
0.00013976,0.34581956,0.00004179,0.00009419,0.34915503,0.00027128,0.37915808
0.00014770,0.34506492,0.00003577,0.00060819,0.32760489,0.00031899,0.37919443
0.00015077,0.34425542,0.00002786,0.00082373,0.31464356,0.00037207,0.37898156
0.00014776,0.34358409,0.00002002,0.00087495,0.30659155,0.00041507,0.37854867
0.00013647,0.34294302,0.00001289,0.00094060,0.29692294,0.00042310,0.37781809
0.00011430,0.34252573,0.00000828,0.00096697,0.28603875,0.00037253,0.37709001
0.00012191,0.34488864,0.00001274,0.00143078,0.30975922,0.00041533,0.37616527
0.00012415,0.34650503,0.00002508,0.00187143,0.31840091,0.00032898,0.37824033
0.00013257,0.34853324,0.00004630,0.00210962,0.31109989,0.00030502,0.38087250
0.00014044,0.35016878,0.00006350,0.00143316,0.31062422,0.00031752,0.38334255
0.00014409,0.35025217,0.00006614,0.00003167,0.31013686,0.00033428,0.38445699
0.00014602,0.34892814,0.00005896,0.00074824,0.30783593,0.00034947,0.38408624
0.00014731,0.34749030,0.00004935,0.00057758,0.30640938,0.00036547,0.38314259
0.00014511,0.34609665,0.00003725,0.00053115,inf,0.00036879,0.38169731
0.00013584,0.34448400,0.00002477,0.00073195,inf,0.00034124,0.37972529
0.00011631,0.34290836,0.00001518,0.00089604,0.29679620,0.00026397,0.37773034
0.00013654,0.34535767,0.00001967,0.00089122,0.32805492,0.00041500,0.37676326
0.00013771,0.34797912,0.00003736,0.00150900,0.31126402,0.00036438,0.37996775
0.00014251,0.35138534,0.00006849,0.00225949,0.30647322,0.00035222,0.38434308
0.00014392,0.35422581,0.00009859,0.00170852,0.30198945,0.00035878,0.38889736
0.00013976,0.35370573,0.00010695,0.00035398,0.29710659,0.00036040,0.39074931
0.00014018,0.35165495,0.00010053,0.00050696,0.29665226,0.00036626,0.39003718
0.00014543,0.35106122,0.00008933,0.00012752,0.30056873,0.00036974,0.38884614
0.00014713,0.34932416,0.00006800,0.00015137,0.30369294,0.00035678,0.38592064
0.00014185,0.34645458,0.00004564,0.00067589,inf,0.00031687,0.38208158
0.00012746,0.34372773,0.00002913,0.00094467,inf,0.00023220,0.37870175
0.00014128,0.34555365,0.00002719,0.00001300,0.30890886,0.00037589,0.37699830
0.00014213,0.34882885,0.00004909,0.00044485,0.30673715,0.00036463,0.38106999
0.00014327,0.35255173,0.00008946,0.00162189,0.30134417,0.00036830,0.38668537
0.00013824,0.35142532,0.00014027,0.00174589,0.27982044,0.00037112,0.39117473
0.00012114,0.33323017,0.00016089,0.00035004,0.22882997,0.00034394,0.38536490
0.00012360,0.33073228,0.00015715,0.00025651,0.22976170,0.00035949,0.38520972
0.00013878,0.34951981,0.00013977,0.00006287,0.28039650,0.00037155,0.39347241
0.00014658,0.35199688,0.00009784,0.00077418,0.29861851,0.00036180,0.39017613
0.00014731,0.34821745,0.00006259,0.00118842,inf,0.00032648,0.38421479
0.00014022,0.34451281,0.00003966,0.00118827,inf,0.00024998,0.37957457
0.00013948,0.34558856,0.00003475,0.00090917,0.30321775,0.00032513,0.37695867
0.00014198,0.34927215,0.00005824,0.00110791,0.30286030,0.00034977,0.38161018
0.00013905,0.35188552,0.00010009,0.00043208,0.29510238,0.00036493,0.38737715
0.00012374,0.33137262,0.00015700,0.00074359,0.22833779,0.00035868,0.38237379
0.00007258,0.18006507,0.00015427,0.00007727,0.05550494,0.00022577,0.29151977
0.00007245,0.17850013,0.00015401,0.00047178,0.06268451,0.00022569,0.29337106
0.00012121,0.33144581,0.00016020,0.00103452,0.22612715,0.00034451,0.38760091
0.00014115,0.35193173,0.00010613,0.00196791,0.29164686,0.00036240,0.39171521
0.00014855,0.34893719,0.00006516,0.00180499,0.30313843,0.00034015,0.38515333
0.00014932,0.34496587,0.00004062,0.00133779,inf,0.00028546,0.38006217
0.00013332,0.34547445,0.00004062,0.00133779,0.29746804,0.00028056,0.37663596
0.00014115,0.34947386,0.00006516,0.00180499,0.29819664,0.00033598,0.38154266
0.00013932,0.35248223,0.00010613,0.00196791,0.29242713,0.00035909,0.38768833
0.00012177,0.33188447,0.00016020,0.00103452,0.22803745,0.00034277,0.38276633
0.00007291,0.17856547,0.00015401,0.00047178,0.06153957,0.00022823,0.29000383
0.00007280,0.17996218,0.00015427,0.00007727,0.05810897,0.00022946,0.29562204
0.00012407,0.33090906,0.00015700,0.00074359,0.22782651,0.00036189,0.38676267
0.00014093,0.35133660,0.00010009,0.00043208,0.28936975,0.00036781,0.39093292
0.00014840,0.34875800,0.00005824,0.00110791,0.29529204,0.00035282,0.38490627
0.00015356,0.34510506,0.00003475,0.00090917,inf,0.00032860,0.38018989
0.00012264,0.34502320,0.00003966,0.00118827,0.29140279,0.00024442,0.37591788
0.00013848,0.34872310,0.00006259,0.00118842,0.29360201,0.00032214,0.38030391
0.00014365,0.35245997,0.00009784,0.00077418,0.29394701,0.00035916,0.38598497
0.00013870,0.34980393,0.00013977,0.00006287,0.27875102,0.00037153,0.38948169
0.00012408,0.33062855,0.00015715,0.00025651,0.22901965,0.00036224,0.38371440
0.00012191,0.33290123,0.00016089,0.00035004,0.22816064,0.00034682,0.38789436
0.00013952,0.35097218,0.00014027,0.00174589,0.27783856,0.00037303,0.39444526
0.00014583,0.35208836,0.00008946,0.00162189,0.29169570,0.00036959,0.38981511
0.00014820,0.34839837,0.00004909,0.00044485,0.29104567,0.00036588,0.38417189
0.00015364,0.34513325,0.00002719,0.00001300,inf,0.00037745,0.38011747
0.00010861,0.34422603,0.00002913,0.00094467,0.28751793,0.00022641,0.37487736
0.00013108,0.34691222,0.00004564,0.00067589,0.29091584,0.00031257,0.37803770
0.00014189,0.34969236,0.00006800,0.00015137,0.29413051,0.00035434,0.38182603
0.00014329,0.35121949,0.00008933,0.00012752,0.29457340,0.00036949,0.38535735
0.00013969,0.35150326,0.00010053,0.00050696,0.29110201,0.00036788,0.38839445
0.00014094,0.35336312,0.00010695,0.00035398,0.29029598,0.00036252,0.39147894
0.00014689,0.35385109,0.00009859,0.00170852,0.29219034,0.00036008,0.39098936
0.00014728,0.35104449,0.00006849,0.00225949,0.29106170,0.00035256,0.38697853
0.00014527,0.34767245,0.00003736,0.00150900,0.28853108,0.00036425,0.38284786
0.00014882,0.34505120,0.00001967,0.00089122,inf,0.00041491,0.37977310
0.00009668,0.34341152,0.00001518,0.00089604,0.29529929,0.00025805,0.37387617
0.00012331,0.34492565,0.00002477,0.00073195,0.29084649,0.00033684,0.37572652
0.00013760,0.34644687,0.00003725,0.00053115,0.29269297,0.00036612,0.37781306
0.00014324,0.34767321,0.00004935,0.00057758,0.29402151,0.00036464,0.37990953
0.00014489,0.34888449,0.00005896,0.00074824,0.29396510,0.00035025,0.38219532
0.00014639,0.35002713,0.00006614,0.00003167,0.29266339,0.00033580,0.38421866
0.00014643,0.34988502,0.00006350,0.00143316,0.29017326,0.00031863,0.38445582
0.00014164,0.34827907,0.00004630,0.00210962,0.28757189,0.00030515,0.38286044
0.00013590,0.34630080,0.00002508,0.00187143,0.28623170,0.00032830,0.38074843
0.00013700,0.34471318,0.00001274,0.00143078,inf,0.00041426,0.37899514
0.00009482,0.34312724,0.00000828,0.00096697,0.28756359,0.00036656,0.37350393
0.00012326,0.34342298,0.00001289,0.00094060,0.29253147,0.00041859,0.37403258
0.00013920,0.34397659,0.00002002,0.00087495,0.29137717,0.00041214,0.37495966
0.00014622,0.34451509,0.00002786,0.00082373,0.29121988,0.00037081,0.37601398
0.00014747,0.34514300,0.00003577,0.00060819,0.29065703,0.00031923,0.37727027
0.00014484,0.34572489,0.00004179,0.00009419,0.28898879,0.00027240,0.37848456
0.00013772,0.34583101,0.00004073,0.00106077,0.28628217,0.00023148,0.37909986
0.00012663,0.34535428,0.00002992,0.00167215,0.28389931,0.00020823,0.37895516
0.00011648,0.34466937,0.00001560,0.00176826,inf,0.00023787,0.37843421
0.00011503,0.34436228,0.00000822,0.00160233,inf,0.00035075,0.37815428
