EDMD,SINDy,HANDI,PSE,gEDMD,SR3
1.00000000,0.54271357,1.00000000,1.00000000,0.45728643,0.53266332
1.00000000,0.55276382,1.00000000,1.00000000,0.47738693,0.55778894
1.00000000,0.54773869,1.00000000,1.00000000,0.52763819,0.55778894
1.00000000,0.54773869,1.00000000,1.00000000,0.53266332,0.55778894
1.00000000,0.54773869,1.00000000,1.00000000,0.51758794,0.55778894
1.00000000,0.44723618,1.00000000,1.00000000,0.51758794,0.49748744
1.00000000,0.42211055,1.00000000,1.00000000,0.42211055,0.45728643
1.00000000,0.43718593,1.00000000,1.00000000,0.42211055,0.45226131
1.00000000,0.50753769,1.00000000,1.00000000,0.51758794,0.50753769
1.00000000,0.55778894,1.00000000,1.00000000,0.55276382,0.55778894
1.00000000,0.48241206,1.00000000,1.00000000,0.45728643,0.47236181
1.00000000,0.54773869,1.00000000,1.00000000,0.45728643,0.52763819
1.00000000,0.54773869,1.00000000,1.00000000,0.46231156,0.55778894
1.00000000,0.55276382,1.00000000,1.00000000,0.51758794,0.55778894
1.00000000,0.54773869,1.00000000,1.00000000,0.51758794,0.55778894
1.00000000,0.46733668,1.00000000,1.00000000,0.43718593,0.51256281
1.00000000,0.42713568,1.00000000,1.00000000,0.42211055,0.45728643
1.00000000,0.47738693,1.00000000,1.00000000,0.42211055,0.48241206
1.00000000,0.56281407,1.00000000,1.00000000,0.55276382,0.55276382
1.00000000,0.61809045,1.00000000,1.00000000,0.54773869,0.61306533
1.00000000,0.47236181,1.00000000,1.00000000,0.45226131,0.46733668
1.00000000,0.46733668,1.00000000,1.00000000,0.45226131,0.46231156
1.00000000,0.51758794,1.00000000,1.00000000,0.48743719,0.50753769
1.00000000,0.54773869,1.00000000,1.00000000,0.51758794,0.55778894
1.00000000,0.55276382,1.00000000,1.00000000,0.51758794,0.55778894
1.00000000,0.48743719,1.00000000,1.00000000,0.42211055,0.53266332
1.00000000,0.42713568,1.00000000,1.00000000,0.42211055,0.45728643
1.00000000,0.54271357,1.00000000,1.00000000,0.60301508,0.54773869
1.00000000,0.61809045,1.00000000,1.00000000,0.55276382,0.62814070
1.00000000,0.62311558,1.00000000,1.00000000,0.38693467,0.63819095
1.00000000,0.46733668,1.00000000,1.00000000,0.45226131,0.46733668
1.00000000,0.47236181,1.00000000,1.00000000,0.45728643,0.46231156
1.00000000,0.46733668,1.00000000,1.00000000,0.45728643,0.46231156
1.00000000,0.46733668,1.00000000,1.00000000,0.45226131,0.46231156
1.00000000,0.54773869,1.00000000,1.00000000,0.51758794,0.55778894
1.00000000,0.47738693,1.00000000,1.00000000,0.42713568,0.51758794
1.00000000,0.47738693,1.00000000,1.00000000,0.48241206,0.47738693
1.00000000,0.61809045,1.00000000,1.00000000,0.63316583,0.63819095
1.00000000,0.61809045,1.00000000,1.00000000,0.63316583,0.63819095
1.00000000,0.61809045,1.00000000,1.00000000,0.59798995,0.63819095
1.00000000,0.51758794,1.00000000,1.00000000,0.47236181,0.50251256
1.00000000,0.54271357,1.00000000,1.00000000,0.45226131,0.52261307
1.00000000,0.55276382,1.00000000,1.00000000,0.45226131,0.55276382
1.00000000,0.53768844,1.00000000,1.00000000,0.45728643,0.52763819
1.00000000,0.46733668,1.00000000,1.00000000,0.45226131,0.46231156
1.00000000,0.42713568,1.00000000,1.00000000,0.42211055,0.45226131
1.00000000,0.61809045,1.00000000,1.00000000,0.63316583,0.63316583
1.00000000,0.61809045,1.00000000,1.00000000,0.63819095,0.63819095
1.00000000,0.61809045,1.00000000,1.00000000,0.53768844,0.63316583
1.00000000,0.61809045,1.00000000,1.00000000,0.48241206,0.63819095
1.00000000,0.63316583,1.00000000,1.00000000,0.55778894,0.59296482
1.00000000,0.62814070,1.00000000,1.00000000,0.55276382,0.59296482
1.00000000,0.63316583,1.00000000,1.00000000,0.55778894,0.59296482
1.00000000,0.63316583,1.00000000,1.00000000,0.54773869,0.56783920
1.00000000,0.41206030,1.00000000,1.00000000,0.30653266,0.38693467
1.00000000,0.46733668,1.00000000,1.00000000,0.42713568,0.46733668
1.00000000,0.52261307,1.00000000,1.00000000,0.48743719,0.56783920
1.00000000,0.53266332,1.00000000,1.00000000,0.45226131,0.58291457
1.00000000,0.51256281,1.00000000,1.00000000,0.42713568,0.56783920
1.00000000,0.49748744,1.00000000,1.00000000,0.43216080,0.54773869
1.00000000,0.62814070,1.00000000,1.00000000,0.53266332,0.59798995
1.00000000,0.62814070,1.00000000,1.00000000,0.53768844,0.59296482
