EDMD,SINDy,HANDI,PSE,gEDMD,SR3
0.00066291,1.38108929,0.00338614,0.41564245,inf,1.37823424
0.00065977,1.39134789,0.00311187,0.39019077,inf,1.38424451
0.00073337,1.39594044,0.00277515,0.37492827,inf,1.38882439
0.00073942,1.40036078,0.00255625,0.35542055,inf,1.39323577
0.00051635,1.40321886,0.00266124,0.33222314,inf,1.39607914
0.00007495,1.40321701,0.00309336,0.32606655,inf,1.39608001
0.00035734,1.40036292,0.00359913,0.33587904,inf,1.39323394
0.00052123,1.33154419,0.00392796,0.35320715,inf,1.31962412
0.00030532,1.31998975,0.00400628,0.36991524,inf,1.34834521
0.00022773,1.35342509,0.00387534,0.38206223,inf,1.38115542
0.00016331,1.38585958,0.00352718,0.46374698,1.79778193,1.36113187
0.00007302,1.39222864,0.00337428,0.43817788,inf,1.38917976
0.00015480,1.40668045,0.00309221,0.39223157,inf,1.39953058
0.00026360,1.41644863,0.00282850,0.36925380,inf,1.40927344
0.00013408,1.42365382,0.00287187,0.34043952,1.72963031,1.41646120
0.00026271,1.42366159,0.00329140,0.32223086,1.72962281,1.41646190
0.00060908,1.41630404,0.00372854,0.33317695,1.71926877,1.40828536
0.00064753,1.29670982,0.00390165,0.35550868,1.71050587,1.32569064
0.00035002,1.36618158,0.00382368,0.37444284,inf,1.39425000
0.00018584,1.38090119,0.00359132,0.38709570,inf,1.40839780
0.00004292,1.41740701,0.00352617,0.47554065,1.80316207,1.39285033
0.00027612,1.41930560,0.00353476,0.47548578,1.79500902,1.39092568
0.00028878,1.41286701,0.00337437,0.45950523,1.74951982,1.41163647
0.00013076,1.44808251,0.00307772,0.38955498,1.75713173,1.44080965
0.00016591,1.47133738,0.00300682,0.35436658,1.78332386,1.46399742
0.00052547,1.47133712,0.00342932,0.31729472,1.78332728,1.46399179
0.00073017,1.42533007,0.00375458,0.32822565,1.65038654,1.41416395
0.00063101,1.38514368,0.00372466,0.35898349,1.82066057,1.41355196
0.00031591,1.39918607,0.00350888,0.38058345,inf,1.42675286
0.00013022,1.38951397,0.00322091,0.39372463,inf,1.41686542
0.00003236,1.42186562,0.00334340,0.45575204,1.80833923,1.39750376
0.00033597,1.43810345,0.00350706,0.45438922,1.82716047,1.41357221
