EDMD,SINDy,HANDI,PSE,gEDMD,SR3
3.00014384,0.58879665,2.99973537,0.01934486,inf,0.58391647
3.00012293,0.57999490,2.99971698,0.02231996,inf,0.57019001
3.00009943,0.55803809,2.99968772,0.02681913,inf,0.54398026
3.00008708,0.52129680,2.99965929,0.02628093,inf,0.50491954
3.00010284,0.47687398,2.99966064,0.01977178,inf,0.46289969
3.00014265,0.44267481,2.99970883,0.01382352,inf,0.43802653
3.00017735,0.49714858,2.99977924,0.00983597,inf,0.50141804
3.00018810,0.57780193,2.99983469,0.00739651,inf,0.57830789
3.00018069,0.58799494,2.99986392,0.00603740,inf,0.58569573
3.00016699,0.58335846,2.99987416,0.00532890,inf,0.57965906
3.00016375,0.58613833,2.99974728,0.01392462,0.51243664,0.58607561
3.00014507,0.58871950,2.99973511,0.01709528,inf,0.58365308
3.00011543,0.57599756,2.99970870,0.02149078,inf,0.56503034
3.00008804,0.53953567,2.99967254,0.02719179,inf,0.52369470
3.00009649,0.48631079,2.99966478,0.02369512,0.53368134,0.47131982
3.00014560,0.44240109,2.99972434,0.01529523,0.51419901,0.43819258
3.00018225,0.52054156,2.99980974,0.00977436,0.54268632,0.52455056
3.00018209,0.58675641,2.99986176,0.00697363,0.52972121,0.58560662
3.00016539,0.58270814,2.99987726,0.00566592,inf,0.57881303
3.00014823,0.56957640,2.99987455,0.00504028,inf,0.56420593
3.00017844,0.56054575,2.99975703,0.00730999,0.53543598,0.56838501
3.00016794,0.57844646,2.99975429,0.00899642,0.54732860,0.58170835
3.00014137,0.58908521,2.99973986,0.01375867,0.54463960,0.58525804
3.00009743,0.56829015,2.99970217,0.02068399,0.52947279,0.55571592
3.00008620,0.50897619,2.99967695,0.02719388,0.51370283,0.49268187
3.00014946,0.44232568,2.99975716,0.01814330,0.52816165,0.43826898
3.00018041,0.55739671,2.99985705,0.00959428,0.55296716,0.55946952
3.00016168,0.58437005,2.99988427,0.00640455,0.53535566,0.58079640
3.00013978,0.56361437,2.99987404,0.00522738,inf,0.55775564
3.00012617,0.54498216,2.99985709,0.00470871,inf,0.53801584
3.00017817,0.46983384,2.99975958,0.00429394,0.51187418,0.48568809
3.00017806,0.49125000,2.99976471,0.00433123,0.52745081,0.50629407
3.00016905,0.53199538,2.99977034,0.00479023,0.53885615,0.54331720
3.00012760,0.58624967,2.99976137,0.00900369,0.54747325,0.58602672
3.00006597,0.55905742,2.99972061,0.02051160,0.52183762,0.54551630
3.00014858,0.44537889,2.99983918,0.02218579,0.53289158,0.44410788
3.00015049,0.58806978,2.99990638,0.00880817,0.54543255,0.58592042
3.00012368,0.55241497,2.99987218,0.00565013,0.50613477,0.54547462
3.00011416,0.52393058,2.99984009,0.00472479,0.49032758,0.51567935
3.00011233,0.50689274,2.99981955,0.00434100,inf,0.49813983
3.00015682,0.42330736,2.99976108,0.00376464,0.49746758,0.43435152
3.00015693,0.42287002,2.99976712,0.00376624,0.50048747,0.43408406
3.00015721,0.42270225,2.99978134,0.00381182,0.50846720,0.43405748
3.00014728,0.42321603,2.99982149,0.00380043,0.51423430,0.43551615
3.00003933,0.52168925,2.99990458,0.00380538,0.53965346,0.53439046
3.00007700,0.54019719,3.00004234,0.01859404,0.55036430,0.54290733
3.00009459,0.53909110,2.99987623,0.00662868,0.50644983,0.53017684
3.00010960,0.48761221,2.99981369,0.00471663,0.49044666,0.47738309
3.00011766,0.46854669,2.99979075,0.00418449,0.50778246,0.45834737
3.00012235,0.46017325,2.99977990,0.00397520,0.52828644,0.44997137
3.00012851,0.46275125,2.99977990,0.00397520,0.51754472,0.47130979
3.00012267,0.47117628,2.99979075,0.00418449,0.50544346,0.47969100
3.00011479,0.49044666,2.99981369,0.00471663,0.50193026,0.49876103
3.00010062,0.53836101,2.99987623,0.00662868,0.51511983,0.54506625
3.00008244,0.51996436,3.00004234,0.01859404,0.55146657,0.51888276
3.00003670,0.53350973,2.99990458,0.00380538,0.53888971,0.52453886
3.00014366,0.43300154,2.99982149,0.00380043,0.51562907,0.42043859
3.00015396,0.42737921,2.99978134,0.00381182,0.51805454,0.41505937
3.00015360,0.42735609,2.99976712,0.00376624,0.52859203,0.41510087
3.00015259,0.42738532,2.99976108,0.00376464,0.53402203,0.41522959
3.00011769,0.50744454,2.99981955,0.00434100,inf,0.51478577
3.00011976,0.52347436,2.99984009,0.00472479,0.52567125,0.53030097
3.00012970,0.54955734,2.99987218,0.00565013,0.53167476,0.55507930
3.00015575,0.57599912,2.99990638,0.00880817,0.55779842,0.57761769
3.00015144,0.43372368,2.99983918,0.02218579,0.52041947,0.43643545
3.00006620,0.53903085,2.99972061,0.02051160,0.49089266,0.55234317
3.00012395,0.58085586,2.99976137,0.00900369,0.53505588,0.58237372
3.00016521,0.54156553,2.99977034,0.00479023,0.53906672,0.53269494
3.00017491,0.50563421,2.99976471,0.00433123,0.53661489,0.49253589
3.00017524,0.48529949,2.99975958,0.00429394,inf,0.47074542
3.00012889,0.54204541,2.99985709,0.00470871,inf,0.54786425
3.00014391,0.55883411,2.99987404,0.00522738,0.54068890,0.56355481
3.00016619,0.57521299,2.99988427,0.00640455,0.55259679,0.57788488
3.00018388,0.53894406,2.99985705,0.00959428,0.55792441,0.53792678
3.00015230,0.42992950,2.99975716,0.01814330,0.51678749,0.43496408
3.00008760,0.48714994,2.99967695,0.02719388,0.47551356,0.50404809
3.00009546,0.55067041,2.99970217,0.02068399,0.50035075,0.56381932
3.00013744,0.58000065,2.99973986,0.01375867,0.53120836,0.58444138
3.00016381,0.57629006,2.99975429,0.00899642,inf,0.57436436
3.00017471,0.56315108,2.99975703,0.00730999,inf,0.55717654
3.00014825,0.56377851,2.99987455,0.00504028,inf,0.56796158
3.00016751,0.57421781,2.99987726,0.00566592,inf,0.57711151
3.00018510,0.57222223,2.99986176,0.00697363,0.56019927,0.57311604
3.00018558,0.50292555,2.99980974,0.00977436,0.55255038,0.50041722
3.00014922,0.42992210,2.99972434,0.01529523,0.52004157,0.43525536
3.00009881,0.46606526,2.99966478,0.02369512,0.47963909,0.48277839
3.00008749,0.51941672,2.99967254,0.02719179,0.48366503,0.53667119
3.00011257,0.56066908,2.99970870,0.02149078,0.51455079,0.57223550
3.00014085,0.57863558,2.99973511,0.01709528,inf,0.58413648
3.00015902,0.58060445,2.99974728,0.01392462,inf,0.58154586
3.00016466,0.57500684,2.99987416,0.00532890,inf,0.57775057
3.00018128,0.57598159,2.99986392,0.00603740,0.47572092,0.57762467
3.00019088,0.55995305,2.99983469,0.00739651,0.56033746,0.55981155
3.00018225,0.48241422,2.99977924,0.00983597,0.54809917,0.47992286
3.00014836,0.42994168,2.99970883,0.01382352,0.51540026,0.43565593
3.00010651,0.45769182,2.99966064,0.01977178,0.47763280,0.47345143
3.00008765,0.50095841,2.99965929,0.02628093,0.49237057,0.51915816
3.00009798,0.53989088,2.99968772,0.02681913,inf,0.55522412
3.00011992,0.56511564,2.99971698,0.02231996,inf,0.57579533
3.00013924,0.57838417,2.99973537,0.01934486,inf,0.58409831
