EDMD,SINDy,HANDI,PSE,gEDMD,WSINDy,SR3
inf,0.66834171,1.00000000,1.00000000,inf,1.00000000,0.65829146
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
inf,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
inf,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
inf,1.00000000,1.00000000,1.00000000,inf,1.00000000,0.95979899
inf,0.43216080,1.00000000,1.00000000,inf,1.00000000,0.20100503
inf,0.37688442,1.00000000,1.00000000,inf,1.00000000,0.57286432
inf,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
inf,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
inf,0.24623116,1.00000000,1.00000000,inf,1.00000000,0.20100503
1.00000000,0.68341709,1.00000000,1.00000000,inf,1.00000000,0.67336683
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,0.87437186
1.00000000,0.00000000,1.00000000,1.00000000,inf,1.00000000,0.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
inf,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,0.00000000,1.00000000,1.00000000,inf,1.00000000,0.00000000
1.00000000,0.00000000,1.00000000,1.00000000,inf,1.00000000,0.00000000
1.00000000,0.64824121,1.00000000,1.00000000,0.00000000,1.00000000,0.62814070
1.00000000,1.00000000,1.00000000,1.00000000,0.62814070,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,0.67839196,1.00000000,0.76884422
1.00000000,0.15075377,1.00000000,1.00000000,0.12060302,1.00000000,0.33165829
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
inf,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,0.00000000,1.00000000,1.00000000,inf,1.00000000,0.17587940
1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,0.00000000
1.00000000,0.00000000,1.00000000,1.00000000,0.00000000,1.00000000,0.00000000
1.00000000,0.55276382,1.00000000,1.00000000,0.00000000,1.00000000,0.51758794
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,0.69849246,1.00000000,1.00000000,0.33668342,1.00000000,0.44723618
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,0.59296482,1.00000000,1.00000000,inf,1.00000000,0.95979899
1.00000000,0.50753769,1.00000000,1.00000000,0.43216080,1.00000000,0.86432161
1.00000000,0.40201005,1.00000000,1.00000000,0.04020101,1.00000000,0.75879397
1.00000000,0.11055276,1.00000000,1.00000000,0.00000000,1.00000000,0.45728643
1.00000000,0.00000000,0.90954774,1.00000000,0.00000000,1.00000000,0.00000000
1.00000000,0.81909548,0.92964824,1.00000000,0.30150754,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,0.68844221,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,0.92964824
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,0.87939698
1.00000000,1.00000000,1.00000000,1.00000000,inf,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000,1.00000000
