SINDy,HANDI,PSE,gEDMD,SR3
8.05324844e-02,1.41753670e-06,2.45986473e-02,1.86352411e-01,8.01935342e-02
7.86119995e-02,3.54647805e-07,2.49815663e-02,2.05636567e-01,7.85292684e-02
7.86738096e-02,9.85424008e-08,2.49111148e-02,1.67864326e-01,7.87820668e-02
7.91632649e-02,5.42742837e-08,2.49203807e-02,2.91322762e-01,7.93836578e-02
7.97375397e-02,6.52174009e-08,2.51838024e-02,2.80253054e-01,7.99796732e-02
8.00126081e-02,1.08828976e-07,2.58636985e-02,2.89000054e-01,8.02273390e-02
7.96189379e-02,2.02230087e-07,2.68016250e-02,3.09514085e-01,7.98015256e-02
7.85795339e-02,3.94714631e-07,2.70472699e-02,2.98354000e-01,7.87142550e-02
7.77589382e-02,7.68574168e-07,2.56865221e-02,2.88715096e-01,7.77476969e-02
8.01491638e-02,1.46458379e-06,2.30243878e-02,1.53211560e-01,7.95644987e-02
7.80186106e-02,7.45913284e-07,2.68554709e-02,1.76751367e-01,7.78277829e-02
7.87142225e-02,1.57923362e-07,2.63650912e-02,2.41480335e-01,7.85782371e-02
8.00774632e-02,3.29803145e-08,2.47215450e-02,1.05800256e-01,8.00640457e-02
8.12474536e-02,1.26368775e-08,2.28306367e-02,9.65843838e-02,8.13365640e-02
8.19672050e-02,1.09086514e-08,2.15121514e-02,9.44684060e-02,8.21149589e-02
8.22067850e-02,1.54189481e-08,2.18375486e-02,9.39888397e-02,8.23859353e-02
8.17994763e-02,2.96371370e-08,2.39337997e-02,9.38948478e-02,8.20025727e-02
7.83156800e-02,3.59457157e-07,2.34249305e-02,2.73625800e-01,7.80128717e-02
7.86545127e-02,3.82569094e-07,2.69775103e-02,2.76092231e-01,7.87044170e-02
8.04610552e-02,6.72236142e-08,2.50458178e-02,1.02716662e-01,8.04818955e-02
8.21219447e-02,1.06148387e-08,2.09843402e-02,9.40449403e-02,8.21883444e-02
8.18440276e-02,3.05042776e-09,1.63351663e-02,9.07405591e-02,8.19157438e-02
7.98602253e-02,2.19432864e-09,1.30184783e-02,8.68666614e-02,7.99389077e-02
7.97911972e-02,2.34760161e-09,1.32031063e-02,8.64253336e-02,7.99039244e-02
8.19001718e-02,3.95842171e-09,1.73435235e-02,8.93475062e-02,8.20595886e-02
8.20749584e-02,1.08296830e-08,2.23956287e-02,8.97284316e-02,8.22528419e-02
7.95160172e-02,1.95444822e-07,2.58289374e-02,9.85397707e-02,7.97079010e-02
8.18006663e-02,2.88768637e-08,2.24443645e-02,9.27213005e-02,8.19058130e-02
8.19493978e-02,3.85720123e-09,1.57478276e-02,9.03331656e-02,8.20132462e-02
7.42469158e-02,1.89244168e-09,8.33244221e-03,7.83646287e-02,7.43415245e-02
5.98433134e-02,5.55183131e-09,3.73236752e-03,5.83955546e-02,6.02660125e-02
5.97209519e-02,4.81547909e-09,3.81101106e-03,5.84469721e-02,6.02382178e-02
7.42268609e-02,1.89963784e-09,9.18240681e-03,7.84440553e-02,7.45264936e-02
8.18064747e-02,3.12313087e-09,1.73954213e-02,8.89351240e-02,8.20039958e-02
7.97866881e-02,1.05223919e-07,2.45885732e-02,9.07983730e-02,7.99758434e-02
8.21395077e-02,1.50468617e-08,2.06901991e-02,9.07254823e-02,8.21879120e-02
7.98602933e-02,2.31883086e-09,1.23791465e-02,8.63607608e-02,7.98443008e-02
5.97912160e-02,4.78484848e-09,3.55577028e-03,5.84934360e-02,6.01615563e-02
1.99724918e-02,1.01092775e-08,1.29985971e-04,1.52215742e-02,2.06339918e-02
1.99557520e-02,1.01089328e-08,1.37908455e-04,1.51758592e-02,2.06621598e-02
5.98458850e-02,5.51551398e-09,3.85679413e-03,5.86387262e-02,6.05301598e-02
7.97697362e-02,2.19315253e-09,1.31324152e-02,8.63809527e-02,7.99989288e-02
8.17343502e-02,1.07793912e-08,2.10321638e-02,1.00795601e-01,8.17825157e-02
7.95061441e-02,6.34252988e-08,2.39181624e-02,8.92193975e-02,7.96720685e-02
8.18787166e-02,1.07793912e-08,2.10321638e-02,9.02346483e-02,8.18878268e-02
7.99112197e-02,2.19315254e-09,1.31324152e-02,8.61084676e-02,7.98753172e-02
5.98911239e-02,5.51551399e-09,3.85679413e-03,5.84937258e-02,6.03031349e-02
1.99555632e-02,1.01089328e-08,1.37908455e-04,1.51743568e-02,2.06413403e-02
1.99701140e-02,1.01092775e-08,1.29985971e-04,1.51898662e-02,2.07224701e-02
5.97361278e-02,4.78484852e-09,3.55577028e-03,5.87259459e-02,6.04572987e-02
7.97073255e-02,2.31883086e-09,1.23791465e-02,8.61395171e-02,7.99169243e-02
8.20080645e-02,1.50468617e-08,2.06901991e-02,9.49975315e-02,8.19958847e-02
7.89608856e-02,5.33539890e-08,2.36861424e-02,9.20477950e-02,7.91259241e-02
8.11184066e-02,1.26613119e-08,2.28189982e-02,9.15522107e-02,8.11413815e-02
8.17952188e-02,3.12313087e-09,1.73954213e-02,8.94846843e-02,8.17767523e-02
7.41748720e-02,1.89963784e-09,9.18240681e-03,7.81159519e-02,7.43307058e-02
5.96695270e-02,4.81547913e-09,3.81101106e-03,5.85276177e-02,6.02620468e-02
5.97885453e-02,5.55183130e-09,3.73236753e-03,5.84406171e-02,6.04359149e-02
7.41295968e-02,1.89244168e-09,8.33244221e-03,7.80743054e-02,7.44556838e-02
8.17817630e-02,3.85720123e-09,1.57478276e-02,8.84724357e-02,8.18870914e-02
8.16725243e-02,2.88768637e-08,2.24443645e-02,9.39367949e-02,8.15825125e-02
7.84239089e-02,9.81241001e-08,2.35640376e-02,1.02530616e-01,7.85618896e-02
7.97747006e-02,3.30855527e-08,2.46145618e-02,9.52048395e-02,7.97772944e-02
8.18334270e-02,1.08296830e-08,2.23956287e-02,9.14026685e-02,8.17841508e-02
8.16631177e-02,3.95842171e-09,1.73435235e-02,8.86571734e-02,8.16206494e-02
7.95937357e-02,2.34760161e-09,1.32031063e-02,8.54500331e-02,7.96246810e-02
7.96685223e-02,2.19432864e-09,1.30184783e-02,8.53349856e-02,7.97311255e-02
8.16217331e-02,3.05042776e-09,1.63351663e-02,8.80271777e-02,8.16356286e-02
8.18682309e-02,1.06148387e-08,2.09843402e-02,8.90734417e-02,8.18002814e-02
8.02043994e-02,6.72236142e-08,2.50458178e-02,9.41580575e-02,8.00183149e-02
7.83721904e-02,3.59457157e-07,2.34249305e-02,1.87459769e-01,7.84911939e-02
7.82566758e-02,1.59827750e-07,2.56904879e-02,1.06510025e-01,7.82262552e-02
8.00114602e-02,6.84270135e-08,2.58949023e-02,9.32544428e-02,7.99372437e-02
8.14403132e-02,2.96371370e-08,2.39337997e-02,9.00341539e-02,8.13628180e-02
8.18840150e-02,1.54189481e-08,2.18375486e-02,8.94277759e-02,8.18077414e-02
8.16588699e-02,1.09086514e-08,2.15121514e-02,8.85392125e-02,8.15504236e-02
8.09267369e-02,1.26368775e-08,2.28306367e-02,8.81898902e-02,8.07636157e-02
7.96894800e-02,3.29803145e-08,2.47215450e-02,9.01222152e-02,7.95168556e-02
7.82119264e-02,1.57923362e-07,2.63650912e-02,1.03375007e-01,7.80896048e-02
8.08744501e-02,1.46458379e-06,2.30243878e-02,1.70245613e-01,8.13151453e-02
7.76168055e-02,7.68574168e-07,2.56865221e-02,1.37196477e-01,7.76240834e-02
7.82373329e-02,3.94714631e-07,2.70472699e-02,1.01367771e-01,7.81814057e-02
7.92363346e-02,2.02230087e-07,2.68016250e-02,9.27886503e-02,7.91823668e-02
7.96362359e-02,1.08828976e-07,2.58636985e-02,8.99782705e-02,7.95784097e-02
7.93740883e-02,6.52174009e-08,2.51838024e-02,8.78382794e-02,7.93006660e-02
7.87812405e-02,5.42742838e-08,2.49203807e-02,8.82347066e-02,7.87467721e-02
7.81739373e-02,9.85424009e-08,2.49111148e-02,9.55000750e-02,7.83113562e-02
