SINDy,HANDI,PSE,gEDMD,SR3
8.19484881e-01,9.99993768e-01,8.92576172e-01,0.00000000e+00,8.19504834e-01
8.21286625e-01,9.99996302e-01,8.94174930e-01,9.20462026e-04,8.21153870e-01
8.22363528e-01,9.99997768e-01,8.95956480e-01,2.14255307e-03,8.22200760e-01
8.23049130e-01,9.99998455e-01,8.97849311e-01,2.96990233e-03,8.22863765e-01
8.23274448e-01,9.99998697e-01,8.99041894e-01,8.09416650e-01,8.23047458e-01
8.23266788e-01,9.99998671e-01,8.98980516e-01,8.14928095e-01,8.23008249e-01
8.22984742e-01,9.99998440e-01,8.97749599e-01,8.16914778e-01,8.22715804e-01
8.22154401e-01,9.99997987e-01,8.95764602e-01,8.13585774e-01,8.21907222e-01
8.20997181e-01,9.99997191e-01,8.93406422e-01,8.04470289e-01,8.20831902e-01
8.19708806e-01,9.99995659e-01,8.90994256e-01,7.92825776e-01,8.19556237e-01
8.21080565e-01,9.99994869e-01,8.93931264e-01,4.86233879e-03,8.20933890e-01
8.22544239e-01,9.99997407e-01,8.95825034e-01,7.13118337e-03,8.22381700e-01
8.24165820e-01,9.99998685e-01,8.98282333e-01,1.00618542e-02,8.23999859e-01
8.25751499e-01,9.99999205e-01,9.01095455e-01,8.20504400e-01,8.25563638e-01
8.26569267e-01,9.99999359e-01,9.02893716e-01,8.24901787e-01,8.26313631e-01
8.26423637e-01,9.99999335e-01,9.02581909e-01,8.26794473e-01,8.26127006e-01
8.25467632e-01,9.99999197e-01,9.00490812e-01,8.26052154e-01,8.25184465e-01
8.23918348e-01,9.99998952e-01,8.97786512e-01,8.22072611e-01,8.23680915e-01
8.22406472e-01,9.99998572e-01,8.95255968e-01,8.07044571e-01,8.22261744e-01
8.21335836e-01,9.99997942e-01,8.93244299e-01,7.90668987e-01,8.21209786e-01
8.21946410e-01,9.99995775e-01,8.95183541e-01,7.98989865e-01,8.21785437e-01
8.23782276e-01,9.99998179e-01,8.97673544e-01,8.07366237e-01,8.23606123e-01
8.26572669e-01,9.99999238e-01,9.01811546e-01,8.25290062e-01,8.26383975e-01
