SINDy,HANDI,PSE,gEDMD,SR3
1.04295989e-01,1.06297032e-04,4.89548698e-02,inf,1.04306282e-01
1.03182158e-01,1.11400895e-04,4.84160500e-02,inf,1.03186739e-01
1.02368940e-01,7.91189900e-05,4.80736948e-02,inf,1.02372426e-01
1.01842440e-01,3.82143435e-05,4.79849450e-02,inf,1.01835447e-01
1.01635563e-01,1.23038796e-05,4.82223272e-02,inf,1.01618643e-01
1.01546266e-01,3.46978365e-06,4.87231503e-02,inf,1.01553870e-01
1.01854798e-01,2.66155768e-06,4.93828269e-02,inf,1.01909976e-01
1.03017952e-01,6.69817187e-06,5.00475363e-02,inf,1.03008076e-01
1.03941126e-01,2.28959544e-05,5.06619681e-02,inf,1.03930400e-01
1.05024320e-01,5.68571879e-05,5.13402027e-02,inf,1.05027467e-01
1.03447084e-01,2.47020892e-05,4.75210250e-02,1.25750743e-01,1.03465014e-01
1.01879491e-01,3.75805742e-05,4.61790534e-02,inf,1.01885871e-01
1.00310730e-01,3.17765426e-05,4.51502172e-02,inf,1.00316338e-01
9.90835987e-02,1.75878042e-05,4.45430358e-02,inf,9.90838527e-02
9.84732062e-02,7.54697235e-06,4.45201724e-02,1.21461108e-01,9.84595299e-02
9.83345053e-02,4.36727002e-06,4.52441757e-02,1.20314394e-01,9.83459466e-02
9.92097057e-02,6.25421362e-06,4.64944258e-02,1.19822719e-01,9.92550708e-02
1.01032648e-01,1.55924412e-05,4.78760555e-02,1.23576685e-01,1.01013894e-01
1.02582076e-01,3.87076669e-05,4.91300517e-02,inf,1.02576544e-01
1.04059087e-01,7.52865743e-05,5.02659629e-02,inf,1.04067246e-01
1.02858840e-01,4.23206908e-06,4.67944875e-02,1.22680103e-01,1.02921028e-01
1.00668007e-01,1.15926480e-05,4.44674158e-02,1.20203596e-01,1.00713392e-01
9.78399845e-02,1.22457277e-05,4.14946799e-02,1.17866440e-01,9.78618442e-02
9.50566482e-02,7.60704756e-06,3.92040114e-02,1.15448311e-01,9.50691308e-02
9.33705795e-02,3.83540922e-06,3.83002388e-02,1.13923656e-01,9.33676978e-02
9.30445905e-02,3.35637087e-06,3.93437377e-02,1.13551203e-01,9.30603822e-02
9.52251121e-02,6.49002648e-06,4.20772429e-02,1.14791449e-01,9.52372465e-02
9.84888767e-02,1.58025627e-05,4.50069367e-02,1.18895358e-01,9.84740495e-02
1.01180098e-01,3.49646810e-05,4.73447184e-02,inf,1.01184276e-01
1.03311126e-01,6.10086974e-05,4.91227287e-02,inf,1.03324730e-01
1.02428674e-01,1.75995367e-06,4.66167394e-02,1.22817430e-01,1.02459860e-01
9.96479120e-02,4.44350872e-06,4.37207044e-02,1.19449045e-01,9.96933075e-02
9.53043770e-02,4.95372757e-06,3.91154385e-02,1.15143808e-01,9.53700128e-02
8.91194524e-02,2.81777758e-06,3.24326758e-02,1.09052733e-01,8.91592921e-02
8.39444200e-02,1.05500338e-06,2.77593262e-02,1.03276926e-01,8.39738023e-02
8.29681087e-02,1.14589051e-06,2.91231720e-02,1.02536334e-01,8.29961996e-02
8.97226425e-02,3.38337386e-06,3.58373619e-02,1.09502708e-01,8.96821135e-02
9.59324939e-02,9.12374022e-06,4.17094874e-02,1.16862602e-01,9.59236881e-02
1.00013138e-01,1.95716665e-05,4.55452455e-02,1.20819274e-01,1.00020651e-01
1.02775618e-01,3.12444613e-05,4.80466080e-02,inf,1.02791673e-01
1.02307801e-01,2.56522489e-06,4.67443874e-02,1.23058245e-01,1.02333628e-01
9.91274551e-02,3.78369049e-06,4.35637982e-02,1.19342653e-01,9.91592022e-02
9.38685571e-02,2.89136519e-06,3.81261554e-02,1.13886483e-01,9.39181882e-02
8.35397552e-02,9.94899190e-07,2.83321746e-02,1.03598339e-01,8.35868202e-02
