SINDy,HANDI,PSE,gEDMD,SR3
1.44336667e-01,3.76368492e-05,1.02998089e-01,1.67584366e-01,1.43918201e-01
1.30627902e-01,8.50358389e-06,9.25870310e-02,1.57355931e-01,1.29943461e-01
1.30210426e-01,3.94250624e-06,9.41257359e-02,1.54592387e-01,1.29591450e-01
1.33669824e-01,6.76468781e-06,9.77029882e-02,1.52452191e-01,1.33369743e-01
1.39432798e-01,2.17027733e-05,1.02022613e-01,1.64037830e-01,1.39262492e-01
1.42312512e-01,3.84125478e-06,1.00916753e-01,1.57982775e-01,1.42051581e-01
1.36387652e-01,1.49708957e-05,9.43305739e-02,1.51355513e-01,1.36062647e-01
1.28776535e-01,1.60454649e-05,8.57964145e-02,1.45497840e-01,1.28334246e-01
1.21356728e-01,8.83819139e-06,7.82394833e-02,1.39905220e-01,1.20805600e-01
1.16923271e-01,3.54831983e-06,7.56201981e-02,1.36719164e-01,1.16281789e-01
1.15895799e-01,2.95528372e-06,7.78497848e-02,1.35481418e-01,1.15293507e-01
1.23124566e-01,7.25409093e-06,8.52763207e-02,1.38367564e-01,1.22862953e-01
1.32343491e-01,2.17112293e-05,9.39498207e-02,1.50051503e-01,1.32289459e-01
1.39848532e-01,1.87483439e-06,9.98234624e-02,1.58729993e-01,1.39467572e-01
1.32410324e-01,4.12842405e-06,9.15791692e-02,1.48995548e-01,1.32076897e-01
1.21022190e-01,5.05878563e-06,7.88781580e-02,1.37177227e-01,1.20750051e-01
1.05309553e-01,2.48728871e-06,6.13589057e-02,1.21508213e-01,1.04937423e-01
9.29279683e-02,6.68892805e-07,4.83251374e-02,1.08569669e-01,9.24084156e-02
8.99595798e-02,7.72580661e-07,5.13899679e-02,1.06586117e-01,8.94134986e-02
1.08907004e-01,3.17081990e-06,6.83013245e-02,1.24669026e-01,1.08716929e-01
1.25171153e-01,1.09348702e-05,8.48102197e-02,1.44736387e-01,1.25291701e-01
1.36117039e-01,2.74365611e-05,9.58164927e-02,1.55066620e-01,1.36374571e-01
1.38559731e-01,2.14630656e-06,9.97068926e-02,1.59033673e-01,1.38084232e-01
1.29737117e-01,3.15650678e-06,9.05654173e-02,1.48930123e-01,1.29279550e-01
1.15530512e-01,2.37830105e-06,7.53654523e-02,1.34124271e-01,1.15125905e-01
8.88379864e-02,6.31799996e-07,4.98369836e-02,1.07457554e-01,8.84370849e-02
4.99135993e-02,1.07781355e-08,1.66194331e-02,5.14170519e-02,4.95032028e-02
5.16404912e-02,1.66206475e-08,1.76492082e-02,4.82132103e-02,5.12495817e-02
9.66761537e-02,7.09821585e-07,5.23699344e-02,1.13112215e-01,9.67115374e-02
1.20300811e-01,3.68338422e-06,7.74271856e-02,1.40013368e-01,1.20598554e-01
1.33777145e-01,8.69976002e-06,9.19964946e-02,1.50969036e-01,1.34189354e-01
1.42385758e-01,1.17065425e-05,1.00793076e-01,1.53063563e-01,1.42852784e-01
1.38716784e-01,1.17065425e-05,1.00793076e-01,1.58022606e-01,1.38399636e-01
1.29935604e-01,8.69976002e-06,9.19964946e-02,1.48724197e-01,1.29666473e-01
1.16205986e-01,3.68338422e-06,7.74271856e-02,1.34347746e-01,1.16034735e-01
9.21968788e-02,7.09821584e-07,5.23699344e-02,1.08943906e-01,9.22647518e-02
4.78449280e-02,1.66206475e-08,1.76492082e-02,4.73358195e-02,4.83315868e-02
5.18923526e-02,1.07781355e-08,1.66194331e-02,4.89284521e-02,5.23584479e-02
9.16252655e-02,6.31799995e-07,4.98369836e-02,1.10022757e-01,9.20910899e-02
1.18310513e-01,2.37830104e-06,7.53654523e-02,1.38112710e-01,1.18845679e-01
1.32476826e-01,3.15650678e-06,9.05654173e-02,1.49024098e-01,1.33088334e-01
1.41255461e-01,2.14630656e-06,9.97068926e-02,1.55043103e-01,1.41897783e-01
1.31433909e-01,2.74365611e-05,9.58164927e-02,1.49129610e-01,1.31304137e-01
1.20210445e-01,1.09348702e-05,8.48102197e-02,1.36937026e-01,1.20193353e-01
1.03857621e-01,3.17081990e-06,6.83013245e-02,1.18993817e-01,1.04125544e-01
8.71956412e-02,7.72580660e-07,5.13899679e-02,1.04282776e-01,8.78030175e-02
9.20742559e-02,6.68892805e-07,4.83251374e-02,1.07724820e-01,9.26895976e-02
1.06096438e-01,2.48728871e-06,6.13589057e-02,1.22920488e-01,1.06570950e-01
1.23044525e-01,5.05878563e-06,7.88781580e-02,1.39562501e-01,1.23399081e-01
1.34625252e-01,4.12842405e-06,9.15791692e-02,1.51725093e-01,1.35071745e-01
1.34340104e-01,5.46036410e-05,1.00875632e-01,1.50878802e-01,1.34325702e-01
1.26791949e-01,2.17112293e-05,9.39498207e-02,1.41239097e-01,1.26924484e-01
1.18328405e-01,7.25409093e-06,8.52763207e-02,1.32566566e-01,1.18702703e-01
1.12800947e-01,2.95528372e-06,7.78497848e-02,1.29948335e-01,1.13516650e-01
1.14760420e-01,3.54831983e-06,7.56201981e-02,1.31681166e-01,1.15570039e-01
1.20297784e-01,8.83819139e-06,7.82394833e-02,1.37356024e-01,1.21006072e-01
1.28916672e-01,1.60454649e-05,8.57964145e-02,1.45088837e-01,1.29452640e-01
1.33678323e-01,2.17027733e-05,1.02022613e-01,1.46355012e-01,1.33914017e-01
1.29224144e-01,6.76468782e-06,9.77029882e-02,1.42777551e-01,1.29666864e-01
1.26878316e-01,3.94250624e-06,9.41257359e-02,1.42493774e-01,1.27683719e-01
1.27979726e-01,8.50358389e-06,9.25870310e-02,1.44543610e-01,1.28907111e-01
1.30581143e-01,2.47357345e-05,9.29430891e-02,1.47811257e-01,1.31431513e-01
1.34863163e-01,4.96253396e-05,9.48172366e-02,1.52372322e-01,1.35599444e-01
1.41791774e-01,3.47438670e-05,1.10285772e-01,1.66354602e-01,1.41956647e-01
1.39209640e-01,7.78264819e-06,1.08191072e-01,1.50788633e-01,1.39505084e-01
1.36549308e-01,2.28746509e-06,1.05953958e-01,1.49569616e-01,1.37039330e-01
1.35680411e-01,2.80932349e-06,1.03974511e-01,1.51027356e-01,1.36502815e-01
1.36535783e-01,1.59883455e-05,1.02819865e-01,1.53809935e-01,1.37486584e-01
1.37903002e-01,6.12986578e-05,1.02605089e-01,1.56986033e-01,1.38813517e-01
