epoch,step,train/align,train/loss,train/main,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
0,10,,,,,,5.4560536227654666e-05,3.674637991935015e-05,4.3536623707041144e-05
0,10,0.0027233408764004707,0.002728378167375922,5.037652499595424e-06,,,,,
1,21,,,,,,5.419124863692559e-05,3.606583413784392e-05,4.337149948696606e-05
1,21,0.0015290178125724196,0.0015307730063796043,1.7552441704538069e-06,,,,,
2,32,,,,,,5.386511838878505e-05,3.546483276295476e-05,4.322566746850498e-05
2,32,0.0003565728839021176,0.00035795284202322364,1.3799402722725063e-06,,,,,
3,43,,,,,,5.410277299233712e-05,3.5902787203667685e-05,4.3331936467438936e-05
3,43,0.04914519563317299,0.04914647713303566,1.2798748230125057e-06,,,,,
4,54,,,,,,5.432038597064093e-05,3.6303837987361476e-05,4.3429234210634604e-05
4,54,0.0003619604976847768,0.0003633502055890858,1.389731323797605e-06,,,,,
5,65,,,,,,5.5087566579459235e-05,3.7717505620094016e-05,4.377231380203739e-05
5,65,0.00024409021716564894,0.0002454984642099589,1.4082332882026094e-06,,,,,
6,76,,,,,,5.5875032558105886e-05,3.916860805475153e-05,4.4124444684712216e-05
6,76,0.0011458613444119692,0.0011471138568595052,1.2525506463134661e-06,,,,,
7,87,,,,,,5.6694985687499866e-05,4.067947156727314e-05,4.449114203453064e-05
7,87,0.004379030782729387,0.004380219150334597,1.188203668789356e-06,,,,,
8,98,,,,,,5.771347423433326e-05,4.2556643165880814e-05,4.494647873798385e-05
8,98,0.0002718357718549669,0.00027300501824356616,1.1692440011756844e-06,,,,,
9,109,,,,,,5.8741046814247966e-05,4.4450116547523066e-05,4.540601003100164e-05
9,109,0.0011029209708794951,0.0011040727840736508,1.1517978464326006e-06,,,,,
10,120,,,,,,5.944565054960549e-05,4.5748576667392626e-05,4.572107354761101e-05
10,120,0.0001940931542776525,0.000195217682630755,1.1245152791161672e-06,,,,,
11,131,,,,,,6.009628850733861e-05,4.6947203372837976e-05,4.6012130042072386e-05
11,131,0.0068018171004951,0.006802928633987904,1.1115369034087053e-06,,,,,
12,142,,,,,,6.0246144130360335e-05,4.722344965557568e-05,4.6079105231910944e-05
12,142,0.00015016460383776575,0.00015135582361835986,1.1912225090782158e-06,,,,,
13,153,,,,,,6.078869046177715e-05,4.822308983420953e-05,4.6321765694301575e-05
13,153,0.00043253088369965553,0.00043367722537368536,1.1463505416031694e-06,,,,,
14,164,,,,,,6.13765514572151e-05,4.930648356094025e-05,4.6584606025135145e-05
14,164,0.003872544737532735,0.0038736537098884583,1.1091776741523063e-06,,,,,
15,175,,,,,,6.175060116220266e-05,4.99960187880788e-05,4.675179661717266e-05
15,175,0.0001412424462614581,0.000142345525091514,1.1030746236428968e-06,,,,,
16,186,,,,,,6.205774116097018e-05,5.056181180407293e-05,4.688919216278009e-05
16,186,0.0007305340841412544,0.0007316260016523302,1.0918075759036583e-06,,,,,
17,197,,,,,,6.210276478668675e-05,5.064453216618858e-05,4.69094084110111e-05
17,197,0.007311926688998938,0.0073130130767822266,1.085882445295283e-06,,,,,
18,208,,,,,,6.276134081417695e-05,5.185823829378933e-05,4.72038664156571e-05
18,208,0.0018335095373913646,0.0018346173455938697,1.107991465687519e-06,,,,,
19,219,,,,,,6.273437611525878e-05,5.1808943680953234e-05,4.719168646261096e-05
19,219,0.0037689523305743933,0.003770055016502738,1.1028355402231682e-06,,,,,
20,230,,,,,,6.312428740784526e-05,5.252730261418037e-05,4.736609844258055e-05
20,230,0.00016372842947021127,0.00016483120271004736,1.1027642585759168e-06,,,,,
