HANDI,ablationA,ortho
0.00012509,0.00143764,0.00883098
0.00011640,0.00141027,0.00921070
0.00010715,0.00135822,0.00965344
0.00009923,0.00127866,0.01013321
0.00009566,0.00117973,0.01059044
0.00009817,0.00107970,0.01096130
0.00010591,0.00099413,0.01123195
0.00011732,0.00092790,0.01143290
0.00013093,0.00087916,0.01158758
0.00014513,0.00084424,0.01170157
0.00011480,0.00149313,0.00844638
0.00010050,0.00149863,0.00885434
0.00008280,0.00148094,0.00937725
0.00006424,0.00142338,0.01000317
0.00005266,0.00131989,0.01063483
0.00005591,0.00119228,0.01112080
0.00007246,0.00107318,0.01142694
0.00009569,0.00097919,0.01162588
0.00011970,0.00091171,0.01175617
0.00014116,0.00086543,0.01182908
0.00010419,0.00153276,0.00795481
0.00008114,0.00158780,0.00835820
0.00004683,0.00164654,0.00894767
0.00000030,0.00168109,0.00978732
0.00004240,0.00162519,0.01076983
0.00003838,0.00144246,0.01146878
0.00000974,0.00122307,0.01176959
0.00006475,0.00105715,0.01189782
0.00010838,0.00095208,0.01193563
0.00013973,0.00088780,0.01191903
0.00009590,0.00153063,0.00735949
0.00006160,0.00163654,0.00769683
0.00000136,0.00181877,0.00827937
0.00012766,0.00214687,0.00938700
0.00033213,0.00254848,0.01131194
0.00032978,0.00221107,0.01252422
0.00011398,0.00152137,0.01241477
0.00002788,0.00116131,0.01219670
0.00010162,0.00099281,0.01201449
0.00014284,0.00090651,0.01187017
0.00009362,0.00146001,0.00669834
0.00005095,0.00157723,0.00689312
0.00004221,0.00183537,0.00730690
0.00032579,0.00263221,0.00852188
0.00190104,0.00729255,0.01516110
0.00193546,0.00620835,0.01833788
0.00029128,0.00196716,0.01311289
0.00000681,0.00124736,0.01209005
0.00010562,0.00101654,0.01171647
0.00015139,0.00091551,0.01152596
0.00009940,0.00132559,0.00605425
0.00005792,0.00139976,0.00607339
0.00003346,0.00157900,0.00618095
0.00031605,0.00218740,0.00676361
0.00191770,0.00615678,0.01195021
0.00184208,0.00639035,0.01402297
0.00025299,0.00195800,0.01111764
0.00002965,0.00123533,0.01082908
0.00012178,0.00101056,0.01078996
0.00016374,0.00091373,0.01078916
0.00011119,0.00117316,0.00552964
0.00007907,0.00120002,0.00544345
0.00001867,0.00128335,0.00539549
0.00010532,0.00154030,0.00559876
0.00030615,0.00214997,0.00658790
0.00028734,0.00219522,0.00754794
0.00005613,0.00152358,0.00828334
0.00007900,0.00115344,0.00899944
0.00014308,0.00098937,0.00947628
0.00017650,0.00090886,0.00978043
0.00012526,0.00104832,0.00517889
0.00010401,0.00105802,0.00509194
0.00007204,0.00110845,0.00508132
0.00002782,0.00123631,0.00528999
0.00001232,0.00141274,0.00581400
0.00000316,0.00143099,0.00640645
0.00005880,0.00125663,0.00701464
0.00012030,0.00108396,0.00769474
0.00016140,0.00097410,0.00830218
0.00018687,0.00090925,0.00877560
0.00013888,0.00096502,0.00498405
0.00012610,0.00097660,0.00494631
0.00011045,0.00101904,0.00500536
0.00009394,0.00109727,0.00522646
0.00008331,0.00117767,0.00560117
0.00008957,0.00119251,0.00602278
0.00011522,0.00112914,0.00646569
0.00014729,0.00104142,0.00696744
0.00017440,0.00096805,0.00748907
0.00019412,0.00091588,0.00796952
0.00015082,0.00091513,0.00489492
0.00014342,0.00093202,0.00490823
0.00013576,0.00096984,0.00501121
0.00012917,0.00102375,0.00522344
0.00012637,0.00107207,0.00551915
0.00013127,0.00108689,0.00584500
0.00014531,0.00106168,0.00618645
0.00016452,0.00101472,0.00656400
0.00018333,0.00096609,0.00697634
0.00019893,0.00092520,0.00739517
