HANDI,ablationA,ortho
1.00000000,1.00000000,1.00478469
1.00000000,0.99047619,1.01904762
1.00000000,0.99047619,1.00952381
1.00000000,0.99047619,1.00952381
1.00000000,0.99047619,1.01904762
1.00000000,1.00000000,1.02884615
1.00000000,1.00000000,1.02884615
1.00961538,1.00000000,1.02884615
1.00000000,0.99047619,1.00952381
1.00000000,0.99047619,1.01904762
1.00000000,0.99521531,1.00000000
1.00000000,0.99521531,1.00000000
0.99047619,0.99047619,1.01904762
1.00000000,1.00000000,1.01923077
1.00000000,0.99047619,1.01904762
1.00000000,1.00000000,1.02884615
1.00000000,1.00000000,1.02884615
1.00000000,1.00000000,1.02884615
1.00000000,1.00000000,1.00952381
1.00000000,1.00000000,1.01904762
1.00000000,0.99521531,1.00000000
1.00000000,1.00000000,1.00478469
1.00000000,0.99521531,1.00000000
1.00000000,1.00000000,1.01904762
0.99047619,0.99047619,1.01904762
1.00000000,1.00000000,1.02884615
1.00000000,1.00000000,1.00952381
1.00000000,1.00000000,1.00952381
1.00000000,1.00000000,1.02884615
0.99047619,0.99047619,1.01904762
1.00000000,0.99521531,1.00000000
1.00478469,1.00000000,1.00000000
1.00000000,1.00000000,1.00478469
1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00952381
1.00000000,1.00000000,1.01923077
1.00000000,1.00000000,1.00952381
1.00000000,0.99047619,1.01904762
1.00961538,1.00000000,1.01923077
1.00000000,0.99521531,1.00000000
1.00000000,0.99521531,1.00478469
0.99523810,0.99523810,1.00000000
1.00478469,0.99521531,1.00000000
1.00000000,1.00000000,1.00000000
1.00000000,0.99521531,1.00000000
1.00000000,0.99047619,1.01904762
1.00000000,1.00478469,1.00478469
1.00000000,0.99521531,1.00000000
1.00000000,0.99521531,1.00000000
1.00000000,0.99521531,1.00000000
1.00000000,1.00000000,1.00000000
1.00000000,0.99521531,1.00000000
1.00000000,0.99521531,1.00000000
1.00000000,1.00478469,0.98564593
1.00000000,0.99047619,0.98095238
1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000
1.00478469,0.99521531,1.00000000
0.99523810,0.99523810,1.00000000
1.00000000,1.00000000,1.00478469
1.00000000,1.00000000,1.00478469
1.00961538,1.00961538,0.99038462
1.00000000,0.99047619,0.97142857
1.00000000,1.00000000,0.98095238
1.00000000,1.00000000,0.99038462
1.00000000,1.00000000,0.98095238
1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000
1.00478469,1.00000000,1.00478469
1.00000000,1.00000000,1.00000000
0.99047619,0.99047619,0.98095238
1.00000000,1.00961538,0.99038462
1.00000000,0.99047619,0.98095238
1.00000000,1.00000000,0.98095238
1.00000000,1.00000000,0.98076923
0.99047619,0.99047619,0.98095238
1.00000000,0.99047619,0.98095238
1.00000000,0.99521531,1.00000000
1.00000000,1.00000000,1.00478469
1.00000000,0.99521531,1.00000000
1.00000000,0.99047619,0.98095238
1.00000000,0.99047619,0.98095238
1.00000000,1.00000000,0.98076923
1.00000000,1.00000000,0.99038462
1.00000000,1.00961538,0.99038462
1.00000000,0.99047619,0.98095238
1.00000000,1.00961538,0.99038462
0.99047619,1.00000000,0.98095238
1.00000000,1.00000000,0.98564593
1.00000000,1.00000000,1.00000000
1.00000000,1.00000000,0.97142857
1.00000000,1.00000000,0.98095238
1.00961538,1.00000000,0.99038462
1.00000000,1.00000000,0.99038462
1.00000000,1.00961538,0.99038462
0.99047619,0.99047619,0.98095238
0.99047619,1.00000000,0.98095238
1.00000000,1.00000000,0.98095238
1.00000000,0.99047619,0.98095238
1.00000000,0.99521531,0.98564593
