HANDI,ablationA,ortho
1.21541174e-04,9.44371631e-04,2.13904584e-03
9.38995864e-05,8.94564501e-04,1.66744325e-03
7.60458150e-05,9.16615560e-04,1.18278802e-03
6.71662743e-05,9.94060193e-04,8.03174863e-04
6.57615678e-05,1.11593440e-03,6.10770133e-04
6.93178606e-05,1.27607237e-03,5.64736464e-04
7.49400450e-05,1.47248660e-03,5.60047702e-04
8.07202247e-05,1.71103216e-03,5.52128161e-04
8.54171381e-05,2.01288170e-03,5.52634095e-04
8.73064636e-05,2.41646699e-03,5.82192521e-04
1.15165291e-04,7.78895113e-04,2.07624184e-03
9.31048002e-05,7.95714100e-04,1.66036915e-03
7.73303863e-05,8.72888873e-04,1.19209379e-03
6.85890030e-05,9.79311039e-04,7.91073158e-04
6.68098740e-05,1.08041155e-03,5.88259323e-04
6.94537579e-05,1.17165755e-03,5.53593076e-04
7.27518120e-05,1.27192108e-03,5.49453443e-04
7.53807771e-05,1.39237180e-03,5.42694138e-04
7.71320576e-05,1.55390588e-03,5.51354483e-04
7.65573066e-05,1.79703641e-03,5.86887080e-04
9.98624381e-05,6.15589870e-04,1.89413800e-03
8.45638494e-05,7.11790061e-04,1.56590173e-03
7.18387836e-05,8.89596314e-04,1.16091294e-03
6.34461894e-05,1.08719313e-03,7.63127970e-04
6.19462025e-05,1.17329575e-03,5.55272178e-04
6.63003323e-05,1.15326174e-03,5.41477268e-04
6.99471098e-05,1.16510123e-03,5.35037652e-04
7.11431471e-05,1.20637238e-03,5.34584148e-04
7.11309010e-05,1.26982937e-03,5.50481446e-04
6.89617817e-05,1.39957460e-03,5.86805321e-04
8.46953824e-05,5.17153202e-04,1.69016757e-03
7.58081407e-05,7.07587199e-04,1.44538045e-03
6.60899927e-05,1.07778660e-03,1.12050536e-03
5.63201505e-05,1.58161421e-03,7.32556433e-04
5.18571049e-05,1.75992005e-03,5.13987191e-04
6.03973447e-05,1.40303153e-03,5.36697449e-04
6.74121746e-05,1.25535683e-03,5.17905632e-04
6.81798585e-05,1.18664001e-03,5.28891212e-04
6.71384367e-05,1.13651218e-03,5.47481497e-04
6.42632024e-05,1.16358732e-03,5.84839005e-04
7.52024438e-05,4.86802964e-04,1.61164573e-03
7.20528112e-05,7.66297140e-04,1.42930592e-03
6.61804348e-05,1.33977426e-03,1.16103393e-03
5.60649721e-05,2.34668212e-03,7.42131145e-04
4.30896593e-05,3.82684823e-03,5.93559256e-04
5.69486285e-05,2.54973481e-03,6.43820117e-04
6.43280556e-05,1.76032472e-03,5.09353582e-04
6.50578802e-05,1.32251033e-03,5.22381918e-04
6.45816474e-05,1.08872614e-03,5.48252610e-04
6.28296577e-05,1.01375882e-03,5.99611665e-04
7.12379719e-05,5.02333099e-04,1.77229665e-03
7.22838286e-05,8.05610349e-04,1.64374818e-03
7.01595244e-05,1.31346862e-03,1.40511335e-03
6.38099880e-05,1.94066855e-03,9.08179008e-04
5.57529662e-05,2.51914287e-03,5.54064420e-04
4.36357636e-05,3.73944953e-03,6.05592499e-04
5.48490930e-05,2.15490224e-03,4.96075352e-04
6.08051206e-05,1.37042218e-03,5.32189779e-04
6.44797551e-05,1.00990820e-03,5.95554785e-04
6.67565833e-05,8.76912400e-04,6.84037165e-04
7.02719748e-05,5.55486219e-04,2.21792104e-03
7.31914994e-05,8.15406630e-04,2.13441267e-03
7.24473518e-05,1.11714682e-03,1.91484921e-03
6.64404672e-05,1.30632388e-03,1.39197490e-03
5.44574800e-05,1.41561366e-03,7.80304098e-04
4.65703011e-05,1.74730522e-03,5.96007486e-04
5.20720064e-05,1.56425307e-03,6.26880929e-04
6.16576291e-05,1.12672464e-03,7.23581720e-04
7.11536934e-05,8.41869731e-04,8.36232064e-04
8.01096574e-05,7.20730644e-04,9.52871831e-04
7.09781042e-05,6.67151858e-04,2.90966197e-03
7.45407807e-05,8.68735957e-04,2.82968881e-03
7.47525576e-05,1.03688973e-03,2.61627236e-03
7.09741328e-05,1.10871293e-03,2.18576327e-03
6.35933103e-05,1.13717582e-03,1.68555690e-03
5.85833057e-05,1.16775909e-03,1.40906546e-03
6.21773988e-05,1.05189711e-03,1.35731459e-03
7.32255661e-05,8.26047798e-04,1.39984412e-03
8.85579765e-05,6.46342386e-04,1.46279037e-03
1.06448188e-04,5.58953865e-04,1.51843680e-03
7.36210318e-05,8.78017937e-04,3.73961588e-03
7.77559435e-05,1.01730627e-03,3.59978356e-03
7.93428508e-05,1.09233851e-03,3.36537050e-03
7.84309077e-05,1.08523436e-03,3.03653849e-03
7.55374983e-05,1.02550138e-03,2.72143230e-03
7.40959626e-05,9.25985558e-04,2.54044427e-03
7.91124378e-05,7.71915377e-04,2.47892482e-03
9.28472494e-05,6.01802430e-04,2.44983675e-03
1.14805711e-04,4.76284550e-04,2.40057611e-03
1.43870815e-04,4.13250662e-04,2.31903535e-03
7.88142509e-05,1.23420672e-03,4.59500019e-03
8.35144618e-05,1.28075510e-03,4.34426987e-03
8.60550971e-05,1.24158775e-03,4.06093139e-03
8.67310776e-05,1.12176191e-03,3.78800763e-03
8.63165598e-05,9.53417624e-04,3.59877781e-03
8.76156500e-05,7.64619464e-04,3.52531612e-03
9.50747867e-05,5.80072079e-04,3.51163058e-03
1.12378362e-04,4.33211272e-04,3.46694556e-03
1.41392683e-04,3.45018629e-04,3.34016071e-03
1.82692972e-04,3.07234119e-04,3.13128948e-03
