HANDI,ablationA,ortho
3.53320041e-05,1.18867904e-04,1.02242924e-03
2.11212543e-05,1.00485332e-04,7.75658876e-04
1.29554876e-05,9.82769278e-05,5.49879922e-04
9.10733559e-06,1.12078904e-04,4.26774475e-04
8.16979185e-06,1.46297294e-04,4.54479653e-04
9.29029246e-06,2.04987611e-04,5.69150183e-04
1.17774211e-05,2.90042774e-04,6.42161570e-04
1.50017058e-05,4.05020782e-04,6.25871434e-04
1.83925436e-05,5.62857968e-04,5.58100078e-04
2.11466395e-05,7.90116359e-04,4.84663385e-04
3.03907054e-05,6.89378677e-05,9.61381511e-04
1.89386290e-05,6.20758208e-05,7.53269356e-04
1.15707826e-05,6.66665013e-05,5.46351140e-04
7.78177104e-06,8.48897439e-05,4.18719341e-04
6.83086344e-06,1.11573224e-04,4.48740224e-04
7.72558752e-06,1.43699585e-04,5.77643612e-04
9.36151431e-06,1.84302250e-04,6.34009472e-04
1.13042981e-05,2.36626879e-04,5.94252861e-04
1.35029193e-05,3.11383377e-04,5.26365264e-04
1.54374656e-05,4.31643629e-04,4.66587256e-04
2.18085476e-05,4.49910602e-05,8.36567112e-04
1.40090112e-05,3.76263578e-05,6.76865580e-04
8.46972817e-06,5.83632580e-05,5.12001112e-04
5.63594013e-06,1.09718661e-04,4.00301469e-04
5.51097054e-06,1.41528389e-04,4.39684769e-04
6.92186391e-06,1.36254476e-04,5.94100649e-04
7.93768199e-06,1.36752241e-04,6.20594873e-04
8.64571536e-06,1.50451906e-04,5.58948221e-04
9.92201952e-06,1.77216992e-04,4.96386517e-04
1.14304653e-05,2.33777015e-04,4.47797004e-04
1.45526618e-05,4.72604855e-05,7.19928011e-04
9.87286568e-06,3.09506800e-05,5.91517224e-04
6.28460904e-06,1.08452295e-04,4.54229997e-04
5.01639884e-06,3.06257438e-04,3.62991666e-04
7.30785837e-06,4.01634672e-04,4.42396892e-04
9.87498682e-06,2.53056443e-04,6.36576458e-04
8.63994400e-06,1.69673027e-04,5.89346561e-04
7.22899895e-06,1.36760166e-04,5.15135935e-04
7.56465129e-06,1.22317417e-04,4.60757857e-04
8.90516832e-06,1.36272657e-04,4.21526667e-04
1.06880844e-05,5.00903328e-05,6.91357955e-04
8.21616720e-06,3.59213841e-05,5.79160377e-04
6.36314324e-06,1.98037615e-04,4.38838208e-04
7.34346931e-06,6.51735854e-04,3.28141564e-04
2.30807109e-05,1.37813676e-03,8.09024395e-04
2.67052871e-05,7.50605650e-04,8.85417359e-04
1.02228253e-05,3.64054217e-04,5.24757742e-04
6.23705362e-06,1.83105962e-04,4.59305053e-04
6.22499446e-06,1.05932132e-04,4.16045483e-04
7.85527931e-06,8.77582975e-05,3.89132510e-04
9.48481485e-06,4.30920424e-05,8.01365694e-04
8.35526188e-06,4.09174646e-05,7.11199223e-04
7.63683004e-06,1.85291941e-04,5.71581145e-04
9.47465785e-06,4.44587332e-04,3.95733366e-04
2.65820348e-05,7.32178136e-04,7.91783240e-04
2.36051965e-05,1.32478930e-03,8.66005131e-04
7.71664068e-06,5.51318735e-04,5.08362728e-04
5.03820201e-06,2.05899766e-04,4.06211139e-04
6.15544835e-06,8.55699292e-05,3.70134875e-04
8.83308536e-06,5.56047097e-05,3.68825212e-04
9.78975693e-06,3.16772042e-05,1.08324342e-03
9.18596958e-06,4.28432736e-05,1.01253426e-03
8.45653168e-06,1.20228725e-04,8.55221709e-04
7.99195737e-06,1.89492197e-04,5.49442535e-04
8.26505942e-06,2.45127696e-04,3.48084857e-04
6.57434466e-06,3.71558570e-04,4.02435117e-04
4.33658357e-06,2.84895106e-04,3.93229299e-04
5.21633412e-06,1.20542078e-04,3.72300409e-04
8.68664885e-06,4.80723174e-05,3.90887219e-04
1.37062905e-05,3.36742766e-05,4.34201829e-04
1.11124777e-05,3.08935108e-05,1.53121610e-03
1.06756971e-05,5.79216757e-05,1.44771569e-03
9.73334277e-06,1.00812327e-04,1.26274732e-03
8.13803239e-06,1.22308921e-04,9.54925116e-04
6.00631267e-06,1.29803051e-04,7.00847801e-04
4.67453493e-06,1.33461952e-04,6.51631568e-04
5.51064358e-06,9.44939253e-05,6.66345590e-04
9.31128825e-06,4.31768523e-05,6.74143970e-04
1.62145511e-05,2.89497582e-05,6.93228628e-04
2.58203883e-05,3.75201537e-05,7.20824733e-04
1.34799681e-05,7.26749452e-05,2.09145172e-03
1.33352222e-05,1.08821671e-04,1.95734104e-03
1.26886801e-05,1.29740962e-04,1.75736718e-03
1.14930578e-05,1.22424934e-04,1.52832147e-03
1.00113234e-05,9.79559508e-05,1.38423756e-03
9.56353074e-06,6.68867815e-05,1.37333069e-03
1.18996414e-05,3.70886433e-05,1.39892970e-03
1.83537542e-05,3.13245786e-05,1.38185336e-03
2.97751779e-05,5.77336568e-05,1.32661670e-03
4.65274083e-05,9.08766822e-05,1.25346323e-03
1.70245965e-05,2.03903797e-04,2.69656181e-03
1.73250685e-05,2.20967486e-04,2.48492406e-03
1.71366600e-05,2.01189679e-04,2.26667056e-03
1.65285907e-05,1.50312935e-04,2.09871166e-03
1.59006869e-05,9.14949282e-05,2.04574983e-03
1.65016637e-05,4.83163412e-05,2.10112193e-03
2.02648448e-05,4.12891270e-05,2.16939036e-03
2.92988893e-05,8.28541580e-05,2.15835535e-03
4.56431962e-05,1.59780603e-04,2.04860687e-03
7.09457203e-05,2.33040311e-04,1.86920493e-03
