HANDI,ablationA,ortho
9.73549256e-01,7.94478435e-01,5.34484059e-01
9.79564835e-01,8.05317854e-01,6.37117916e-01
9.83450313e-01,8.00518929e-01,7.42592389e-01
9.85382748e-01,7.83664820e-01,8.25206784e-01
9.85688452e-01,7.57141599e-01,8.67079411e-01
9.84914503e-01,7.22291118e-01,8.77097619e-01
9.83690959e-01,6.79545910e-01,8.78118024e-01
9.82433031e-01,6.27631754e-01,8.79841537e-01
9.81410852e-01,5.61940889e-01,8.79731432e-01
9.80999682e-01,4.74109491e-01,8.73298695e-01
9.74936826e-01,8.30490733e-01,5.48151959e-01
9.79737803e-01,8.26830453e-01,6.38657436e-01
9.83170755e-01,8.10035074e-01,7.40567195e-01
9.85073123e-01,7.86874647e-01,8.27840452e-01
9.85460311e-01,7.64872361e-01,8.71978390e-01
9.84884928e-01,7.45014691e-01,8.79522731e-01
9.84167180e-01,7.23194554e-01,8.80423630e-01
9.83595044e-01,6.96981122e-01,8.81894643e-01
9.83213916e-01,6.61826808e-01,8.80009911e-01
9.83338998e-01,6.08914834e-01,8.72277028e-01
9.78267153e-01,8.66030502e-01,5.87782826e-01
9.81596552e-01,8.45094661e-01,6.59216177e-01
9.84365880e-01,8.06399069e-01,7.47353015e-01
9.86192342e-01,7.63396499e-01,8.33922103e-01
9.86518781e-01,7.44658172e-01,8.79157311e-01
9.85571201e-01,7.49018131e-01,8.82159468e-01
9.84777561e-01,7.46441528e-01,8.83560908e-01
9.84517270e-01,7.37459776e-01,8.83659603e-01
9.84519935e-01,7.23649768e-01,8.80199908e-01
9.84991996e-01,6.95413594e-01,8.72294821e-01
9.81567926e-01,8.87453062e-01,6.32172470e-01
9.83502038e-01,8.46009321e-01,6.85444964e-01
9.85616977e-01,7.65443622e-01,7.56146831e-01
9.87743167e-01,6.55796705e-01,8.40575321e-01
9.88714450e-01,6.16992388e-01,8.88142074e-01
9.86855856e-01,6.94661270e-01,8.83199690e-01
9.85329234e-01,7.26799396e-01,8.87289312e-01
9.85162164e-01,7.41754090e-01,8.84898544e-01
9.85388807e-01,7.52663300e-01,8.80852780e-01
9.86014538e-01,7.46770996e-01,8.72722746e-01
9.83633854e-01,8.94058119e-01,6.49261010e-01
9.84319302e-01,8.33232403e-01,6.88943229e-01
9.85597294e-01,7.08427811e-01,7.47326686e-01
9.87798701e-01,4.89296622e-01,8.38491597e-01
9.90622490e-01,1.67171258e-01,8.70824977e-01
9.87606393e-01,4.45106703e-01,8.59886814e-01
9.86000424e-01,6.16904321e-01,8.89150477e-01
9.85841594e-01,7.12184924e-01,8.86315148e-01
9.85945235e-01,7.63062873e-01,8.80684965e-01
9.86326517e-01,7.79377851e-01,8.69507804e-01
9.84496634e-01,8.90678329e-01,6.14298895e-01
9.84269026e-01,8.24676754e-01,6.42274623e-01
9.84731334e-01,7.14152653e-01,6.94208207e-01
9.86113170e-01,5.77656481e-01,8.02354958e-01
9.87866602e-01,4.51764361e-01,8.79420153e-01
9.90503643e-01,1.86191649e-01,8.68206208e-01
9.88063310e-01,5.31033266e-01,8.92040189e-01
9.86767113e-01,7.01757972e-01,8.84180684e-01
9.85967410e-01,7.80215854e-01,8.70390694e-01
9.85471908e-01,8.09159442e-01,8.51134464e-01
9.84706861e-01,8.79110730e-01,5.17318620e-01
9.84071492e-01,8.22544811e-01,5.35492366e-01
9.84233439e-01,7.56877742e-01,5.83275489e-01
9.85540704e-01,7.15707547e-01,6.97067500e-01
9.88148536e-01,6.91923046e-01,8.30184099e-01
9.89865006e-01,6.19737727e-01,8.70292174e-01
9.88667681e-01,6.59574972e-01,8.63573253e-01
9.86581583e-01,7.54793342e-01,8.42528468e-01
9.84514975e-01,8.16785703e-01,8.18012616e-01
9.82565908e-01,8.43148942e-01,7.92628555e-01
9.84553188e-01,8.54809177e-01,3.66776530e-01
9.83777850e-01,8.10938864e-01,3.84180917e-01
9.83731762e-01,7.74343920e-01,4.30626279e-01
9.84554052e-01,7.58713192e-01,5.24317046e-01
9.86160325e-01,7.52518874e-01,6.33175881e-01
9.87250641e-01,7.45863104e-01,6.93348117e-01
9.86468467e-01,7.71077897e-01,7.04610548e-01
9.84064078e-01,8.20228996e-01,6.95354939e-01
9.80727318e-01,8.59337898e-01,6.81656081e-01
9.76833910e-01,8.78356074e-01,6.69545869e-01
9.83978013e-01,8.08918847e-01,1.86155447e-01
9.83078141e-01,7.78605827e-01,2.16586854e-01
9.82732786e-01,7.62276722e-01,2.67601663e-01
9.82931250e-01,7.63822783e-01,3.39164665e-01
9.83560937e-01,7.76822342e-01,4.07740548e-01
9.83874655e-01,7.98479757e-01,4.47128583e-01
9.82782930e-01,8.32009718e-01,4.60516929e-01
9.79793853e-01,8.69031033e-01,4.66847301e-01
9.75015080e-01,8.96347219e-01,4.77567788e-01
9.68689704e-01,9.10065148e-01,4.95313328e-01
9.82847824e-01,7.31402248e-01,0.00000000e+00
9.81824927e-01,7.21272025e-01,5.45659000e-02
9.81272014e-01,7.29795931e-01,1.16228244e-01
9.81124902e-01,7.55873370e-01,1.75624054e-01
9.81215113e-01,7.92509775e-01,2.16805734e-01
9.80932395e-01,8.33597512e-01,2.32793042e-01
9.79309079e-01,8.73760162e-01,2.35771397e-01
9.75543339e-01,9.05721164e-01,2.45496102e-01
9.69229015e-01,9.24914339e-01,2.73088015e-01
9.60240922e-01,9.33137300e-01,3.18544211e-01
