EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.00952381,1.00000000,1.00000000,0.98095238,1.00000000,1.00952381
1.00000000,1.00952381,1.00000000,1.00000000,0.99047619,1.00000000,1.00952381
1.00000000,1.00000000,1.00000000,1.00000000,0.99047619,1.00000000,1.00000000
1.00000000,1.00000000,1.00000000,1.00000000,0.98095238,1.00000000,1.00952381
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.01923077
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.01923077
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.01923077
1.00000000,1.00000000,1.00000000,1.00000000,0.98095238,1.00000000,1.00000000
1.00000000,1.00952381,1.00000000,1.00000000,0.99047619,1.00000000,1.00952381
1.00000000,1.00956938,1.00000000,1.00000000,1.00956938,1.00000000,1.00956938
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.00000000,1.00000000,1.00000000,0.99047619,1.00000000,1.00000000
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.01923077
1.00000000,1.00952381,1.00000000,1.00000000,0.98095238,1.00000000,1.00952381
1.00000000,1.01923077,1.00000000,1.00000000,0.99038462,1.00000000,1.01923077
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.01923077
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.01923077
1.00000000,1.00952381,1.00000000,1.00000000,0.98095238,1.00000000,1.00952381
1.00000000,1.00952381,1.00000000,1.00000000,0.99047619,1.00000000,1.00952381
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.01435407,1.00000000,1.00000000,0.99521531,1.00000000,1.01435407
1.00000000,1.00000000,1.00000000,1.00000000,0.98095238,1.00000000,1.00000000
1.00000000,1.00952381,1.00000000,1.00000000,0.99047619,1.00000000,1.00952381
1.00000000,1.00961538,1.00000000,1.00000000,0.99038462,1.00000000,1.00961538
1.00000000,1.00952381,1.00000000,1.00000000,0.99047619,1.00000000,1.00952381
1.00000000,1.00952381,1.00000000,1.00000000,0.98095238,1.00000000,1.00952381
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.00961538
1.00000000,1.00952381,1.00000000,1.00000000,0.98095238,1.00000000,1.00952381
1.00478469,1.01435407,1.00478469,1.00478469,1.00956938,1.00478469,1.01435407
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.01435407,1.00000000,1.00000000,1.00956938,1.00000000,1.01435407
1.00000000,1.01435407,1.00000000,1.00000000,0.98564593,1.00000000,1.01435407
1.00000000,1.00952381,1.00000000,1.00000000,0.99047619,1.00000000,1.00952381
1.00000000,1.00961538,1.00000000,1.00000000,1.00000000,1.00000000,1.00961538
1.00000000,1.00952381,1.00000000,1.00000000,0.98095238,1.00000000,1.00952381
1.00000000,1.00000000,1.00000000,1.00000000,0.99047619,1.00000000,1.00000000
1.00000000,1.01923077,1.00000000,1.00000000,1.00000000,1.00000000,1.01923077
1.00000000,1.00956938,1.00000000,1.00000000,0.98564593,1.00000000,1.00956938
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.00476190,1.00000000,1.00000000,1.00000000,1.00000000,1.00476190
1.00000000,1.00956938,1.00000000,1.00000000,1.00478469,1.00000000,1.00956938
1.00478469,1.00956938,1.00478469,1.00478469,1.00478469,1.00478469,1.00956938
1.00000000,1.00478469,1.00000000,1.00000000,0.99521531,1.00000000,1.00478469
1.00000000,1.00000000,1.00000000,1.00000000,0.99047619,1.00000000,1.00000000
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.00956938,1.00000000,1.00000000,1.00478469,1.00000000,1.00956938
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
1.00000000,1.00956938,1.00000000,1.00000000,1.00478469,1.00000000,1.00956938
1.00000000,1.00956938,1.00000000,1.00000000,1.00478469,1.00000000,1.00956938
1.00000000,1.01435407,1.00000000,1.00000000,1.00478469,1.00000000,1.01435407
