EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
0.00150974,0.00647823,0.00036735,0.00006342,0.07495151,0.00000713,0.00647060
0.00157950,0.00650832,0.00035805,0.00004615,0.07575985,0.00001031,0.00649519
0.00159186,0.00650586,0.00034916,0.00001930,0.07316374,0.00001293,0.00648670
0.00152982,0.00645982,0.00034285,0.00001350,0.07287471,0.00001306,0.00643813
0.00141778,0.00639690,0.00034196,0.00003793,0.07231546,0.00000962,0.00638015
0.00132539,0.00637439,0.00034788,0.00003378,0.07204830,0.00000478,0.00636641
0.00130460,0.00640647,0.00035886,0.00000453,0.07228589,0.00000236,0.00640313
0.00134183,0.00645289,0.00037147,0.00002827,0.07259542,0.00000338,0.00644907
0.00139496,0.00647957,0.00038327,0.00005187,0.07286098,0.00000612,0.00647406
0.00143679,0.00647960,0.00039334,0.00006342,0.07298070,0.00000886,0.00647355
0.00137681,0.00648277,0.00036585,0.00005187,0.07540923,0.00000347,0.00647912
0.00150404,0.00655923,0.00035201,0.00004134,0.07509822,0.00000675,0.00655031
0.00158271,0.00660302,0.00033610,0.00002349,0.07274467,0.00001071,0.00658612
0.00155858,0.00658355,0.00032137,0.00000291,0.06933102,0.00001281,0.00656202
0.00142610,0.00653661,0.00031492,0.00001054,0.06206089,0.00000957,0.00652198
0.00130275,0.00655471,0.00032282,0.00001222,0.06105744,0.00000354,0.00655032
0.00129782,0.00660079,0.00034144,0.00000107,0.06198128,0.00000198,0.00659801
0.00136569,0.00659992,0.00036171,0.00002406,0.06367784,0.00000506,0.00659499
0.00142674,0.00655957,0.00037856,0.00004134,0.06643254,0.00000872,0.00655383
0.00145411,0.00650870,0.00039143,0.00004615,0.06992928,0.00001122,0.00650354
0.00115443,0.00646534,0.00036602,0.00002827,0.07557204,0.00000021,0.00646371
0.00132916,0.00660422,0.00034651,0.00002406,0.07463044,0.00000184,0.00659996
0.00149976,0.00675099,0.00031856,0.00001211,0.07268101,0.00000601,0.00673851
0.00157502,0.00684707,0.00028289,0.00000203,0.06087610,0.00001112,0.00682593
0.00143899,0.00689553,0.00025542,0.00000360,0.05707171,0.00000977,0.00688288
0.00126578,0.00698894,0.00026614,0.00000968,0.05448785,0.00000192,0.00698633
0.00130849,0.00692564,0.00030719,0.00000124,0.05643409,0.00000298,0.00692053
0.00140637,0.00675027,0.00034548,0.00001211,0.05797811,0.00000837,0.00674456
0.00144365,0.00660041,0.00037153,0.00002349,0.05886101,0.00001157,0.00659614
0.00142838,0.00650136,0.00038848,0.00001930,0.06161843,0.00001273,0.00649842
0.00083351,0.00642641,0.00036854,0.00000453,0.07563263,0.00000193,0.00642343
0.00100076,0.00661619,0.00034356,0.00000107,0.07430276,0.00000236,0.00661452
0.00122830,0.00693023,0.00029836,0.00000124,0.07211226,0.00000117,0.00692476
0.00148535,0.00742231,0.00021014,0.00002184,0.05743013,0.00000455,0.00740392
0.00146355,0.00811733,0.00007550,0.00001607,0.84214481,0.00001065,0.00810560
0.00120056,0.00832797,0.00008878,0.00003062,0.85396144,0.00000062,0.00832239
0.00135834,0.00742526,0.00023473,0.00002184,0.06471573,0.00000764,0.00742062
0.00141212,0.00684576,0.00032085,0.00000203,0.05138581,0.00001176,0.00684486
0.00136926,0.00658066,0.00036230,0.00000291,0.05645497,0.00001203,0.00658147
0.00129560,0.00645517,0.00038439,0.00001350,0.05868403,0.00001150,0.00645641
0.00045389,0.00638765,0.00037315,0.00003378,0.07568973,0.00000036,0.00638113
0.00052895,0.00657439,0.00034542,0.00001222,0.07398060,0.00000114,0.00657001
0.00064265,0.00700691,0.00028546,0.00000968,0.06989585,0.00000313,0.00700486
0.00085673,0.00832555,0.00010414,0.00003062,0.85161417,0.00000501,0.00832016
0.00129968,0.01587922,0.00089192,0.00014399,0.97727241,0.00001391,0.01585516
0.00109091,0.01596150,0.00091155,0.00014399,0.97710639,0.00001951,0.01596347
0.00124042,0.00815090,0.00011472,0.00001607,0.84975191,0.00001018,0.00815479
0.00114979,0.00692366,0.00029474,0.00000360,0.06386302,0.00000776,0.00692799
0.00106868,0.00655850,0.00035291,0.00001054,0.05191809,0.00000695,0.00656312
0.00099016,0.00641040,0.00037949,0.00003793,0.05796551,0.00000672,0.00641497
0.00011420,0.00639008,0.00037877,0.00003793,0.07561265,0.00000587,0.00638251
0.00008595,0.00653578,0.00035246,0.00001054,0.07398163,0.00000585,0.00652802
0.00002515,0.00689918,0.00029467,0.00000360,0.07141992,0.00000622,0.00689146
0.00009285,0.00812571,0.00011518,0.00001607,0.84268377,0.00000764,0.00811755
0.00006430,0.01594743,0.00091260,0.00014399,0.97702645,0.00001259,0.01593598
0.00055318,0.01590094,0.00089802,0.00014399,0.97709213,0.00001764,0.01591712
0.00014834,0.00835291,0.00010425,0.00003062,0.85422603,0.00000303,0.00835428
0.00041846,0.00703956,0.00028628,0.00000968,0.06671531,0.00000193,0.00703813
0.00051083,0.00660636,0.00034650,0.00001222,0.05223327,0.00000032,0.00660737
0.00052911,0.00641677,0.00037437,0.00003378,0.05697141,0.00000098,0.00641997
0.00009768,0.00643998,0.00038424,0.00001350,0.07449293,0.00001059,0.00643586
0.00014350,0.00656459,0.00036251,0.00000291,0.07534593,0.00001094,0.00656078
0.00018298,0.00683001,0.00032139,0.00000203,0.07255399,0.00001038,0.00682782
0.00015212,0.00741187,0.00023508,0.00002184,0.07171807,0.00000601,0.00741321
0.00009162,0.00832492,0.00008715,0.00003062,0.86395867,0.00000029,0.00832646
0.00057077,0.00813880,0.00007335,0.00001607,0.86423704,0.00001177,0.00814662
0.00059285,0.00743913,0.00021008,0.00002184,0.07682162,0.00000568,0.00745419
0.00028915,0.00695676,0.00029930,0.00000124,0.06648043,0.00000048,0.00695918
0.00007018,0.00664997,0.00034489,0.00000107,0.05455770,0.00000192,0.00664849
0.00004901,0.00646193,0.00037003,0.00000453,0.05580006,0.00000164,0.00646153
0.00017837,0.00648816,0.00038879,0.00001930,0.06971506,0.00001194,0.00648815
0.00018643,0.00658748,0.00037216,0.00002349,0.07443092,0.00001071,0.00658874
0.00015865,0.00673967,0.00034629,0.00001211,0.07590216,0.00000748,0.00674237
0.00009468,0.00692183,0.00030770,0.00000124,0.07574820,0.00000222,0.00692397
0.00014295,0.00700038,0.00026574,0.00000968,0.07525011,0.00000170,0.00699991
0.00045587,0.00691650,0.00025469,0.00000360,0.07578053,0.00001018,0.00692569
0.00066455,0.00686237,0.00028290,0.00000203,0.07018089,0.00001162,0.00688018
0.00059804,0.00677055,0.00031937,0.00001211,0.06685759,0.00000629,0.00678017
0.00044284,0.00663313,0.00034780,0.00002406,0.05595493,0.00000195,0.00663461
0.00031016,0.00650091,0.00036755,0.00002827,0.05490057,0.00000022,0.00649949
0.00018164,0.00649800,0.00039206,0.00004615,0.06657089,0.00001065,0.00650017
0.00015899,0.00655164,0.00037944,0.00004134,0.06671089,0.00000819,0.00655441
0.00011547,0.00659795,0.00036269,0.00002406,0.06700860,0.00000462,0.00660002
0.00008998,0.00660874,0.00034223,0.00000107,0.06704622,0.00000173,0.00660875
0.00017737,0.00657332,0.00032318,0.00001222,0.06708086,0.00000356,0.00657474
0.00040389,0.00655681,0.00031507,0.00001054,0.06693232,0.00000979,0.00656800
0.00060790,0.00659846,0.00032177,0.00000291,0.06637304,0.00001302,0.00661659
0.00066241,0.00661885,0.00033694,0.00002349,0.06709407,0.00001076,0.00663285
0.00060589,0.00658217,0.00035324,0.00004134,0.05484213,0.00000665,0.00658851
0.00051555,0.00651366,0.00036734,0.00005187,0.05475494,0.00000326,0.00651465
0.00015703,0.00647297,0.00039418,0.00006342,0.06712520,0.00000853,0.00647585
0.00012580,0.00647865,0.00038431,0.00005187,0.06732286,0.00000589,0.00648108
0.00009569,0.00646017,0.00037259,0.00002827,0.06731644,0.00000328,0.00646103
0.00010561,0.00642251,0.00035990,0.00000453,0.06728352,0.00000242,0.00642292
0.00020287,0.00639536,0.00034872,0.00003378,0.06726045,0.00000496,0.00640018
