EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
2.02763720e-12,6.68931846e-04,5.90840424e-08,2.02763720e-12,1.16786570e-02,3.63528459e-11,6.23885816e-04
1.91789528e-12,6.37137037e-04,5.02596032e-08,1.91789528e-12,7.88889626e-03,2.30452907e-11,6.14776996e-04
1.74995324e-12,6.04770214e-04,5.09146331e-08,1.74995324e-12,4.11999648e-03,1.38188443e-11,5.96951640e-04
1.57821622e-12,5.67867084e-04,5.51456650e-08,1.57821622e-12,1.45483179e-03,8.76881458e-12,5.68667619e-04
1.76030726e-12,5.17286861e-04,5.89826937e-08,1.76030724e-12,5.30846089e-04,6.63713164e-12,5.22864911e-04
2.06631498e-12,4.47242581e-04,5.99456303e-08,2.06631498e-12,8.26347230e-04,6.56071829e-12,4.54802874e-04
1.62387466e-12,3.76813578e-04,5.80427335e-08,1.62387467e-12,7.33624101e-04,7.27618866e-12,3.84206964e-04
1.76464658e-12,3.47708841e-04,5.67253487e-08,1.76464658e-12,6.07827899e-04,1.23609171e-11,3.54173473e-04
2.04774464e-12,4.13715796e-04,5.80274988e-08,2.04774464e-12,5.11171202e-03,2.32644317e-11,4.19206334e-04
2.02763720e-12,6.88238466e-04,5.84144460e-08,2.02763720e-12,1.86948387e-02,3.63528459e-11,6.90270258e-04
2.04774460e-12,4.08985237e-04,5.81802541e-08,2.04774461e-12,2.46096205e-03,2.32644315e-11,3.83886535e-04
1.24012944e-12,4.74263872e-04,5.42876838e-08,1.24012944e-12,1.48929983e-03,1.32285967e-11,4.62067514e-04
1.37168395e-12,5.49089716e-04,5.72634859e-08,1.37168395e-12,7.01499192e-04,9.23601978e-12,5.46145528e-04
9.09754151e-13,6.24408217e-04,6.28258492e-08,9.09754150e-13,3.64110849e-04,5.76783037e-12,6.26706302e-04
6.70035275e-13,6.73351957e-04,6.74088837e-08,6.70035275e-13,5.62366164e-04,4.11295512e-12,6.78564585e-04
5.30334230e-13,6.50237826e-04,6.84190823e-08,5.30334230e-13,1.04778738e-03,3.37013916e-12,6.57890539e-04
8.44090268e-13,5.54414933e-04,6.49585610e-08,8.44090268e-13,1.05377836e-03,4.51270797e-12,5.63651199e-04
1.39536976e-12,4.68022460e-04,5.88141242e-08,1.39536977e-12,4.05314226e-04,8.24056552e-12,4.77672601e-04
1.24012937e-12,4.72991593e-04,5.33504974e-08,1.24012937e-12,2.53381903e-03,1.32285964e-11,4.82976524e-04
1.91789528e-12,6.40070643e-04,4.95330191e-08,1.91789528e-12,1.20092167e-02,2.30452907e-11,6.49526247e-04
1.76464661e-12,3.51016790e-04,5.66213193e-08,1.76464661e-12,1.21324786e-03,1.23609172e-11,3.35423798e-04
1.39536960e-12,4.72086738e-04,5.95071786e-08,1.39536960e-12,8.19776028e-04,8.24056506e-12,4.66311494e-04
5.59634689e-13,6.34878002e-04,6.70769690e-08,5.59634689e-13,6.26622646e-04,4.14858744e-12,6.36069904e-04
2.26633436e-13,8.26777008e-04,7.71159099e-08,2.26633436e-13,6.34935913e-04,2.25129005e-12,8.28916684e-04
8.18304161e-14,9.91913253e-04,8.49578475e-08,8.18304161e-14,8.06889216e-04,1.38784214e-12,9.91081284e-04
6.87568615e-14,1.00758845e-03,8.48359998e-08,6.87568616e-14,1.13278779e-03,1.20278349e-12,1.00743170e-03
1.67250427e-13,8.31158500e-04,7.74423491e-08,1.67250427e-13,1.32596904e-03,1.77903776e-12,8.36288337e-04
5.59634436e-13,6.31300837e-04,6.67686967e-08,5.59634436e-13,6.20683082e-04,4.14858671e-12,6.40778821e-04
1.37168447e-12,5.44386112e-04,5.69839938e-08,1.37168447e-12,1.04226961e-03,9.23602128e-12,5.56270757e-04
1.74995324e-12,6.01117941e-04,5.07119051e-08,1.74995324e-12,7.02039726e-03,1.38188443e-11,6.13673591e-04
1.62387466e-12,3.85687232e-04,5.83222659e-08,1.62387466e-12,2.39524020e-03,7.27618866e-12,3.74857412e-04
8.44090268e-13,5.60859260e-04,6.53671235e-08,8.44090269e-13,1.39114526e-03,4.51270797e-12,5.59457158e-04
1.67250427e-13,8.32509212e-04,7.75063803e-08,1.67250427e-13,8.10178389e-04,1.77903776e-12,8.35300889e-04
4.37662319e-14,1.20148980e-03,9.66665357e-08,4.37662320e-14,5.15736240e-04,4.99183431e-13,1.19658003e-03
3.02034104e-13,1.54330674e-03,1.17840551e-07,3.02034104e-13,3.93165251e-04,2.38919949e-13,1.52135178e-03
2.27569962e-13,1.57189373e-03,1.17547830e-07,2.27569961e-13,5.90804243e-04,2.26744979e-13,1.54800023e-03
4.37662318e-14,1.20748658e-03,9.70672020e-08,4.37662320e-14,1.26813785e-03,4.99183431e-13,1.19959737e-03
2.26633650e-13,8.25351682e-04,7.71645110e-08,2.26633650e-13,9.54836230e-04,2.25129077e-12,8.30507221e-04
9.09752143e-13,6.20575161e-04,6.29867427e-08,9.09752144e-13,5.05117035e-04,5.76782524e-12,6.31927247e-04
1.57821622e-12,5.66587567e-04,5.49832686e-08,1.57821622e-12,4.13501609e-03,8.76881458e-12,5.79322005e-04
2.06631511e-12,4.57861256e-04,6.00975662e-08,2.06631511e-12,1.55753642e-03,6.56071859e-12,4.50321644e-04
5.30334231e-13,6.56251642e-04,6.84760855e-08,5.30334231e-13,7.32087291e-04,3.37013917e-12,6.56219459e-04
6.87568613e-14,1.00828581e-03,8.44192313e-08,6.87568612e-14,3.78023757e-04,1.20278349e-12,1.00569794e-03
2.27570117e-13,1.56820917e-03,1.16029088e-07,2.27570116e-13,2.34658320e-04,2.26745006e-13,1.54217107e-03
3.86785189e-13,1.84481307e-03,1.66105417e-07,3.86785189e-13,2.39496277e-04,2.67296308e-13,1.78573704e-03
3.86785018e-13,1.85603850e-03,1.68085988e-07,3.86785018e-13,2.70386870e-04,2.67296185e-13,1.80007670e-03
3.02034104e-13,1.55258877e-03,1.17533158e-07,3.02034104e-13,9.88195503e-04,2.38919949e-13,1.52616876e-03
8.18305399e-14,9.92798713e-04,8.47809590e-08,8.18305399e-14,1.02479335e-03,1.38784287e-12,9.91062910e-04
6.70035271e-13,6.74548739e-04,6.75019180e-08,6.70035272e-13,4.19189036e-04,4.11295512e-12,6.83644110e-04
1.76030726e-12,5.23186569e-04,5.88020550e-08,1.76030724e-12,3.06629718e-03,6.63713164e-12,5.34329367e-04
