EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
3.26797072e-01,1.02124547e+00,1.17655215e-04,9.86484040e-01,4.87058077e-01,inf,1.02123884e+00
2.47816469e-01,1.02078370e+00,8.13327392e-05,9.83631488e-01,4.86760413e-01,inf,1.02076655e+00
1.88944278e-01,1.02070229e+00,1.24247893e-04,9.86370406e-01,4.86417116e-01,inf,1.02067163e+00
1.49744357e-01,1.02075364e+00,1.87648780e-04,9.94486038e-01,4.86089938e-01,inf,1.02071579e+00
1.26790005e-01,1.02047709e+00,2.38895172e-04,1.00636507e+00,4.85878571e-01,1.05248721e+00,1.02045168e+00
1.16040137e-01,1.02017518e+00,2.85822699e-04,1.02322367e+00,4.85869279e-01,1.05259091e+00,1.02017887e+00
1.12684721e-01,1.02005859e+00,3.73326402e-04,1.04287710e+00,4.86057951e-01,inf,1.02008427e+00
1.10236411e-01,1.02030687e+00,5.87523344e-04,1.04513402e+00,4.86360978e-01,inf,1.02033008e+00
1.12355104e-01,1.02095240e+00,1.08844975e-03,1.03098662e+00,4.86700905e-01,inf,1.02094843e+00
inf,1.02136027e+00,2.12471737e-03,1.02696257e+00,4.87022537e-01,inf,1.02132678e+00
3.02921143e-01,1.02095323e+00,1.07520226e-04,9.81671792e-01,4.86728142e-01,inf,1.02095706e+00
2.19900336e-01,1.02051709e+00,8.00724893e-05,9.82330509e-01,4.86262565e-01,inf,1.02050846e+00
1.61586671e-01,1.02042819e+00,1.34433386e-04,9.86933460e-01,4.85646146e-01,1.05011055e+00,1.02039943e+00
1.25781246e-01,1.02038146e+00,2.12763018e-04,9.96663760e-01,4.84971793e-01,1.04605720e+00,1.02033831e+00
1.06750820e-01,1.01965275e+00,2.66018770e-04,1.00787786e+00,4.84478923e-01,1.04532325e+00,1.01962642e+00
9.92345663e-02,1.01904873e+00,3.01766243e-04,1.02370262e+00,4.84448020e-01,1.04539076e+00,1.01906156e+00
9.83276652e-02,1.01898929e+00,3.86360056e-04,1.04244060e+00,4.84898176e-01,1.04606893e+00,1.01902344e+00
9.54676591e-02,1.01972487e+00,6.13510520e-04,1.03770937e+00,4.85583926e-01,1.04963271e+00,1.01974601e+00
8.40330126e-02,1.02075431e+00,1.12491967e-03,1.02247275e+00,4.86230622e-01,inf,1.02074579e+00
6.80634407e-02,1.02115661e+00,2.11863812e-03,1.01809035e+00,4.86737965e-01,inf,1.02112707e+00
2.68044704e-01,1.02075293e+00,7.77534073e-05,9.81674662e-01,4.86335481e-01,inf,1.02076682e+00
1.84684582e-01,1.01987487e+00,9.99106496e-05,9.81783820e-01,4.85624273e-01,1.05075715e+00,1.01988142e+00
1.30843283e-01,1.01902548e+00,1.90234876e-04,9.86338380e-01,4.84513649e-01,1.04543891e+00,1.01901234e+00
1.01344103e-01,1.01829833e+00,2.90800677e-04,9.98418640e-01,4.83033676e-01,1.04508635e+00,1.01825622e+00
8.82088638e-02,1.01647716e+00,3.04539563e-04,1.00948529e+00,4.81757571e-01,1.04484002e+00,1.01644869e+00
8.51099424e-02,1.01565312e+00,2.44405318e-04,1.02354689e+00,4.81752128e-01,1.04494804e+00,1.01567520e+00
8.86497773e-02,1.01672645e+00,2.60709132e-04,1.03899957e+00,4.83014167e-01,1.04509633e+00,1.01676164e+00
8.99296298e-02,1.01891739e+00,4.45211444e-04,1.02707186e+00,4.84495098e-01,1.04513277e+00,1.01892582e+00
8.10555076e-02,1.02059085e+00,8.94206583e-04,1.01719059e+00,4.85633189e-01,1.04959560e+00,1.02057370e+00
6.68206444e-02,1.02108510e+00,1.73368702e-03,1.01542766e+00,4.86407246e-01,inf,1.02105713e+00
2.19866051e-01,1.02104105e+00,9.17286191e-05,9.83974065e-01,4.85967273e-01,inf,1.02105796e+00
1.44800336e-01,1.01979168e+00,1.60272723e-04,9.81287500e-01,4.84901891e-01,1.04613188e+00,1.01980758e+00
1.00632996e-01,1.01733990e+00,2.82463511e-04,9.80217848e-01,4.83031439e-01,1.04512446e+00,1.01734874e+00
7.86041976e-02,1.01357271e+00,4.13232306e-04,9.88808568e-01,4.79703618e-01,1.04355474e+00,1.01355286e+00
7.18890877e-02,1.00742351e+00,3.74847043e-04,1.00605085e+00,4.75565350e-01,1.03615651e+00,1.00739194e+00
7.19455819e-02,1.00666829e+00,1.54725440e-04,1.02275629e+00,4.75565516e-01,1.03595615e+00,1.00669836e+00
8.01382174e-02,1.01289968e+00,1.21779301e-04,1.02692798e+00,4.79705728e-01,1.04345337e+00,1.01291639e+00
8.55794480e-02,1.01797545e+00,2.54284667e-04,1.01468644e+00,4.83037444e-01,1.04497804e+00,1.01796055e+00
7.88583297e-02,1.02045198e+00,6.09245710e-04,1.01274380e+00,4.84972213e-01,1.04589292e+00,1.02042682e+00
6.69072097e-02,1.02114178e+00,1.23379610e-03,1.01180362e+00,4.86084087e-01,inf,1.02111531e+00
1.65348353e-01,1.02136869e+00,1.58679673e-04,9.92308851e-01,4.85739446e-01,inf,1.02138478e+00
1.10083024e-01,1.02032409e+00,2.22114642e-04,9.89030480e-01,4.84367749e-01,1.04520133e+00,1.02034111e+00
7.94462455e-02,1.01692033e+00,2.99258900e-04,9.82795298e-01,4.81755839e-01,1.04481120e+00,1.01693719e+00
6.35569839e-02,1.00734313e+00,3.08774174e-04,9.68067981e-01,4.75566110e-01,1.03664705e+00,1.00735569e+00
6.53171983e-02,9.80755197e-01,2.42103032e-04,9.35299068e-01,4.60996104e-01,9.75136803e-01,9.80725934e-01
6.08822645e-02,9.82044738e-01,1.80105812e-04,9.84005902e-01,4.60996191e-01,9.73394427e-01,9.82057424e-01
7.35580776e-02,1.00747999e+00,9.31489749e-05,1.00038237e+00,4.75566840e-01,1.03650183e+00,1.00745429e+00
8.03235476e-02,1.01696023e+00,1.86871598e-04,1.00451257e+00,4.81770543e-01,1.04492389e+00,1.01693154e+00
7.40719187e-02,1.02027900e+00,4.32319591e-04,1.00430472e+00,4.84467519e-01,1.04542302e+00,1.02025235e+00
6.45166082e-02,1.02122940e+00,8.14438608e-04,1.00414620e+00,4.85850513e-01,inf,1.02120513e+00
1.19055367e-01,1.02122340e+00,2.26951211e-04,1.00414620e+00,4.85713821e-01,inf,1.02124105e+00
8.81785512e-02,1.02049706e+00,2.50029572e-04,1.00430472e+00,4.84342099e-01,1.04522311e+00,1.02051533e+00
7.09671816e-02,1.01729038e+00,2.51836082e-04,1.00451257e+00,4.81740518e-01,1.04487867e+00,1.01730894e+00
6.20781268e-02,1.00766006e+00,1.32578946e-04,1.00038237e+00,4.75566962e-01,1.03653243e+00,1.00767497e+00
6.68877214e-02,9.82169838e-01,1.90473299e-04,9.84005902e-01,4.60996221e-01,9.73412356e-01,9.82147289e-01
6.66077827e-02,9.80545513e-01,2.12801627e-04,9.35299069e-01,4.60996167e-01,9.75123016e-01,9.80567453e-01
7.32582469e-02,1.00686639e+00,1.77506325e-04,9.68067981e-01,4.75567018e-01,1.03674182e+00,1.00684206e+00
7.28525972e-02,1.01639240e+00,2.37949248e-04,9.82795298e-01,4.81705148e-01,1.04498311e+00,1.01636442e+00
6.62085371e-02,1.01988725e+00,3.59724484e-04,9.89030480e-01,4.84289913e-01,1.04552347e+00,1.01986036e+00
5.96379264e-02,1.02111803e+00,5.19831846e-04,9.92308851e-01,4.85722900e-01,inf,1.02109327e+00
8.96311931e-02,1.02085120e+00,2.51955675e-04,1.01180362e+00,4.85873584e-01,inf,1.02087231e+00
7.79196338e-02,1.02032155e+00,2.55989320e-04,1.01274380e+00,4.84776319e-01,1.04615358e+00,1.02033992e+00
7.08487673e-02,1.01784296e+00,2.60260968e-04,1.01468644e+00,4.82922525e-01,1.04518184e+00,1.01784901e+00
6.64837999e-02,1.01274208e+00,1.78863453e-04,1.02692798e+00,4.79702754e-01,1.04340273e+00,1.01271358e+00
7.07934258e-02,1.00704885e+00,1.14578964e-04,1.02275629e+00,4.75565405e-01,1.03591719e+00,1.00701070e+00
