EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
1.07449697e+00,9.90420772e-01,1.00475064e-03,1.01023640e+00,4.84281157e-01,7.62347845e-01,9.90421129e-01
1.09295563e+00,9.94186635e-01,1.24871013e-03,1.07051087e+00,4.84285918e-01,7.58046975e-01,9.94152672e-01
1.00476067e+00,9.92971775e-01,5.43919988e-04,1.03594555e+00,4.83132475e-01,7.46278635e-01,9.92891661e-01
9.81668522e-01,9.88034519e-01,3.64366217e-04,1.00688013e+00,4.82122311e-01,7.43436700e-01,9.88040463e-01
9.83518526e-01,9.87726895e-01,3.84726390e-04,1.00725905e+00,4.82122782e-01,7.44509397e-01,9.87757104e-01
1.02581511e+00,9.91354732e-01,5.91047167e-04,1.03626654e+00,4.83132456e-01,7.49179358e-01,9.91303640e-01
1.19452844e+00,9.92101063e-01,1.86760267e-03,1.02851231e+00,4.84640921e-01,7.90563462e-01,9.92116066e-01
1.00825491e+00,9.91577759e-01,5.25826422e-04,1.05285750e+00,4.83132318e-01,7.47288958e-01,9.91582770e-01
9.61065592e-01,9.89912753e-01,1.47948055e-04,1.06437776e+00,4.80435178e-01,7.42737270e-01,9.89850214e-01
9.44539550e-01,9.80930954e-01,1.84148645e-04,1.00427609e+00,4.76989033e-01,7.39575439e-01,9.80919076e-01
9.38948782e-01,9.81159970e-01,1.47522500e-04,1.00293240e+00,4.76989077e-01,7.38684692e-01,9.81196506e-01
9.60949501e-01,9.88976577e-01,2.22387719e-04,1.05715470e+00,4.80435455e-01,7.44069260e-01,9.88929836e-01
1.01253474e+00,9.92989429e-01,6.40416968e-04,1.03573868e+00,4.83132838e-01,7.50073972e-01,9.92979176e-01
1.04763191e+00,9.90391074e-01,1.17741326e-03,1.00864529e+00,4.84273849e-01,7.60279534e-01,9.90360121e-01
9.80967337e-01,9.88608038e-01,2.93091458e-04,1.01402533e+00,4.82121573e-01,7.46308085e-01,9.88598776e-01
9.33697718e-01,9.83407569e-01,2.77774196e-04,1.03932493e+00,4.76989040e-01,7.44028498e-01,9.83407875e-01
9.12517157e-01,9.63103735e-01,2.08103094e-03,1.01172909e+00,4.64325353e-01,7.36966688e-01,9.63005674e-01
9.09715197e-01,9.61263052e-01,1.02420648e-03,1.00346484e+00,4.64325358e-01,7.32686968e-01,9.61225230e-01
9.37761220e-01,9.80650469e-01,1.67331081e-04,9.88272258e-01,4.76989081e-01,7.43102747e-01,9.80676003e-01
9.75774772e-01,9.88326031e-01,3.72587922e-04,1.00375395e+00,4.82123094e-01,7.47288661e-01,9.88348837e-01
1.06498985e+00,9.90838072e-01,1.28308837e-03,1.01225873e+00,4.84281702e-01,7.62854784e-01,9.90867422e-01
1.04152019e+00,9.90706529e-01,9.73736990e-04,1.01225873e+00,4.84272119e-01,7.62558418e-01,9.90628120e-01
9.79626752e-01,9.88326373e-01,3.58284271e-04,1.00375395e+00,4.82120683e-01,7.47204198e-01,9.88256221e-01
9.35956234e-01,9.80627768e-01,1.63986394e-04,9.88272259e-01,4.76989159e-01,7.42999576e-01,9.80569649e-01
9.12180982e-01,9.60345082e-01,1.11476924e-03,1.00346484e+00,4.64325363e-01,7.32758277e-01,9.60430528e-01
9.11023655e-01,9.62353907e-01,2.04700545e-03,1.01172909e+00,4.64325365e-01,7.37001685e-01,9.62394413e-01
9.32475204e-01,9.83133091e-01,2.92357246e-04,1.03932493e+00,4.76989119e-01,7.44123078e-01,9.83068407e-01
9.73491336e-01,9.88571471e-01,3.10252543e-04,1.01402533e+00,4.82119270e-01,7.46402904e-01,9.88520588e-01
1.06273274e+00,9.90554258e-01,1.47598249e-03,1.00864529e+00,4.84272709e-01,7.60420706e-01,9.90528072e-01
1.01331287e+00,9.92562904e-01,5.75830991e-04,1.03573867e+00,4.83126192e-01,7.50031046e-01,9.92545136e-01
9.60930049e-01,9.88185416e-01,2.06019135e-04,1.05715470e+00,4.80435311e-01,7.44020198e-01,9.88232768e-01
9.38412763e-01,9.80882823e-01,1.77452137e-04,1.00293240e+00,4.76989065e-01,7.38691963e-01,9.80865644e-01
9.41400791e-01,9.80986347e-01,2.64270738e-04,1.00427609e+00,4.76989160e-01,7.39663409e-01,9.80982117e-01
9.53584385e-01,9.89337508e-01,1.45236449e-04,1.06437776e+00,4.80435482e-01,7.42832073e-01,9.89378675e-01
1.00650010e+00,9.91521536e-01,5.94478874e-04,1.05285750e+00,4.83120613e-01,7.47323788e-01,9.91471345e-01
1.02228430e+00,9.90848356e-01,5.61691335e-04,1.03626654e+00,4.83115746e-01,7.49190269e-01,9.90858225e-01
9.86275554e-01,9.87982817e-01,3.26316332e-04,1.00725905e+00,4.82105346e-01,7.44510764e-01,9.87913798e-01
9.83028080e-01,9.88225241e-01,3.01552745e-04,1.00688013e+00,4.82118251e-01,7.43492453e-01,9.88191154e-01
1.00824532e+00,9.92286800e-01,5.53096158e-04,1.03594555e+00,4.83125319e-01,7.46340689e-01,9.92349453e-01
1.11016295e+00,9.93736131e-01,1.50193330e-03,1.07051087e+00,4.84269323e-01,7.58061927e-01,9.93739810e-01
1.14295549e+00,9.90642823e-01,1.13921974e-03,1.00917995e+00,4.84244988e-01,7.64796043e-01,9.90557285e-01
1.07266643e+00,9.90700887e-01,1.15605213e-03,1.01023640e+00,4.84269175e-01,7.62344636e-01,9.90655816e-01
