EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
0.00000000e+00,1.66052391e-01,9.91094364e-01,1.00224799e-01,5.92968099e-01,0.00000000e+00,1.66039530e-01
0.00000000e+00,1.66905256e-01,9.95435228e-01,1.07449179e-01,5.93157839e-01,0.00000000e+00,1.66916707e-01
0.00000000e+00,1.67316579e-01,9.97430318e-01,1.23217018e-01,5.93371941e-01,0.00000000e+00,1.67363562e-01
0.00000000e+00,1.68386021e-01,9.98202963e-01,1.41562238e-01,5.93574780e-01,0.00000000e+00,1.68441266e-01
0.00000000e+00,1.70263400e-01,9.98362365e-01,1.52767975e-01,5.93704920e-01,0.00000000e+00,1.70271541e-01
0.00000000e+00,1.70503287e-01,9.98142804e-01,1.54292971e-01,5.93707039e-01,0.00000000e+00,1.70498566e-01
0.00000000e+00,1.68935664e-01,9.97584334e-01,1.41309514e-01,5.93579206e-01,0.00000000e+00,1.68973580e-01
0.00000000e+00,1.66894541e-01,9.96806066e-01,1.07470876e-01,5.93375432e-01,0.00000000e+00,1.66974853e-01
0.00000000e+00,1.65483892e-01,9.96231690e-01,9.91840871e-02,5.93160091e-01,0.00000000e+00,1.65569096e-01
0.00000000e+00,1.65274402e-01,9.96310111e-01,1.00400720e-01,5.92969256e-01,0.00000000e+00,1.65340122e-01
0.00000000e+00,1.66318620e-01,9.91885844e-01,9.78725284e-02,5.93159119e-01,0.00000000e+00,1.66302433e-01
0.00000000e+00,1.66797019e-01,9.96158681e-01,1.01390503e-01,5.93464750e-01,0.00000000e+00,1.66803971e-01
0.00000000e+00,1.66969774e-01,9.98128107e-01,1.17036496e-01,5.93855487e-01,0.00000000e+00,1.67015343e-01
5.01692715e-02,1.68191157e-01,9.98912063e-01,1.40335228e-01,5.94279610e-01,0.00000000e+00,1.68250647e-01
1.00484404e-01,1.70868825e-01,9.99158873e-01,1.54280161e-01,5.94583821e-01,3.61800174e-01,1.70868527e-01
0.00000000e+00,1.71176412e-01,9.99138941e-01,1.55164573e-01,5.94585404e-01,3.59692922e-01,1.71162771e-01
0.00000000e+00,1.69260600e-01,9.98862122e-01,1.39114613e-01,5.94281671e-01,0.00000000e+00,1.69300440e-01
0.00000000e+00,1.67033194e-01,9.98310375e-01,1.03991523e-01,5.93857051e-01,0.00000000e+00,1.67109562e-01
0.00000000e+00,1.65810696e-01,9.97733028e-01,1.00572386e-01,5.93465731e-01,0.00000000e+00,1.65876573e-01
