epoch,step,train/align,train/loss,train/main,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
0,10,,,,,,4.511042425292544e-05,4.3556563468882814e-05,3.204345557605848e-05
0,10,8.202126502990723,8.202147483825684,2.254198261653073e-05,,,,,
1,21,,,,,,4.2717056203400716e-05,3.9798291254555807e-05,3.0777569918427616e-05
1,21,2.302748918533325,2.3027594089508057,9.85858332569478e-06,,,,,
2,32,,,,,,4.2860017856583e-05,4.002977584605105e-05,3.0851086194161326e-05
2,32,11.789775848388672,11.789780616760254,6.308505817287369e-06,,,,,
3,43,,,,,,4.231322600389831e-05,3.917375215678476e-05,3.056109926546924e-05
3,43,21.122316360473633,21.1223201751709,5.574336682911962e-06,,,,,
4,54,,,,,,4.271747457096353e-05,3.9808051951695234e-05,3.077505971305072e-05
4,54,1.529194712638855,1.5292000770568848,5.301925739331637e-06,,,,,
5,65,,,,,,4.270139106665738e-05,3.978077074862085e-05,3.076715802308172e-05
5,65,0.6171788573265076,0.6171835064888,4.647067271434935e-06,,,,,
6,76,,,,,,4.27430059062317e-05,3.98430711356923e-05,3.079008456552401e-05
6,76,35.97245407104492,35.97245407104492,4.022322173113935e-06,,,,,
7,87,,,,,,4.283620364731178e-05,3.998989996034652e-05,3.0839230021229014e-05
7,87,0.9009464979171753,0.9009504318237305,3.805022743108566e-06,,,,,
8,98,,,,,,4.30643412983045e-05,4.03479571104981e-05,3.0959952709963545e-05
8,98,1.2778658866882324,1.2778695821762085,3.5438208669802407e-06,,,,,
9,109,,,,,,4.321046071709134e-05,4.057776459376328e-05,3.1037132430355996e-05
9,109,11.401395797729492,11.401399612426758,3.3835810882010264e-06,,,,,
10,120,,,,,,4.3360632844269276e-05,4.081543374923058e-05,3.111600744887255e-05
10,120,4.702496528625488,4.702500343322754,3.5738758015213534e-06,,,,,
11,131,,,,,,4.342308238847181e-05,4.090949732926674e-05,3.115023355348967e-05
11,131,5.404714107513428,5.404717445373535,3.6633171021094313e-06,,,,,
12,142,,,,,,4.397206430439837e-05,4.1764258639886975e-05,3.144278525724076e-05
12,142,1.4314950704574585,1.4314982891082764,3.274109758422128e-06,,,,,
13,153,,,,,,4.4153730414109305e-05,4.204614742775448e-05,3.153988654958084e-05
13,153,4.985642910003662,4.985645771026611,3.1894385301711736e-06,,,,,
14,164,,,,,,4.427417297847569e-05,4.2234958527842537e-05,3.160368942189962e-05
14,164,8.848392486572266,8.848397254943848,3.100835101577104e-06,,,,,
15,175,,,,,,4.4478565541794524e-05,4.255496241967194e-05,3.171207936247811e-05
