HANDI,ablationA,ortho
1.64204917e-03,7.63256990e-03,1.29561229e-01
1.34908777e-04,5.68770276e-02,5.98919475e-01
4.62452963e-03,1.36413359e-01,6.19081384e-01
1.03782506e-02,1.30500553e-01,5.34209040e-01
6.91389464e-03,2.76840596e-01,4.25812570e-01
3.35137671e-02,1.35392995e+00,2.96704817e-01
1.08549974e-03,4.24500458e-03,1.47142678e-01
2.14707572e-04,5.53529175e-02,5.76972203e-01
8.31900006e-03,1.07989776e-01,4.45299969e-01
1.57261723e-02,7.34575103e-02,3.11396768e-01
8.85176104e-03,5.64825665e-02,3.33994301e-01
5.82670961e-03,3.54908531e-01,3.85870388e-01
2.81571493e-02,7.64967008e-01,2.67781957e-01
6.40513636e-04,3.02700398e-03,1.80577511e-01
3.80558022e-04,5.09204991e-02,5.55054975e-01
8.61307842e-03,8.07335856e-02,3.49015542e-01
1.43496642e-02,3.40055352e-02,1.97602041e-01
1.17823157e-02,1.39882739e-02,2.11126976e-01
6.47754810e-03,5.76088214e-02,2.46274001e-01
4.38178559e-03,5.60153378e-01,1.62747806e-01
7.83128813e-03,1.10518926e+00,3.22094769e-01
2.54265268e-02,4.57905424e-01,1.84305800e-01
3.47288438e-04,2.81048324e-03,2.48439436e-01
5.50931279e-04,4.16445880e-02,6.95204833e-01
6.38612879e-03,5.94740510e-02,2.32633966e-01
1.00047875e-02,2.51852021e-02,1.01843524e-01
9.88015000e-03,1.53848525e-02,8.84892415e-02
5.30029893e-03,8.71775023e-03,1.08571942e-01
3.06265498e-03,5.05442101e-02,7.14549809e-02
1.06994678e-03,3.36753158e-01,1.22843305e-01
6.79363557e-03,5.80828592e-01,3.76042795e-01
1.74610043e-02,3.11307207e-01,1.16457252e-01
1.94890141e-04,3.31942278e-03,3.91007979e-01
1.14520331e-03,5.89063882e-02,6.30778522e-01
3.36932905e-03,4.85477973e-02,2.14279032e-01
4.71798821e-03,3.07023448e-02,5.32854659e-02
5.20993481e-03,1.56404001e-02,9.20846106e-03
2.27149237e-03,1.62904933e-02,1.30837491e-02
2.07561283e-03,2.97951428e-03,3.97216429e-02
1.09687070e-03,1.27319355e-01,1.48692449e-01
2.57881460e-03,4.20169222e-01,4.09327349e-01
1.01275258e-02,1.37999338e-01,7.72196104e-02
1.54040253e-04,4.71342156e-03,6.65143111e-01
6.98708426e-04,5.17111286e-02,6.26476311e-01
1.50623413e-03,3.42157567e-02,2.40732770e-01
3.07330459e-03,2.46371522e-02,8.24744751e-02
5.28151435e-03,1.43642159e-02,1.51737386e-02
6.76902107e-03,8.86412580e-03,7.57908711e-03
6.49770698e-03,1.04020558e-03,5.14773513e-02
4.97347702e-03,1.01012524e-01,2.04033827e-01
4.78773589e-04,3.47478807e-01,3.60720077e-01
6.19614921e-03,5.24577128e-02,5.48388892e-02
2.28613946e-04,7.32136828e-03,9.14810628e-01
8.20437734e-04,3.22365117e-02,7.71590112e-01
1.47285532e-03,1.20267081e-02,4.07642312e-01
3.74423663e-03,1.32776039e-02,2.66423883e-01
1.20547968e-02,4.28614211e-02,1.89633174e-01
2.43257407e-02,1.39148110e-02,8.69173410e-02
2.18222137e-02,1.93848130e-02,1.24798104e-01
1.28805790e-02,1.21580437e-01,2.99212334e-01
1.43489186e-04,2.83724078e-01,3.19414093e-01
4.44056978e-03,2.03128279e-02,4.11843764e-02
4.31919365e-04,1.02403000e-02,1.23167312e+00
1.96087780e-03,7.59963066e-03,1.05468033e+00
1.34273109e-03,3.67112113e-02,1.05958516e+00
2.64324772e-03,3.27286336e-02,7.12106406e-01
1.03338535e-02,6.16480602e-02,4.88274832e-01
2.64719805e-02,6.56971802e-02,2.92689281e-01
3.31453117e-02,6.68470353e-02,2.90864827e-01
1.87234016e-02,1.42950466e-01,3.87825022e-01
2.54664181e-04,1.93775257e-01,2.93378370e-01
3.82439576e-03,7.97856072e-03,3.24067438e-02
4.68188642e-04,8.18533959e-03,1.74073536e+00
2.50106700e-03,2.15897163e-02,1.67156539e+00
1.51915641e-03,1.11688283e+00,3.18351093e+00
2.25718616e-03,5.49932612e-01,2.50299240e+00
4.39030928e-03,4.46771417e-02,8.54449583e-01
1.35691453e-02,8.70755558e-02,6.06292320e-01
3.06661275e-02,1.01043863e-01,4.37399375e-01
1.69125548e-02,1.37008735e-01,3.95827270e-01
3.64967475e-04,1.27599366e-01,2.09594096e-01
3.85148705e-03,3.13039670e-03,2.68345010e-02
3.67760216e-04,2.71482341e-03,2.27926750e+00
1.33282619e-03,2.55099003e-01,3.02245549e+00
2.68445814e-03,5.02851983e-01,1.90291260e+00
5.18636258e-03,5.59451544e-02,8.95745564e-01
1.28893781e-02,9.71685824e-02,6.04066135e-01
6.23181263e-03,1.02998592e-01,4.55430724e-01
7.48031078e-04,3.38410232e-02,1.46459514e-01
4.29734819e-03,2.04251327e-03,2.38413686e-02
