HANDI,ablationA,ortho
9.97635030e-01,9.43007666e-01,7.63506807e-01
9.93079639e-01,8.69029828e-01,7.11018545e-01
9.86814319e-01,8.39644797e-01,6.41884467e-01
9.83614435e-01,8.46289484e-01,6.54877633e-01
9.83729457e-01,7.73204398e-01,6.72553410e-01
9.86252705e-01,0.00000000e+00,7.11960810e-01
9.89827321e-01,0.00000000e+00,7.39811469e-01
9.90330904e-01,0.00000000e+00,7.55350780e-01
9.89968110e-01,0.00000000e+00,7.73587219e-01
9.96807485e-01,8.73884183e-01,7.78018678e-01
9.98490817e-01,9.54776903e-01,7.58927782e-01
9.92299392e-01,8.80263009e-01,6.77946497e-01
9.86951792e-01,8.73462398e-01,6.34648373e-01
9.83797953e-01,8.89896163e-01,6.61053029e-01
9.83055235e-01,8.79887713e-01,6.82447289e-01
9.84488859e-01,6.70519824e-01,6.99582543e-01
9.87151799e-01,0.00000000e+00,7.38619948e-01
9.88741994e-01,0.00000000e+00,7.60239710e-01
9.94326818e-01,0.00000000e+00,7.82286609e-01
9.95714192e-01,8.78381012e-01,7.80686918e-01
9.98564562e-01,9.53452391e-01,7.56784703e-01
9.91645715e-01,8.83869074e-01,6.52034830e-01
9.87360951e-01,8.89796657e-01,6.31683503e-01
9.83990156e-01,9.08878993e-01,6.89178630e-01
9.82894929e-01,9.15741750e-01,7.16741046e-01
9.83324480e-01,8.79880962e-01,7.02161475e-01
9.85067291e-01,3.88947193e-01,7.45762471e-01
9.89168600e-01,0.00000000e+00,7.70765058e-01
9.96356280e-01,5.42182316e-01,7.85956304e-01
9.95481787e-01,8.73955542e-01,7.78802993e-01
9.98140147e-01,9.49516062e-01,7.55308510e-01
9.91483124e-01,8.89624055e-01,6.38491815e-01
9.88328661e-01,8.96923397e-01,6.40558207e-01
9.83977067e-01,9.22365354e-01,7.63379845e-01
9.82520527e-01,9.41752645e-01,8.26630102e-01
9.83335984e-01,9.22210578e-01,7.46258781e-01
9.84570262e-01,8.86438502e-01,7.70780548e-01
9.91191749e-01,6.61503319e-01,7.81385648e-01
9.96676106e-01,8.17568519e-01,7.82376995e-01
9.95559695e-01,8.72730413e-01,7.74549321e-01
9.96680000e-01,9.46028621e-01,7.44627732e-01
9.91998450e-01,8.93767557e-01,6.31435913e-01
9.89508504e-01,8.99114617e-01,6.55841609e-01
9.84158976e-01,9.31127722e-01,8.35182836e-01
9.80207889e-01,9.91685914e-01,9.70887145e-01
9.83655550e-01,9.50127303e-01,8.55000684e-01
9.86651159e-01,9.52759980e-01,8.01957325e-01
9.91238837e-01,8.89077435e-01,7.97221084e-01
9.96126223e-01,8.45180755e-01,7.75256543e-01
9.95956249e-01,8.76416071e-01,7.74056213e-01
9.95533188e-01,9.37205098e-01,7.35153491e-01
9.92850989e-01,8.97254993e-01,6.28568743e-01
9.90122139e-01,8.94307432e-01,6.27524497e-01
9.83928248e-01,9.20652894e-01,7.84071659e-01
9.78884922e-01,9.88143801e-01,8.83553132e-01
9.81189646e-01,9.84299777e-01,8.87227247e-01
9.85172948e-01,9.73299939e-01,8.22848329e-01
9.89533331e-01,9.02062655e-01,8.03187926e-01
9.95149381e-01,8.44634596e-01,7.71034131e-01
9.95980306e-01,8.91436295e-01,7.80438605e-01
9.94957250e-01,9.24965373e-01,7.02917608e-01
9.93847215e-01,9.00656845e-01,6.02405453e-01
9.91038510e-01,8.75497404e-01,4.49733318e-01
9.82857736e-01,8.62090736e-01,5.86813051e-01
9.78187809e-01,9.27756256e-01,7.94537939e-01
9.77474151e-01,9.80981001e-01,8.27640029e-01
9.80558295e-01,9.58615026e-01,8.17667171e-01
9.86537463e-01,8.69806749e-01,7.94573731e-01
9.94098463e-01,8.39577925e-01,7.69605135e-01
9.95687949e-01,9.00599675e-01,7.84250293e-01
9.94950579e-01,9.13260328e-01,6.84633264e-01
9.94421189e-01,9.01899478e-01,4.89272156e-01
9.91385995e-01,8.10773413e-01,1.35438125e-02
9.86942888e-01,7.93062328e-01,1.79662442e-01
9.81053668e-01,8.34267366e-01,6.02219735e-01
9.77478828e-01,9.03837235e-01,7.76576965e-01
9.78749797e-01,8.97952843e-01,7.91621032e-01
9.84511698e-01,8.36033567e-01,7.76816985e-01
9.93720396e-01,8.33635375e-01,7.64817529e-01
9.94575691e-01,9.00301773e-01,7.91700738e-01
9.94839030e-01,9.11776299e-01,6.86466058e-01
9.93957695e-01,8.87491312e-01,1.41364223e-01
9.93245419e-01,0.00000000e+00,2.91420086e-02
9.92476556e-01,3.57238465e-01,2.56715320e-01
9.87158129e-01,7.46927307e-01,2.46742520e-01
9.81104956e-01,8.21871128e-01,6.48330819e-01
9.79897295e-01,8.34430750e-01,7.47411090e-01
9.84599592e-01,8.11762252e-01,7.55236500e-01
9.94466230e-01,8.27984022e-01,7.54800235e-01
9.92482038e-01,9.03871641e-01,8.00587719e-01
9.94253041e-01,9.17986984e-01,6.74833705e-01
9.93369418e-01,7.67930703e-01,1.91412147e-01
9.96383219e-01,0.00000000e+00,0.00000000e+00
9.96823113e-01,0.00000000e+00,0.00000000e+00
9.93483987e-01,4.53520156e-01,1.86775423e-01
9.87088012e-01,7.45399250e-01,4.23835578e-01
9.83752339e-01,7.86606052e-01,6.63075620e-01
9.86965238e-01,7.90059716e-01,7.16072993e-01
9.95571580e-01,8.26444871e-01,7.35932761e-01
9.89041930e-01,9.04369388e-01,7.93802313e-01
