EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
9.99999991e-01,9.89812711e-01,9.99861673e-01,1.00000000e+00,9.03187105e-01,1.00000000e+00,9.98088784e-01
9.99999980e-01,9.91856453e-01,9.99907863e-01,1.00000000e+00,9.84638182e-01,1.00000000e+00,9.98686231e-01
9.99999972e-01,9.96364308e-01,9.99968657e-01,1.00000000e+00,9.95797323e-01,1.00000000e+00,9.98748496e-01
9.99999984e-01,9.98967295e-01,9.99988212e-01,1.00000000e+00,9.80238265e-01,1.00000000e+00,9.92394545e-01
9.99999987e-01,9.98693222e-01,9.99982039e-01,1.00000000e+00,5.39726367e-01,1.00000000e+00,9.97603908e-01
9.99999986e-01,9.97573959e-01,9.99923771e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,9.98201719e-01
9.99999986e-01,9.95599706e-01,9.99803494e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,9.99012448e-01
9.99999969e-01,9.93330153e-01,9.99847259e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,9.96882648e-01
9.99999483e-01,9.89849222e-01,9.99901315e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,9.35235523e-01
9.99999625e-01,9.97612090e-01,9.99729264e-01,1.00000000e+00,9.85352326e-01,1.00000000e+00,9.90058721e-01
9.99999989e-01,9.92247063e-01,9.99851211e-01,1.00000000e+00,9.23894167e-01,1.00000000e+00,9.98660343e-01
9.99999970e-01,9.91423935e-01,9.99891427e-01,1.00000000e+00,9.84969792e-01,1.00000000e+00,9.98605697e-01
9.99999959e-01,9.96977175e-01,9.99972532e-01,1.00000000e+00,9.91895791e-01,1.00000000e+00,9.94026798e-01
9.99999984e-01,9.97684887e-01,9.99986778e-01,1.00000000e+00,9.94902844e-01,1.00000000e+00,9.67972529e-01
9.99999989e-01,9.99028175e-01,9.99991140e-01,1.00000000e+00,9.94488197e-01,1.00000000e+00,9.89899872e-01
9.99999989e-01,9.98107067e-01,9.99960721e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,9.95642053e-01
9.99999988e-01,9.96186365e-01,9.99889342e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,9.96711189e-01
9.99999962e-01,9.93627065e-01,9.99916337e-01,1.00000000e+00,0.00000000e+00,1.00000000e+00,9.95974790e-01
9.99999395e-01,9.86413202e-01,9.99904768e-01,1.00000000e+00,9.63154434e-01,1.00000000e+00,9.37240239e-01
9.99999808e-01,9.98585997e-01,9.99830477e-01,1.00000000e+00,9.94376176e-01,1.00000000e+00,9.93413684e-01
9.99999985e-01,9.94236457e-01,9.99841079e-01,1.00000000e+00,9.44236447e-01,1.00000000e+00,9.98895182e-01
9.99999948e-01,9.90185446e-01,9.99871898e-01,1.00000000e+00,9.85923049e-01,1.00000000e+00,9.98396051e-01
9.99999949e-01,9.97019658e-01,9.99970780e-01,1.00000000e+00,9.69692904e-01,1.00000000e+00,9.82323562e-01
9.99999988e-01,9.93363701e-01,9.99974688e-01,1.00000000e+00,9.81302219e-01,1.00000000e+00,9.25604528e-01
9.99999992e-01,9.98463428e-01,9.99992987e-01,1.00000000e+00,9.91489515e-01,1.00000000e+00,9.62484017e-01
9.99999991e-01,9.98553954e-01,9.99983139e-01,1.00000000e+00,9.94803949e-01,1.00000000e+00,9.90442337e-01
9.99999990e-01,9.96524388e-01,9.99944290e-01,1.00000000e+00,7.72096070e-01,1.00000000e+00,9.91953998e-01
9.99999950e-01,9.93751560e-01,9.99957867e-01,1.00000000e+00,6.56353561e-01,1.00000000e+00,9.96099650e-01
9.99999406e-01,9.82213160e-01,9.99900628e-01,1.00000000e+00,9.15540847e-01,1.00000000e+00,9.61572990e-01
9.99999893e-01,9.98541659e-01,9.99876230e-01,1.00000000e+00,9.98183666e-01,1.00000000e+00,9.95696639e-01
9.99999980e-01,9.95806285e-01,9.99831940e-01,1.00000000e+00,9.63054261e-01,1.00000000e+00,9.98921290e-01
9.99999901e-01,9.88268841e-01,9.99857225e-01,1.00000000e+00,9.87486313e-01,1.00000000e+00,9.98180439e-01
9.99999946e-01,9.95043166e-01,9.99963463e-01,1.00000000e+00,9.07294866e-01,1.00000000e+00,9.69821028e-01
9.99999994e-01,9.88322797e-01,9.99974412e-01,1.00000000e+00,9.55920867e-01,1.00000000e+00,8.50745147e-01
9.99999997e-01,9.95814850e-01,9.99990063e-01,1.00000000e+00,9.62175106e-01,1.00000000e+00,9.11656128e-01
9.99999995e-01,9.98596118e-01,9.99993866e-01,1.00000000e+00,9.83129703e-01,1.00000000e+00,9.79454523e-01
9.99999993e-01,9.96184026e-01,9.99974770e-01,1.00000000e+00,9.92493875e-01,1.00000000e+00,9.80909997e-01
9.99999934e-01,9.93970154e-01,9.99977781e-01,1.00000000e+00,9.88885682e-01,1.00000000e+00,9.94389516e-01
9.99999580e-01,9.81456174e-01,9.99890301e-01,1.00000000e+00,9.81146049e-01,1.00000000e+00,9.82872849e-01
9.99999936e-01,9.98292394e-01,9.99896936e-01,1.00000000e+00,9.92235724e-01,1.00000000e+00,9.97035002e-01
9.99999972e-01,9.96982760e-01,9.99824301e-01,1.00000000e+00,9.79220505e-01,1.00000000e+00,9.98789303e-01
9.99999817e-01,9.87319291e-01,9.99872095e-01,1.00000000e+00,9.91181869e-01,1.00000000e+00,9.97769079e-01
9.99999933e-01,9.94897181e-01,9.99967762e-01,1.00000000e+00,8.96019054e-01,1.00000000e+00,9.60626607e-01
9.99999996e-01,9.84914207e-01,9.99977211e-01,1.00000000e+00,9.22062734e-01,1.00000000e+00,8.54266810e-01
1.00000000e+00,9.91493780e-01,9.99994083e-01,1.00000000e+00,9.54143382e-01,1.00000000e+00,9.19739561e-01
9.99999998e-01,9.96364950e-01,9.99997677e-01,1.00000000e+00,8.88489011e-01,1.00000000e+00,9.66193132e-01
9.99999994e-01,9.93150723e-01,9.99986342e-01,1.00000000e+00,9.52007897e-01,1.00000000e+00,9.46661010e-01
9.99999926e-01,9.94507237e-01,9.99982846e-01,1.00000000e+00,9.77426016e-01,1.00000000e+00,9.78728265e-01
9.99999739e-01,9.87317510e-01,9.99904005e-01,1.00000000e+00,9.96742935e-01,1.00000000e+00,9.94091488e-01
9.99999959e-01,9.97796612e-01,9.99906197e-01,1.00000000e+00,9.78818354e-01,1.00000000e+00,9.97794774e-01
9.99999959e-01,9.97796612e-01,9.99818671e-01,1.00000000e+00,9.91417225e-01,1.00000000e+00,9.98475525e-01
9.99999739e-01,9.87317510e-01,9.99911424e-01,1.00000000e+00,9.84505431e-01,1.00000000e+00,9.94974971e-01
9.99999926e-01,9.94507237e-01,9.99945112e-01,1.00000000e+00,8.83606181e-01,1.00000000e+00,9.84184187e-01
