EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
5.60709257e-02,6.07432756e-03,5.15323419e-04,9.66019070e+00,1.02418769e+00,2.48864816e-09,4.18007672e-02
1.81101077e-02,6.05658890e-03,3.86221680e-05,1.22090204e+01,5.26932123e-02,3.49679798e-09,4.21404430e-02
1.11202575e-02,5.89503317e-03,1.49214149e-05,1.12910593e+01,3.17048972e-02,3.63800313e-09,2.07431421e-02
1.07913198e-02,5.13201008e-03,3.80547637e-05,8.93237598e+00,7.59459656e-02,3.04360930e-09,8.87599904e-03
5.82940166e-03,4.38170241e-03,6.26600978e-05,6.42122691e+00,3.24271303e-01,1.59299623e-09,1.16387258e-02
6.73572673e-03,2.66770157e-02,8.65418035e-04,1.42527635e+00,8.85882943e-02,1.73985337e-08,4.15742002e-02
4.61181660e-02,4.30542061e-03,5.62046448e-04,8.20237463e+00,8.21413992e-01,1.02243016e-09,3.95141576e-02
6.51763875e-03,4.19477517e-03,4.20119074e-05,1.03166555e+01,3.52550007e-02,1.13780656e-09,2.71822610e-02
4.16011756e-03,4.59864697e-03,7.47652314e-06,9.29340081e+00,1.56343095e-02,1.43548825e-09,9.98748793e-03
4.66101549e-03,4.31070677e-03,1.42645370e-05,7.13956351e+00,2.25028096e-02,1.62310131e-09,2.17551785e-03
3.72886557e-03,3.86882654e-03,8.30454179e-06,5.00142161e+00,2.84754079e-02,1.78969957e-09,2.05129709e-03
2.98662344e-03,4.99650324e-03,3.53447772e-05,3.43412159e+00,1.93117775e-01,1.47697095e-09,9.25177544e-03
6.18740068e-03,1.02787274e-02,2.96958387e-04,1.82812777e+00,8.67884505e-02,1.36363380e-08,1.07518828e-02
2.31878818e-03,1.87108751e-02,7.11402916e-04,1.79043244e+00,1.16227997e-02,1.91081267e-09,1.96688956e-02
3.26024997e-02,3.16801223e-03,5.38001615e-04,6.89825316e+00,6.19658671e-01,3.09802437e-10,2.83154634e-02
3.55852263e-03,3.19757501e-03,4.22987392e-05,8.54427452e+00,2.21394499e-02,2.90488174e-10,1.52196709e-02
3.93321774e-03,3.93285330e-03,5.98651638e-06,7.44465601e+00,1.58162449e-02,5.19401345e-10,3.98156479e-03
4.44832781e-03,4.30612658e-03,1.05913927e-05,5.49938623e+00,1.70416334e-02,6.32995641e-10,7.20856016e-03
3.10576170e-03,4.46685731e-03,8.09939878e-06,3.70946342e+00,1.85851818e-02,8.14294868e-10,1.46555329e-02
2.37593524e-03,5.04321637e-03,1.50650169e-05,2.59073392e+00,2.49116257e-02,1.57467123e-09,3.63522628e-03
3.90799871e-03,6.54346222e-03,2.99606972e-05,2.17420075e+00,9.31646534e-02,1.83033186e-09,5.72156150e-03
5.37967719e-03,5.93424178e-03,1.21173258e-05,2.15475405e+00,8.13396763e-02,2.37679251e-09,5.65288194e-03
1.12572503e-03,1.22319669e-02,1.91969679e-04,2.28264888e+00,5.61784675e-02,8.62554501e-10,8.46095782e-03
2.01534881e-03,1.29412200e-02,6.25080677e-04,2.31347253e+00,5.67421575e-03,9.74656792e-11,7.26735413e-03
2.36743937e-02,2.87826259e-03,4.98692653e-04,5.73050892e+00,4.39070979e-01,1.45726274e-10,1.55487541e-02
3.16400780e-03,3.02276907e-03,4.34146073e-05,6.90054535e+00,1.50274028e-02,1.64361115e-10,7.17115847e-03
6.06386817e-03,3.98721143e-03,1.01263500e-05,5.79192239e+00,2.04588313e-02,3.45770943e-10,2.46158201e-03
5.98977280e-03,6.01448519e-03,2.13880064e-05,4.05146624e+00,2.17237819e-02,2.67011117e-10,2.29762180e-02
3.97508352e-03,8.37628872e-03,3.35563025e-05,2.49859435e+00,2.15371952e-02,1.98589351e-10,6.30547174e-02
2.29097099e-03,6.16595130e-03,3.38037256e-05,1.87541154e+00,2.28245687e-02,6.27021876e-10,2.58348170e-02
1.93510733e-03,6.48273278e-03,4.04455817e-05,1.95799040e+00,2.32071210e-02,1.50019180e-09,5.22526419e-03
1.82390203e-03,5.96032348e-03,2.07546508e-05,2.43280230e+00,3.24961604e-02,1.43108632e-09,2.64500621e-03
5.38608281e-04,8.06537217e-03,1.02886308e-04,3.04159422e+00,2.04451723e-02,5.08331759e-10,3.24067942e-03
3.06109116e-03,8.65223618e-03,5.90985701e-04,2.97686107e+00,4.72403113e-02,1.97373929e-10,1.65485885e-03
1.77999202e-02,3.65987176e-03,4.66333093e-04,4.68901146e+00,2.87068766e-01,1.36283130e-10,6.23120682e-03
3.76035039e-03,3.75364909e-03,4.89820520e-05,5.40305237e+00,1.32651675e-02,2.31203245e-10,2.96412221e-03
8.09594701e-03,5.98009494e-03,1.71563790e-05,4.36703135e+00,2.34527965e-02,5.02784666e-10,4.35426781e-03
7.35323168e-03,8.58777574e-03,4.15910455e-05,2.77105669e+00,3.56706123e-02,4.67114892e-10,3.57242226e-02
9.44602959e-03,1.65163039e-02,1.06376111e-04,1.26730858e+00,3.17396711e-02,1.52039019e-10,1.36688256e-01
2.27864138e-03,1.01083719e-02,9.48566520e-05,1.23704962e+00,4.61784518e-02,9.65168448e-11,5.83529437e-02
2.17977745e-03,6.85316999e-03,6.92000689e-05,2.04616866e+00,2.15262721e-02,9.30501667e-10,1.61601333e-02
2.28687376e-03,6.43002207e-03,3.52324992e-05,3.16834203e+00,1.59564806e-02,1.44060936e-09,4.13936628e-03
9.90433046e-04,5.53111168e-03,7.14662067e-05,4.09138675e+00,5.22278493e-03,4.06909824e-10,1.34035041e-03
4.88308413e-03,5.58087592e-03,6.01247595e-04,3.77056374e+00,1.29671264e-01,1.95321026e-10,2.14241324e-03
1.30747613e-02,5.58087592e-03,4.46043124e-04,3.77056374e+00,1.66233031e-01,1.95321026e-10,1.91087147e-03
5.02063301e-03,5.53111168e-03,6.18319055e-05,4.09138675e+00,1.92476285e-02,4.06909830e-10,2.01105919e-03
1.32011928e-02,6.43002207e-03,1.80637785e-05,3.16834203e+00,4.85874813e-02,1.44060938e-09,4.86976497e-03
3.72365095e-03,6.85316999e-03,4.37240216e-05,2.04616866e+00,2.07266084e-02,9.30501667e-10,1.65747572e-02
1.44129270e-03,1.01083719e-02,1.15134758e-04,1.23704962e+00,3.45619130e-02,9.65168447e-11,5.67040256e-02
8.50644427e-03,1.65163039e-02,1.10958101e-04,1.26730858e+00,3.15356812e-02,1.52039019e-10,1.36612844e-01
5.66450076e-03,8.58777574e-03,6.24439146e-05,2.77105669e+00,3.68050453e-02,4.67114893e-10,3.42359184e-02
2.16985487e-03,5.98009494e-03,3.48182963e-05,4.36703135e+00,9.53677042e-03,5.02784504e-10,3.59069783e-03
1.27622586e-03,3.75364909e-03,6.42197319e-05,5.40305237e+00,2.31341321e-03,2.31203245e-10,2.63035127e-03
7.16771471e-03,3.65987176e-03,6.51420390e-04,4.68901146e+00,2.49441486e-01,1.36283130e-10,8.57822173e-03
8.76963351e-03,8.65223618e-03,4.36483054e-04,2.97686107e+00,7.80677678e-02,1.97373929e-10,2.82061850e-03
6.32342471e-03,8.06537217e-03,8.35436557e-05,3.04159422e+00,3.94818698e-02,5.08331759e-10,3.55910598e-03
2.03095797e-02,5.96032348e-03,2.09994832e-05,2.43280230e+00,1.30401332e-01,1.43108632e-09,3.07087740e-03
1.07487422e-02,6.48273278e-03,2.68904099e-05,1.95799040e+00,5.22427880e-02,1.50019180e-09,5.86716690e-03
1.52658335e-03,6.16595130e-03,4.34661779e-05,1.87541154e+00,1.62396071e-02,6.27021876e-10,2.55421502e-02
1.87468866e-03,8.37628872e-03,7.35224381e-05,2.49859435e+00,1.25782762e-02,1.98589351e-10,6.05430145e-02
2.23176519e-03,6.01448519e-03,4.39708042e-05,4.05146624e+00,1.23114049e-02,2.67011117e-10,2.09145822e-02
1.36342342e-03,3.98721143e-03,2.63472058e-05,5.79192239e+00,5.55485496e-03,3.45770947e-10,1.84647742e-03
1.40184880e-03,3.02276907e-03,7.33751841e-05,6.90054535e+00,7.04971346e-03,1.64361115e-10,7.60330916e-03
1.01204498e-02,2.87826259e-03,7.37175784e-04,5.73050892e+00,4.04134887e-01,1.45726274e-10,2.05127671e-02
5.20113888e-03,1.29412200e-02,4.31755091e-04,2.31347253e+00,2.47179153e-02,9.74656793e-11,8.91268072e-03
