EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
4.60050330e+00,1.25635638e-02,2.36297530e-03,1.66441411e+02,1.75659197e+00,1.38818785e-04,1.14891585e-01
2.15206949e+00,2.27986448e-02,1.11646521e-03,1.51844072e+02,1.04269961e-01,1.24098816e-04,1.00235226e-01
inf,5.20081745e-02,4.96976866e-04,1.40083513e+02,4.58044642e-02,7.93872103e-05,7.33906500e-02
inf,6.33928829e-02,4.61552350e-04,1.30455078e+02,5.64612198e-02,2.93216017e-05,5.05557625e-02
inf,4.55181536e-02,1.32854841e-03,1.22194918e+02,2.13934143e-02,9.11330674e-06,6.19766191e-02
inf,3.15428722e-02,5.45618333e-03,1.15019280e+02,8.90946474e-03,1.23097727e-05,1.25068729e-01
inf,3.07435923e-02,1.34318068e-02,1.08266553e+02,4.93429707e-01,1.63051558e-03,1.66724181e-01
inf,3.21962972e-02,1.31879944e-02,1.01292930e+02,inf,6.68042878e-03,2.18553108e-01
inf,4.39143160e-02,2.86947762e-03,9.55151695e+01,inf,7.41797249e-03,1.27023005e-01
inf,3.35910162e-01,5.94487587e-03,9.03211688e+01,6.47114153e-01,1.15506743e-03,4.60502739e-01
3.92579714e+00,1.45677579e-02,2.62599220e-03,1.09455729e+02,1.55872659e+00,3.77856177e-05,7.74504866e-02
inf,1.64548470e-02,1.24430675e-03,9.75313077e+01,6.14878524e-02,2.74500850e-05,5.72222292e-02
inf,4.46657794e-02,5.77227546e-04,8.83888336e+01,2.32246826e-02,2.13020896e-05,3.69408876e-02
inf,5.87335076e-02,4.69672926e-04,8.07878377e+01,2.07781323e-02,1.86814729e-05,1.62478658e-02
inf,4.30716260e-02,8.70638728e-04,7.42513661e+01,1.76940735e-02,8.70118562e-06,1.33604435e-02
inf,3.05597261e-02,2.95101226e-03,6.87338472e+01,1.15245879e-02,5.95158075e-06,4.19670139e-02
inf,2.89197151e-02,7.08323783e-03,6.37202148e+01,8.82315484e-03,1.77682933e-04,1.19602507e-01
inf,2.68293647e-02,6.59552159e-03,5.87890478e+01,1.20268625e-02,1.01267512e-03,1.39715935e-01
inf,5.81156271e-02,2.36197696e-03,5.54388792e+01,6.42658404e-02,1.30252802e-03,9.35027399e-02
inf,2.41654250e-01,6.64501934e-03,5.00914179e+01,4.16696174e-03,4.85685896e-05,2.80136670e-01
3.40148743e+00,2.11714202e-02,2.87903323e-03,6.43760530e+01,1.31993659e+00,5.52452563e-06,4.18289747e-02
inf,1.27482527e-02,1.39822673e-03,5.54762350e+01,3.80681806e-02,2.94650889e-06,2.58865546e-02
inf,3.71184288e-02,7.27478633e-04,4.88923029e+01,6.26738870e-03,2.70356582e-06,1.70753835e-02
inf,5.13442568e-02,5.78798263e-04,4.32481879e+01,1.04837322e-02,4.34255726e-06,2.24015225e-02
inf,3.86643842e-02,6.95816992e-04,3.84152726e+01,6.47414632e-03,5.13183423e-06,5.53390053e-02
inf,3.14425408e-02,1.53550562e-03,3.46098408e+01,1.41892896e-02,6.34455666e-06,2.33717521e-02
inf,2.98852832e-02,3.46439121e-03,3.13333244e+01,1.27518777e-02,1.10493355e-05,2.46817729e-02
inf,2.20735129e-02,3.40204147e-03,2.83605350e+01,2.07826880e-02,1.12796842e-04,2.77381483e-02
inf,5.89945456e-02,2.89323581e-03,2.65174522e+01,3.71366262e-02,6.53118356e-05,9.36904192e-02
inf,1.72094287e-01,6.95855113e-03,2.19501108e+01,1.08609453e-01,6.40614226e-06,1.55621605e-01
2.95566254e+00,3.39628160e-02,3.01833950e-03,3.14175398e+01,1.06492847e+00,3.35004452e-06,1.63699155e-02
inf,1.21479286e-02,1.58258685e-03,2.56424401e+01,2.59633882e-02,9.26881529e-06,1.14236554e-02
inf,2.86165449e-02,1.05044064e-03,2.15304972e+01,1.00047121e-02,9.76971698e-06,1.40493239e-02
inf,4.13717891e-02,9.82699028e-04,1.78052901e+01,7.56936174e-02,6.69468618e-06,7.20672047e-02
inf,2.98785361e-02,8.70454828e-04,1.45287022e+01,8.37670633e-02,3.64767433e-06,2.57382943e-01
inf,3.54221524e-02,9.02767105e-04,1.25500955e+01,6.76890385e-03,5.49668884e-06,1.47344703e-01
inf,3.42798836e-02,1.72949230e-03,1.09911684e+01,1.11861623e-02,6.20302378e-06,3.86707365e-02
inf,1.75133884e-02,2.39786165e-03,9.76021084e+00,1.25651165e-02,5.75859699e-06,1.79357325e-02
inf,4.35472550e-02,3.49150169e-03,8.67151060e+00,6.05774300e-03,3.56701569e-06,6.39752431e-02
inf,1.20543068e-01,6.97038843e-03,5.97241711e+00,3.05991769e-01,8.99504400e-06,7.20170405e-02
2.68948932e+00,5.39745102e-02,3.15647323e-03,1.06857864e+01,8.16609763e-01,4.68748629e-06,1.15902583e-02
inf,1.57738800e-02,1.82495133e-03,7.97291825e+00,1.76871539e-02,8.44125690e-06,1.44343728e-02
inf,2.08532402e-02,1.55992263e-03,6.19970389e+00,1.62273836e-02,8.25206151e-06,2.18911588e-02
inf,3.86903804e-02,1.69365841e-03,4.59760567e+00,9.26009058e-02,8.15959474e-06,1.19703000e-01
inf,3.36011751e-02,2.73816730e-03,2.43009325e+00,5.09345291e-01,2.44237041e-05,5.20412943e-01
inf,5.05999628e-02,9.15893956e-04,2.32771337e+00,9.58503867e-02,3.41171521e-06,3.76018642e-01
9.60469124e-01,4.17387727e-02,1.34668546e-03,2.37616039e+00,1.37032669e-02,6.34856381e-06,9.86077463e-02
