EDMD,SINDy,HANDI,PSE,gEDMD,wSINDy,SR3
1.62988139e-01,1.71342845e-02,2.59399983e-05,1.81721821e+01,1.19754778e-01,6.59242165e-06,2.29696612e-02
9.54431729e-02,1.86177386e-02,5.95916192e-05,1.84882614e+01,1.41924568e-02,8.77455394e-06,2.54799362e-02
1.09554214e-01,1.12700790e-02,2.15968057e-05,1.18082155e+01,1.03688271e-01,1.96949334e-06,1.58693255e-02
9.49629460e-02,6.89099861e-03,2.02998836e-05,6.83332896e+00,8.97751415e-02,3.40442182e-07,9.81642015e-03
9.16884474e-02,4.32420652e-03,2.37397550e-05,3.22999629e+00,7.72834252e-02,2.39549683e-07,5.05012680e-03
9.49453418e-02,4.14695723e-03,3.55393350e-05,9.75694136e-01,6.56392516e-02,1.71449310e-07,2.06899758e-03
6.49125237e-02,3.33511960e-02,2.71578455e-04,1.36895503e+00,1.92386970e-02,5.10499212e-06,3.85094724e-02
1.04587905e-01,7.47092724e-03,6.33209943e-05,4.05272360e-02,5.39578302e-02,7.43600671e-09,1.94723502e-03
7.98100324e-02,7.92388580e-03,2.31705843e-04,6.23005033e-01,1.20336194e-01,4.74540152e-06,3.96189761e-02
7.07331341e-02,2.63845425e-02,2.72099090e-04,2.79815890e+00,1.12466127e-01,4.51344033e-06,3.03680762e-02
1.23364108e-01,1.66685913e-02,1.23695163e-04,3.83180887e-01,4.10748557e-02,4.94014806e-07,7.15336107e-03
1.57909768e-01,3.73859417e-02,2.55076442e-04,1.94365841e+00,2.58621889e-02,3.83471847e-07,2.39755616e-02
