epoch,step,train/align,train/loss,train/main,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
0,10,,,,,,0.00011072885536123067,9.39003803068772e-05,8.255874126916751e-05
0,10,0.052767880260944366,0.0527925007045269,2.4617875169496983e-05,,,,,
1,21,,,,,,9.392984065925702e-05,7.988063589436933e-05,6.99656447977759e-05
1,21,0.0416269525885582,0.041639093309640884,1.2142057130404282e-05,,,,,
2,32,,,,,,0.00012061242887284607,0.00010195045615546405,9.002729348139837e-05
2,32,0.12100780010223389,0.12101854383945465,1.0750418368843384e-05,,,,,
3,43,,,,,,0.00014123781875241548,0.00011923315469175577,0.00010546787234488875
3,43,0.15415838360786438,0.154168963432312,1.0572922292340081e-05,,,,,
4,54,,,,,,0.00014974029909353703,0.00012661229993682355,0.00011175662075402215
4,54,0.10001526772975922,0.10002561658620834,1.034770320984535e-05,,,,,
5,65,,,,,,0.00015195699234027416,0.00012871592480223626,0.00011334221198922023
5,65,0.1637795865535736,0.1637892872095108,9.721693459141534e-06,,,,,
6,76,,,,,,0.00015632993017788976,0.00013251144264359027,0.0001165764988400042
6,76,1.0623918771743774,1.0624011754989624,9.160611625702586e-06,,,,,
7,87,,,,,,0.00016454006254207343,0.00013946671970188618,0.0001227000611834228
7,87,0.2587871551513672,0.25879549980163574,8.359077583008911e-06,,,,,
8,98,,,,,,0.00016668959870003164,0.0001412241836078465,0.00012432235234882683
8,98,0.060800328850746155,0.0608084499835968,8.12306006992003e-06,,,,,
9,109,,,,,,0.00016768045315984637,0.00014205880870576948,0.00012506279745139182
9,109,0.7884703874588013,0.7884781956672668,7.836632903490681e-06,,,,,
10,120,,,,,,0.00017247017240151763,0.00014594840467907488,0.00012868565681856126
10,120,0.3487623631954193,0.3487699329853058,7.562252903881017e-06,,,,,
11,131,,,,,,0.0001750594237819314,0.00014824402751401067,0.00013058619515504688
11,131,0.44589561223983765,0.44590306282043457,7.458344953192864e-06,,,,,
12,142,,,,,,0.00017832023149821907,0.00015091006935108453,0.00013304721505846828
12,142,1.0437430143356323,1.0437504053115845,7.276924861798761e-06,,,,,
13,153,,,,,,0.00018068500503432006,0.00015283691755030304,0.00013483392831403762
13,153,0.15149974822998047,0.15150770545005798,7.979817382874899e-06,,,,,
14,164,,,,,,0.0001780231250450015,0.00015057012205943465,0.0001328520884271711
14,164,0.21566852927207947,0.2156771570444107,8.631128366687335e-06,,,,,
15,175,,,,,,0.00018437698599882424,0.00015587864618282765,0.00013761337322648615
15,175,1.5166338682174683,1.516643762588501,9.73771238932386e-06,,,,,
16,186,,,,,,0.00018469746282789856,0.00015604014333803207,0.00013788542128168046
16,186,0.3563026189804077,0.35631200671195984,9.36285960051464e-06,,,,,
17,197,,,,,,0.00018366407311987132,0.00015495937259402126,0.00013717624824494123
17,197,0.06989983469247818,0.06990708410739899,7.247605026350357e-06,,,,,
18,208,,,,,,0.0001869499683380127,0.0001577214279677719,0.00013963352830614895
18,208,0.09746753424406052,0.09747394174337387,6.405961357813794e-06,,,,,
19,219,,,,,,0.0001913775340653956,0.0001613065687706694,0.0001429855328751728
19,219,0.4050912857055664,0.4050973951816559,6.024185495334677e-06,,,,,
20,230,,,,,,0.00019258211250416934,0.0001623534335521981,0.0001438760809833184
20,230,0.047506943345069885,0.047512687742710114,5.742892426496837e-06,,,,,
21,241,,,,,,0.0001957674976438284,0.00016511246212758124,0.0001462337386328727
21,241,0.057597722858190536,0.057603251188993454,5.524043899640674e-06,,,,,
22,252,,,,,,0.00019686789892148226,0.00016599814989604056,0.00014706846559420228
22,252,0.04315316677093506,0.043158795684576035,5.62888681088225e-06,,,,,
23,263,,,,,,0.00019741352298296988,0.00016644322022330016,0.00014748053217772394
23,263,0.06061942130327225,0.060624685138463974,5.270318524708273e-06,,,,,
24,274,,,,,,0.0002003472181968391,0.0001689045748207718,0.0001496758486609906
