time,x,y,x1,y1,theta_left,theta_right,theta
0.0,48.0,169.0,92.0,170.0,0.0,0.0,0.0
0.02,48.0,169.0,92.0,170.0,0.0,0.0,0.0
0.04,48.0,169.0,92.0,170.0,0.0,0.0,0.0
0.06,48.0,169.0,92.0,170.0,0.0,0.0,0.0
0.08,48.0,169.0,92.0,170.0,0.0,0.0,0.0
0.1,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.12,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.14,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.16,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.18,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.2,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.22,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.24,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.26,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.28,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.3,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.32,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.34,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.36,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.38,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
0.4,47.0,169.0,91.0,170.0,-0.7835580546739713,-0.7990831790321913,-0.8754737029203967
