epoch,step,train/align,train/loss,train/main,train/rollout_avg,train/step1,val/loss,val/rollout_avg,val/step1
0,10,,,,,,5.91147254453972e-05,4.4124069972895086e-05,4.587750299833715e-05
0,10,0.00015320586680900306,0.0001579319650772959,4.726100542029599e-06,,,,,
1,21,,,,,,5.565350511460565e-05,4.035445090266876e-05,4.35471702076029e-05
1,21,0.00022831314709037542,0.00022965227253735065,1.339105892839143e-06,,,,,
2,32,,,,,,5.814018368255347e-05,4.306297341827303e-05,4.522129529505037e-05
2,32,0.000279354106169194,0.0002804025716613978,1.048480498866411e-06,,,,,
3,43,,,,,,6.506149657070637e-05,5.060121475253254e-05,4.9881131417350844e-05
3,43,0.0004887074464932084,0.0004896679311059415,9.605379318600171e-07,,,,,
4,54,,,,,,7.235851080622524e-05,5.854887785972096e-05,5.479384708451107e-05
4,54,0.0003384296433068812,0.00033934751991182566,9.178737059301056e-07,,,,,
5,65,,,,,,7.792327960487455e-05,6.46100306767039e-05,5.8540277677820995e-05
5,65,0.0021430745255202055,0.0021439644042402506,8.900494208319287e-07,,,,,
6,76,,,,,,8.408255234826356e-05,7.131833262974396e-05,6.268705328693613e-05
6,76,0.0017074758652597666,0.0017083790153265,9.033402648128686e-07,,,,,
7,87,,,,,,8.805443212622777e-05,7.564418046968058e-05,6.536117871291935e-05
7,87,0.024274883791804314,0.024275820702314377,9.399551004207751e-07,,,,,
8,98,,,,,,9.244372631656006e-05,8.04242372396402e-05,6.831645441707224e-05
8,98,0.00039975601248443127,0.0004007048555649817,9.489210697211092e-07,,,,,
9,109,,,,,,9.37052900553681e-05,8.179841097444296e-05,6.916576239746064e-05
9,109,0.00014204016770236194,0.00014287004887592047,8.2989879501838e-07,,,,,
10,120,,,,,,9.587498789187521e-05,8.416159107582644e-05,7.062651275191456e-05
10,120,0.0006168317631818354,0.0006175943999551237,7.626763363077771e-07,,,,,
11,131,,,,,,9.579889592714608e-05,8.40790817164816e-05,7.057516631903127e-05
11,131,0.002715060953050852,0.0027158076409250498,7.471429626093595e-07,,,,,
12,142,,,,,,9.592829883331433e-05,8.421987149631605e-05,7.06623395672068e-05
12,142,0.013781444169580936,0.0137821976095438,7.530380230491573e-07,,,,,
13,153,,,,,,9.78957541519776e-05,8.636282291263342e-05,7.198690582299605e-05
13,153,0.00016800973389763385,0.00016879882605280727,7.890968731771864e-07,,,,,
14,164,,,,,,9.826623136177659e-05,8.676616562297568e-05,7.223638385767117e-05
14,164,0.0006196470931172371,0.0006203987868502736,7.517008953072946e-07,,,,,
15,175,,,,,,9.830302587943152e-05,8.680607425048947e-05,7.226120214909315e-05
15,175,0.00032098538940772414,0.000321694475132972,7.090915232765838e-07,,,,,
16,186,,,,,,9.907878120429814e-05,8.765103848418221e-05,7.278346311068162e-05
16,186,0.0005956290988251567,0.0005963207222521305,6.917505857018114e-07,,,,,
17,197,,,,,,9.934042464010417e-05,8.793685265118256e-05,7.295936666196212e-05
17,197,0.0002391521993558854,0.00023984162544365972,6.89400906139781e-07,,,,,
18,208,,,,,,9.87160747172311e-05,8.725559746380895e-05,7.253939838847145e-05
18,208,0.00021522764291148633,0.00021590849792119116,6.808194825680403e-07,,,,,
19,219,,,,,,9.907358617056161e-05,8.764636004343629e-05,7.277967961272225e-05
19,219,0.0011976511450484395,0.0011983310105279088,6.799882612540387e-07,,,,,
20,230,,,,,,9.880130528472364e-05,8.734899893170223e-05,7.259660196723416e-05
20,230,0.000330280076013878,0.0003309566236566752,6.765364446437161e-07,,,,,
21,241,,,,,,9.887501801131293e-05,8.742902718950063e-05,7.264630403369665e-05
21,241,5.311720087775029e-05,5.379139838623814e-05,6.741948936905828e-07,,,,,
22,252,,,,,,9.93628054857254e-05,8.796035399427637e-05,7.297468982869759e-05
22,252,0.00286871031858027,0.0028693806380033493,6.700965968775563e-07,,,,,
23,263,,,,,,9.926089114742354e-05,8.784986130194739e-05,7.290593202924356e-05
23,263,0.0018094890983775258,0.0018101681489497423,6.79254242186289e-07,,,,,
24,274,,,,,,9.923690959112719e-05,8.782302029430866e-05,7.28899976820685e-05
24,274,0.003356917528435588,0.0033576167188584805,6.992007115513843e-07,,,,,
25,285,,,,,,9.86628801911138e-05,8.719858305994421e-05,7.250330236274749e-05
25,285,0.003033615881577134,0.003034335095435381,7.192745670181466e-07,,,,,
26,296,,,,,,9.907713683787733e-05,8.76487756613642e-05,7.278249540831894e-05
26,296,0.018975751474499702,0.018976503983139992,7.503359711336088e-07,,,,,
27,307,,,,,,0.00010179560194956139,9.061025775736198e-05,7.461252243956551e-05
27,307,0.00274513172917068,0.0027459519915282726,8.204784762710915e-07,,,,,
28,318,,,,,,0.00010114951874129474,8.990719652501866e-05,7.417735469061881e-05
28,318,0.004757747985422611,0.004758528899401426,7.809193220964517e-07,,,,,
29,329,,,,,,0.00010020532499765977,8.887721924111247e-05,7.35421635909006e-05
29,329,0.0002391071175225079,0.0002398214564891532,7.143281663957168e-07,,,,,
30,340,,,,,,0.00010049009142676368,8.918821549741551e-05,7.373361586360261e-05
30,340,0.00015566375805065036,0.0001563511905260384,6.874466862427653e-07,,,,,
31,351,,,,,,0.00010042145004263148,8.911283657653257e-05,7.36875954316929e-05
31,351,0.0017621297156438231,0.0017628022469580173,6.725724119860388e-07,,,,,
32,362,,,,,,0.0001001213095150888,8.878642256604508e-05,7.348538201767951e-05
32,362,0.0005116314860060811,0.0005123027949593961,6.713744369335473e-07,,,,,
33,373,,,,,,0.00010024728544522077,8.89235088834539e-05,7.35702269594185e-05
33,373,0.002640040125697851,0.002640711609274149,6.710814091093198e-07,,,,,
34,384,,,,,,9.946424688678235e-05,8.80708685144782e-05,7.304298924282193e-05
34,384,0.0030834528151899576,0.0030841233674436808,6.7088080868416e-07,,,,,
